comparison_key,duplicate_ordinal,sample_id,source_index,pair_payload_sha256,session_payload_sha256,query_chars,query_words,query_unique_fraction,query_digits,query_question_marks,score_max,score_second,score_top_gap,score_mean,score_std,score_p90_p50,score_within_001,score_within_003,score_within_005,session_count,session_max_top,session_max_second,session_max_gap,top_session_pairs,top_session_chars,top_session_score_mean,top_session_score_std,top_session_score_range,best_pair_source_position,score_spearman,rank_displacement_mean,rank_displacement_max,pair_selected_count,session_selected_count,selected_count_delta,pair_packed_chars,session_packed_chars,packed_char_delta,pair_slack,session_slack,pair_sessions_touched,session_sessions_touched,session_touch_delta,selected_jaccard,pair_only_count,session_only_count,pair_only_chars,session_only_chars,pair_selected_score_mean,session_selected_score_mean,pair_only_score_mean,session_only_score_mean,pair_unselected_score_mean,session_unselected_score_mean,pair_selected_score_min,session_selected_score_min,pair_unselected_score_max,session_unselected_score_max,pair_frontier_margin,session_frontier_margin,top10_overlap,top25_overlap,top50_overlap,primary_eligible,outcome_class
00264ec2d3dc0929a34c9dd06a6866ad31df25becdd89578ac4263e75d455604,0,conv-26,63,f772681b3dce114a257a07a65a7ec85c1a6b4e5a4a216a2c77f1a42d564025f0,92cac5a1e25f98d35f6cc89d6e4d909f501b473442d1d6725f06c546f6996e9a,57,11,1.0,0,1,0.7397065758705139,0.6081169843673706,0.1315895915031433,0.4271104037761688,0.06351666152477264,0.0818936824798584,1,1,1,19,0.7397065758705139,0.5804154872894287,0.1592910885810852,14,3893,0.48453545570373535,0.09303407371044159,0.3907930850982666,6,0.32031604723386997,58.63551401869159,180,60,59,1,15978,15997,-19,22,3,17,7,10,0.26595744680851063,35,34,9138,9157,0.503733762105306,0.45400154994705977,0.4884539553097316,0.4017045340117286,0.3972571141921081,0.4168743862259773,0.41884344816207886,0.30798089504241943,0.46457359194755554,0.5397388935089111,-0.045730143785476685,-0.2317579984664917,0.3,0.44,0.4,True,BOTH_PASS
003ed4be767d487c05cd2bbc3c7325cef2d3ab526ecf0c61863bf9995b2bf2ab,0,conv-49,44,9caad325aacb48ff2b36fbf88f16496d717cec43a2d02b0c1cb63e29f7c0c7a2,7013e2be39660d5b90adbe5f5efd91da8ba962a66482a3948c3e1ff0ce3370bb,47,8,1.0,0,1,0.7617449164390564,0.7135224938392639,0.04822242259979248,0.468387246131897,0.0822792649269104,0.10823988914489746,1,1,2,25,0.7617449164390564,0.7135224938392639,0.04822242259979248,17,3677,0.5364781022071838,0.10861097276210785,0.45417749881744385,10,0.49593974112176603,59.815384615384616,254,64,67,-3,15988,15980,8,12,20,18,9,9,0.32323232323232326,32,35,7784,7776,0.5777686117216945,0.5263937858503256,0.5474677924066782,0.451718910251345,0.4326708969108912,0.44825027612824514,0.5151975154876709,0.30756741762161255,0.5149165987968445,0.6273415684700012,0.000280916690826416,-0.31977415084838867,0.3,0.28,0.46,True,BOTH_FAIL
0070867aa623ed4de2aa784b04a442d8ecfda17986946be73a703da4766243c2,0,conv-49,115,14437fac158b6a50bc1ee652aab34c11551d74eb34532db3cb058999348f6949,3f61ad1c2ecbc1359285a7345650660928a454fa2cceb32b868fbf386b4cc61e,71,13,1.0,0,1,0.7583230137825012,0.7219040989875793,0.036418914794921875,0.5249988436698914,0.06829226762056351,0.08061927556991577,1,1,2,25,0.7583230137825012,0.6922607421875,0.06606227159500122,10,3226,0.5414199233055115,0.1266401708126068,0.40292888879776,2,0.24146892347045812,73.65384615384616,253,57,62,-5,15988,15998,-10,12,2,20,8,12,0.1782178217821782,39,44,10797,10807,0.6135973721219782,0.5337748945720734,0.6028810739517212,0.49162170765074814,0.5001213759037074,0.5222507376562465,0.5769171714782715,0.3553941249847412,0.5766710638999939,0.6444777250289917,0.0002461075782775879,-0.2890836000442505,0.3,0.24,0.26,True,BOTH_PASS
0109d9d0d1bfe96b852a7c05dfecb76f91745ae8d9ce581f4f9e43a4c9c129c6,0,conv-49,187,80b4f7d70f15477752b3f43f13343cdb665fa2ec2f42991b17afa96c5bd00731,42217cc16491771fadb97e2c9a38479d46dc3d3e3b372d90e2bba0e9c9a57fd8,72,15,0.9333333333333333,0,1,0.634010910987854,0.6205430030822754,0.013467907905578613,0.433718740940094,0.06708899140357971,0.0860334038734436,1,4,7,25,0.634010910987854,0.6205430030822754,0.013467907905578613,11,2953,0.48642781376838684,0.09454789757728577,0.26987311244010925,9,0.287885514843343,72.66153846153846,236,69,67,2,15980,15984,-4,20,16,22,8,14,0.25925925925925924,41,39,8961,8965,0.5116706836050835,0.46960258083557016,0.4876159146064665,0.4141114934896811,0.40555814657535855,0.42126171113295874,0.252055287361145,0.3086220622062683,0.46369296312332153,0.5709133148193359,-0.2116376757621765,-0.2622912526130676,0.4,0.44,0.38,True,BOTH_PASS
01282189b01cdc93c88b081cd538bcb721cdb4cee34fd5d9675d1331a234a321,0,conv-49,164,1121405f0c6546a38e5e9d56a782b89592b31fa99a329ce063d805a8daef4c45,4a00e942ec4c0ce9a4c8a70b3f30474b9fb0deb60232fd4d827338867cff0637,39,7,1.0,0,1,0.6545166969299316,0.6271109580993652,0.027405738830566406,0.48385074734687805,0.07364775240421295,0.07608914375305176,1,2,9,25,0.6545166969299316,0.6271109580993652,0.027405738830566406,9,2144,0.5466284155845642,0.05312538146972656,0.19407618045806885,3,0.09655674755230644,82.72307692307692,246,74,66,8,15998,15972,26,2,28,24,6,18,0.17647058823529413,53,45,10790,10764,0.5670941133756895,0.49179902401837433,0.5617245356991606,0.45033714638815986,0.45073237566537755,0.48114665298117804,0.532304048538208,0.31423428654670715,0.5336041450500488,0.6091898679733276,-0.0013000965118408203,-0.2949555814266205,0.1,0.2,0.24,True,BOTH_PASS
01594b153f339f3093e75fee52ca16649b701a0e23bab8152e2315fc2f6d72de,0,conv-43,31,715537f8ab310c53410b6e843836190c53829aed1a2cfa8a85107437a7c8467f,46fca5a91fa7a4c9eeeacc2caebcd31d915266364d85522d624cec137a8caf3b,54,10,1.0,0,1,0.6897321939468384,0.596520185470581,0.09321200847625732,0.3591821491718292,0.07711122930049896,0.10338515043258667,1,1,1,29,0.6897321939468384,0.596520185470581,0.09321200847625732,9,1905,0.44155871868133545,0.12690851092338562,0.4717417359352112,5,0.31136273692108796,95.86246418338109,340,69,70,-1,15996,15999,-3,4,1,26,7,19,0.19827586206896552,46,47,11384,11387,0.4700628670229428,0.39741349348000116,0.45761224368344183,0.34967595592458195,0.3318579750401633,0.34959005839508495,0.38709741830825806,0.2179904580116272,0.428170382976532,0.5157983303070068,-0.041072964668273926,-0.29780787229537964,0.2,0.24,0.32,True,BOTH_PASS
0162a50d77d51487e2e93935ebe8c09f2caae7d31f4b3714b2dea872c126fb99,0,conv-30,93,3fa05012735c3d126b59a1a52d2766c21a58b2504113debcabddd206d60fd60e,62ac42fe4cd4b93949d7141bc4a290b99ee380375fdcec9a1c4272e097a48b79,40,8,1.0,0,1,0.7642953991889954,0.6440097093582153,0.12028568983078003,0.4504883587360382,0.06898677349090576,0.07602602243423462,1,1,1,19,0.7642953991889954,0.6440097093582153,0.12028568983078003,13,3443,0.47983795404434204,0.0850699320435524,0.33729031682014465,1,0.086020403755409,60.98936170212766,166,77,68,9,15999,15953,46,1,47,19,7,12,0.2608695652173913,47,38,9953,9907,0.5122566494074735,0.46484124660491943,0.503581942395961,0.4166787909834008,0.40764005858081953,0.4423550311475992,0.4615020155906677,0.3152579665184021,0.4658741354942322,0.5652990341186523,-0.004372119903564453,-0.25004106760025024,0.1,0.08,0.26,True,BOTH_PASS
01847f743c88aa74f880fb3dc704a15a0c9ed1bf878afc150b2a6f661e5e792c,0,conv-49,23,77258fe5de55ebd20f0667f7fc949111237ec2a7a8ff5faff232877387d9dee2,7d032438d2e59638b0c6a7963efc8728465c5bb3f6c94141456a7ef0ca0de594,42,9,1.0,0,1,0.6968284249305725,0.6164180040359497,0.0804104208946228,0.41014814376831055,0.07649674266576767,0.0911264419555664,1,1,1,25,0.6968284249305725,0.6164180040359497,0.0804104208946228,10,2230,0.4692833423614502,0.1063888892531395,0.4033455550670624,8,0.22328574883062743,76.9076923076923,241,58,63,-5,15992,15984,8,8,16,23,7,16,0.18627450980392157,39,44,10067,10059,0.5078032797780531,0.4397718844905732,0.49078656083498245,0.39531169018962165,0.38210855483418643,0.4006745663996275,0.3016193211078644,0.29348286986351013,0.46195557713508606,0.5265729427337646,-0.16033625602722168,-0.23309007287025452,0.2,0.32,0.28,True,BOTH_PASS
01d5642475fc0e4430b3b9ba7761eaa80cd78c4c8132c82d0326010001d5b0af,0,conv-26,187,9c7da99f190b17a2fa24044b7791ca7c011f480fb5b2a7a790ac7656ab06b62c,4ad0912ef35d1b2a2815c5990e0a3e1928e13b91fc8705dc5af40404ba4ba5bf,53,9,1.0,0,1,0.702551007270813,0.5896961688995361,0.11285483837127686,0.43111279606819153,0.0577937550842762,0.07294714450836182,1,1,1,19,0.702551007270813,0.5896961688995361,0.11285483837127686,10,3788,0.45040184259414673,0.09294267743825912,0.3312132656574249,9,0.22111940605488853,62.96261682242991,186,67,52,15,15975,15993,-18,25,7,19,7,12,0.1782178217821782,49,34,11884,11902,0.4958637347861902,0.4482831101004894,0.4858081182655023,0.40860144969295054,0.4016005145449217,0.42560138360217764,0.45109325647354126,0.3292407989501953,0.4537327289581299,0.5606710910797119,-0.002639472484588623,-0.2314302921295166,0.1,0.24,0.36,True,SESSION_RESCUE
01d6bd32ae08a89dbc1e55fb8005c6cb40557fdab6917fbe2f8e3308b0f4d23a,0,conv-43,100,37ff590006c9f0619f4c29c18cc4000a377126567d86185582fbf099a0d9fb9d,76dd68dfd7bd3ab5ee31c6a6f9c508d4084985d8104e6f56c4d17d79742e8e54,73,12,1.0,0,1,0.8199934959411621,0.6068515777587891,0.21314191818237305,0.3530466556549072,0.0938837081193924,0.12631946802139282,1,1,1,29,0.8199934959411621,0.6068515777587891,0.21314191818237305,8,2049,0.3964840769767761,0.16650910675525665,0.5425734519958496,2,0.23593268088282415,100.88252148997135,327,55,61,-6,15989,15976,13,11,24,24,6,18,0.13725490196078433,41,47,11863,11850,0.49902194955132223,0.3864461999447619,0.48515778271163384,0.3408187247337179,0.3257383287561183,0.3459724225103855,0.42497920989990234,0.15830755233764648,0.4531410336494446,0.5424503087997437,-0.028161823749542236,-0.38414275646209717,0.2,0.16,0.22,True,BOTH_PASS
