turn,store_episodes,delivered_chars,chars_wanted,episodes_delivered,episodes_dropped,truncated,over_budget
1,1,402,402,1,0,False,False
2,2,784,784,2,0,False,False
3,3,1389,1389,3,0,False,False
4,4,1714,1714,4,0,False,False
5,5,1984,1984,5,0,False,False
6,6,2410,2410,6,0,False,False
7,7,2864,2864,7,0,False,False
8,8,3309,3309,8,0,False,False
9,9,3788,3788,9,0,False,False
10,10,4171,4171,10,0,False,False
11,11,4777,4777,11,0,False,False
12,12,5103,5103,12,0,False,False
13,13,5374,5374,13,0,False,False
14,14,5801,5801,14,0,False,False
15,15,6199,6199,15,0,False,False
16,16,6645,6645,16,0,False,False
17,17,7125,7125,17,0,False,False
18,18,7508,7508,18,0,False,False
19,19,8114,8114,19,0,False,False
20,20,8440,8440,20,0,False,False
21,21,8711,8711,21,0,False,False
22,22,9138,9138,22,0,False,False
23,23,9536,9536,23,0,False,False
24,24,9982,9982,24,0,False,False
25,25,10462,10462,25,0,False,False
26,26,10845,10845,26,0,False,False
27,27,11451,11451,27,0,False,False
28,28,11777,11777,28,0,False,False
29,29,12048,12048,29,0,False,False
30,30,12475,12475,30,0,False,False
31,31,12873,12873,31,0,False,False
32,32,13319,13319,32,0,False,False
33,33,13815,13815,33,0,False,False
34,34,14198,14198,34,0,False,False
35,35,14804,14804,35,0,False,False
36,36,15130,15130,36,0,False,False
37,37,15401,15401,37,0,False,False
38,38,15828,15828,38,0,False,False
39,39,16226,16226,39,0,False,False
40,40,16559,16559,40,0,False,False
41,41,17039,17039,41,0,False,False
42,42,17422,17422,42,0,False,False
43,43,18028,18028,43,0,False,False
44,44,18354,18354,44,0,False,False
45,45,18625,18625,45,0,False,False
46,46,19052,19052,46,0,False,False
47,47,19450,19450,47,0,False,False
48,48,19896,19896,48,0,False,False
49,49,20376,20376,49,0,False,False
50,50,20759,20759,50,0,False,False
51,51,21365,21365,51,0,False,False
52,52,21691,21691,52,0,False,False
53,53,21962,21962,53,0,False,False
54,54,22389,22389,54,0,False,False
55,55,22787,22787,55,0,False,False
56,56,23233,23233,56,0,False,False
57,57,23713,23713,57,0,False,False
58,58,24096,24096,58,0,False,False
59,59,24702,24702,59,0,False,False
60,60,25028,25028,60,0,False,False
61,61,25299,25299,61,0,False,False
62,62,25726,25726,62,0,False,False
63,63,26124,26124,63,0,False,False
64,64,26570,26570,64,0,False,False
65,65,27050,27050,65,0,False,False
66,66,27433,27433,66,0,False,False
67,67,28039,28039,67,0,False,False
68,68,28365,28365,68,0,False,False
69,69,28636,28636,69,0,False,False
70,70,29063,29063,70,0,False,False
71,71,29461,29461,71,0,False,False
72,72,29907,29907,72,0,False,False
73,73,30387,30387,73,0,False,False
74,74,30770,30770,74,0,False,False
75,75,31295,31295,75,0,False,False
76,76,31621,31621,76,0,False,False
77,77,31892,31892,77,0,False,False
78,78,31873,32319,77,1,True,False
79,79,31757,32717,77,2,True,False
80,80,31723,33163,77,3,True,False
81,81,31605,33245,76,4,True,False
82,82,31626,33546,77,4,True,False
83,83,31806,33092,76,3,True,False
84,84,31764,32976,76,2,True,False
85,85,31987,33551,76,5,True,False
86,86,31996,33528,77,4,True,False
87,87,31400,33824,78,4,True,False
88,88,31684,34108,77,4,True,False
89,89,31921,34304,76,7,True,False
90,90,31579,34003,78,4,True,False
91,91,31995,33299,78,4,True,False
92,92,31872,33137,77,3,True,False
93,93,31956,33871,73,5,True,False
94,94,31996,34580,77,5,True,False
95,95,31921,33985,79,5,True,False
96,96,31973,33548,77,4,True,False
97,97,31955,34944,75,7,True,False
98,98,31870,33289,78,4,True,False
99,99,31688,33280,76,4,True,False
100,100,31813,33733,77,4,True,False
101,101,31623,33810,71,5,True,False
102,102,31858,33676,78,3,True,False
103,103,31680,33287,77,4,True,False
104,104,31848,33206,76,3,True,False
105,105,31877,33695,76,3,True,False
106,106,31940,32918,75,3,True,False
107,107,31801,33159,76,3,True,False
108,108,31980,32378,77,1,True,False
109,109,31690,33297,70,4,True,False
110,110,31983,32858,74,3,True,False
111,111,31919,32398,77,1,True,False
112,112,31959,32439,76,1,True,False
113,113,31960,31960,77,0,False,False
114,114,31799,31799,72,0,False,False
115,115,31841,31841,75,0,False,False
116,116,31932,31932,75,0,False,False
117,117,31878,31878,68,0,False,False
118,118,31954,31954,73,0,False,False
119,119,31970,31970,76,0,False,False
120,120,31986,31986,73,0,False,False
121,121,31947,31947,75,0,False,False
122,122,31995,31995,75,0,False,False
123,123,31755,31755,71,0,False,False
124,124,31677,32919,71,3,True,False
125,125,31873,34103,67,5,True,False
126,126,31961,31961,73,0,False,False
127,127,31748,31748,74,0,False,False
128,128,31951,31951,71,0,False,False
129,129,31737,32008,71,1,True,False
130,130,31827,31827,70,0,False,False
131,131,31804,31804,70,0,False,False
132,132,31795,34006,71,5,True,False
133,133,31816,34102,67,5,True,False
134,134,31751,33054,72,3,True,False
135,135,31754,31754,73,0,False,False
136,136,31999,31999,70,0,False,False
137,137,31850,31850,70,0,False,False
138,138,31762,32285,69,1,True,False
139,139,31960,31960,69,0,False,False
140,140,31599,34161,70,6,True,False
141,141,31989,36125,67,9,True,False
142,142,31831,34063,71,6,True,False
143,143,31871,32951,73,2,True,False
144,144,31855,31855,69,0,False,False
145,145,31870,33890,70,4,True,False
146,146,31937,34998,70,6,True,False
147,147,31612,32550,68,2,True,False
148,148,31559,34421,70,6,True,False
149,149,31756,36225,65,12,True,False
150,150,31893,35067,70,8,True,False
151,151,31662,34013,73,5,True,False
152,152,31779,33847,68,5,True,False
153,153,31762,35487,70,8,True,False
154,154,31975,35570,71,7,True,False
155,155,31818,34151,69,5,True,False
156,156,31805,36093,71,9,True,False
157,157,31502,33561,68,4,True,False
158,158,31990,35951,69,11,True,False
159,159,31922,35710,74,8,True,False
160,160,31936,35024,67,8,True,False
161,161,31684,37402,70,12,True,False
162,162,31735,36727,69,11,True,False
