arm,turn,total,preamble,pinned_rules,recent_context,retrieved_stm,retrieved_ltm,current_turn,separators,assistant_cue,retrieved_ltm_compact,retrieved_ltm_episodes
arm_l,1,496,149,15,17,16,16,263,8,12,16,0
arm_l,2,884,149,15,444,16,16,224,8,12,16,0
arm_l,3,1315,149,15,886,16,16,213,8,12,16,0
arm_l,4,1975,149,15,1551,16,16,208,8,12,16,0
arm_l,5,2365,149,15,1936,16,16,213,8,12,16,0
arm_l,6,2686,149,15,2266,16,16,204,8,12,16,0
arm_l,7,3181,149,15,2752,16,16,213,8,12,16,0
arm_l,8,3702,149,15,3266,16,16,220,8,12,16,0
arm_l,9,4189,149,15,3771,16,16,202,8,12,16,0
arm_l,10,4750,149,15,4310,16,16,224,8,12,16,0
arm_l,11,5182,149,15,4753,16,16,213,8,12,16,0
arm_l,12,5400,149,15,4976,16,16,208,8,12,16,0
arm_l,13,5125,149,15,4696,16,16,213,8,12,16,0
arm_l,14,5061,149,15,4641,16,16,204,8,12,16,0
arm_l,15,5226,149,15,4797,16,16,213,8,12,16,0
arm_l,16,5204,149,15,4768,16,16,220,8,12,16,0
arm_l,17,5759,149,15,4816,541,16,202,8,12,16,0
arm_l,18,6124,149,15,4850,850,16,224,8,12,16,0
arm_l,19,5886,149,15,4753,720,16,213,8,12,16,0
arm_l,20,5824,149,15,4976,440,16,208,8,12,16,0
arm_l,21,5494,149,15,4696,385,16,213,8,12,16,0
arm_l,22,5586,149,15,4641,541,16,204,8,12,16,0
arm_l,23,5722,149,15,4797,512,16,213,8,12,16,0
arm_l,24,5748,149,15,4768,560,16,220,8,12,16,0
arm_l,25,6830,149,15,4816,1612,16,202,8,12,16,0
arm_l,26,6942,149,15,4850,1668,16,224,8,12,16,0
arm_l,27,6574,149,15,4753,1408,16,213,8,12,16,0
arm_l,28,6232,149,15,4976,848,16,208,8,12,16,0
arm_l,29,5847,149,15,4696,738,16,213,8,12,16,0
arm_l,30,6095,149,15,4641,1050,16,204,8,12,16,0
arm_l,31,6202,149,15,4797,992,16,213,8,12,16,0
arm_l,32,6276,149,15,4768,1088,16,220,8,12,16,0
arm_l,33,7901,149,15,4816,2683,16,202,8,12,16,0
arm_l,34,7760,149,15,4850,2486,16,224,8,12,16,0
arm_l,35,7262,149,15,4753,2096,16,213,8,12,16,0
arm_l,36,6640,149,15,4976,1256,16,208,8,12,16,0
arm_l,37,6200,149,15,4696,1091,16,213,8,12,16,0
arm_l,38,6604,149,15,4641,1559,16,204,8,12,16,0
arm_l,39,6682,149,15,4797,1472,16,213,8,12,16,0
