arm,series,n,slope_chars_per_turn,ci95_low,ci95_high,includes_zero,theil_sen_slope_chars_per_turn,projected_growth_over_1000_turns,terminal_mean_chars
arm_l,preamble,300,0.000000,0.000000,0.000000,True,,,149.000000
arm_l,pinned_rules,300,0.000000,0.000000,0.000000,True,,,15.000000
arm_l,recent_context,300,-0.045317,-0.182261,0.091627,True,0.000000,-45.317170,4841.090000
arm_l,retrieved_stm,300,4.272859,-12.869161,21.414880,True,0.929944,4272.859476,16253.606667
arm_l,retrieved_ltm,300,-1.796156,-2.670705,-0.921607,False,-2.140869,-1796.156402,52607.466667
arm_l,current_turn,300,-0.012245,-0.029339,0.004849,True,0.000000,-12.244803,209.263333
arm_l,separators,300,0.000000,0.000000,0.000000,True,,,8.000000
arm_l,assistant_cue,300,0.000000,0.000000,0.000000,True,,,12.000000
arm_l,total,300,2.419141,-14.784152,19.622434,True,-0.695745,2419.141102,74095.426667
arm_l,retrieved_ltm_compact,300,-0.386919,-0.640157,-0.133681,False,-0.448138,-386.919410,37256.406667
arm_s,preamble,300,0.000000,0.000000,0.000000,True,,,149.000000
arm_s,pinned_rules,300,0.000000,0.000000,0.000000,True,,,15.000000
arm_s,recent_context,300,-0.174463,-0.301878,-0.047049,False,-0.122881,-174.463272,5511.326667
arm_s,retrieved_stm,300,16.694301,-5.486578,38.875180,True,8.231842,16694.301048,21529.733333
arm_s,retrieved_ltm,300,0.000000,0.000000,0.000000,True,,,0.000000
arm_s,current_turn,300,-0.012245,-0.029339,0.004849,True,0.000000,-12.244803,209.263333
arm_s,separators,300,0.000000,0.000000,0.000000,True,,,6.000000
arm_s,assistant_cue,300,0.000000,0.000000,0.000000,True,,,12.000000
arm_s,total,300,16.507593,-5.672374,38.687560,True,8.061817,16507.592973,27432.323333
arm_s,retrieved_ltm_compact,300,0.000000,0.000000,0.000000,True,,,0.000000
