rank,episode_id,source_turn,cosine,topic_label,stored_span_chars,source_content_chars,pre_fix_element_chars,post_fix_element_chars,structural_reduction_chars,selected_at_32k
1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,0.045604396611452103,topic_6,,698,827,767,60,True
2,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,61,0.0020103482529520988,topic_4,,4231,4359,4299,60,True
3,c3cfc044-0c32-49c7-90cb-d1ee59561c9b,65,0.034192614257335663,topic_4,,3522,3650,3590,60,True
4,5f6ecd9f-bf3e-4dac-92be-96123b7e05d1,70,0.039231397211551666,topic_4,,4592,4720,4660,60,True
5,7651c072-ce22-4c12-923f-84bf7c817235,85,0.042193073779344559,topic_4,,3767,3895,3835,60,True
6,a725d025-92cb-4d29-91c9-df82f356974c,92,0.018355419859290123,topic_5,,4338,4466,4406,60,True
7,31de80d9-8487-4f79-8cb9-23dc4b3574cc,106,0.079263649880886078,topic_5,,4352,4481,4421,60,True
8,b22fa928-2e44-4da3-970f-1eef06b9af0f,16,0.040576368570327759,topic_2,,3344,3472,3412,60,True
9,b2dac773-3bfb-49f9-a07b-a4e51132c073,19,0.034262258559465408,topic_2,,3832,3960,3900,60,False
10,437b58a3-40b5-4c60-af49-0a92e164d53f,34,0.12841337919235229,topic_3,,3320,3448,3388,60,False
11,908479ee-34b0-40e1-8599-e934ac47df7e,40,0.14942936599254608,topic_3,,3750,3878,3818,60,False
12,f8e99b3f-9d39-4cf2-a4a5-bf19ddfbd170,48,0.21676015853881836,topic_3,,4583,4711,4651,60,False
13,f2223f95-4c32-455d-917d-06e13a9cc93f,51,0.03011743351817131,topic_3,,4754,4882,4822,60,False
14,c134f401-afa1-43d1-9e80-6d5212904c99,54,0.28135231137275696,topic_3,,4356,4484,4424,60,False
15,0459c215-b4db-46c5-a071-14ae528b58e4,62,0.11368816345930099,topic_4,,4280,4408,4348,60,False
16,cc4ebc0a-8851-4bf5-883d-0b070dd6f174,66,0.046604756265878677,topic_4,,4209,4337,4277,60,False
17,2b6a0006-d982-475d-abb0-c419213c2e61,80,0.014480834826827049,topic_4,,4433,4561,4501,60,False
18,ce2a39b3-dd40-4084-91b2-cd6b2c8b5701,86,0.098891735076904297,topic_4,,4727,4855,4795,60,False
19,af8aeeac-f593-4784-b7a0-eb4907b2a960,99,-0.011150376871228218,topic_5,,5105,5233,5173,60,False
20,66def2b8-90ff-446c-8ad4-1dc9e35820be,100,0.038510803133249283,topic_5,,3615,3744,3684,60,False
21,ed569488-8342-4a97-9c02-9cf487d42f33,107,0.019600782543420792,topic_5,,4302,4431,4371,60,False
22,6a01601c-5f66-4663-bf8b-671b9e055ae5,6,-0.040397297590970993,topic_2,,2876,3003,2943,60,False
23,21cd52d3-077d-43de-8714-487f211f8e1e,15,0.12564381957054138,topic_2,,5196,5324,5264,60,False
24,e86465f5-5719-402c-99f2-cf56214cf969,21,0.058065403252840042,topic_2,,4433,4561,4501,60,False
25,66fd23b1-3e58-478b-af19-e9170c0ab86b,23,-0.022705426439642906,topic_2,,4005,4133,4073,60,False
26,f6ec50a8-0243-47e6-9d6b-d5fa2afe4fdf,33,0.11315697431564331,topic_3,,2832,2960,2900,60,False
27,7abe80be-01aa-4b89-8720-cfdce04bfd1d,55,0.12042197585105896,topic_3,,3062,3190,3130,60,False
28,c2a71b45-9105-44d2-9800-e2b2ea7609e6,56,0.31259006261825562,topic_3,,3047,3175,3115,60,False
29,0bf1f893-db4c-43d4-a49f-638299e19b0a,59,0.58437222242355347,topic_3,,2223,2351,2291,60,True
30,4e4acf64-6430-4ea0-a316-49eaa0a774fc,63,0.030457651242613792,topic_4,,4939,5067,5007,60,False
31,d292f483-31a5-4887-bbdb-7bf15a9460e5,71,0.021099874749779701,topic_4,,4137,4265,4205,60,False
32,d1c362a3-c7de-49e5-83db-e324afc858e6,75,0.0088060665875673294,topic_4,,5124,5252,5192,60,False
