block,turn,position,episode_id,distilled_id,source_turn,stored_span_chars,source_content_chars,escaped_content_chars,serialized_element_chars,structural_overhead_chars
study_010_q13,999,1,b6db032a-eed5-4d78-9e31-d60195bb534b,f16aebb8-4f60-5f01-87a1-84ded2193a64,412,27,301,301,370,69
study_010_q13,999,2,2a78ca3f-a4c5-4cba-9e2c-b1911bc3eedd,7d762c89-8cd8-5863-91d9-1c7178a8053c,203,133,237,237,306,69
study_010_q13,999,3,6832531a-a4d5-430b-8c88-b17d1908f1c0,3b60eb05-8d6c-5241-93cc-b09491eb5190,945,153,279,279,348,69
study_010_q13,999,4,c9076b64-d299-4ed0-8815-9d124a238b00,87cc9134-fa25-567f-917f-ace8bbf3a221,369,154,278,278,347,69
study_010_q13,999,5,383d5409-f044-4c90-bd74-94371aab5ab5,526a1c7a-c2a8-574e-9d98-1bc23b0e3b02,616,35,272,272,341,69
study_010_q13,999,6,5e197fc9-b14b-459c-9efb-8689704a7bad,1d2abc2f-ed43-5a1f-9baf-e817805ce6e5,782,153,277,277,346,69
study_010_q13,999,7,f189baa7-03de-4746-a95c-50f06f2a70c4,427f75b4-abd1-56c0-ad28-e15a61b78903,864,160,298,298,367,69
study_010_q13,999,8,477dbe81-4b31-4927-b128-bf386d092be2,02d75506-5c81-57b9-9540-2b435d0e7e5d,740,26,314,314,383,69
study_010_q13,999,9,79796582-a08a-4513-8079-c6751775a88a,23f461ac-4998-5a06-b8f3-1eea545795fa,751,26,341,341,410,69
study_010_q13,999,10,0aef3c91-1a86-41b5-99ec-28e7e1ce41b9,3a55301f-0adb-5d17-8dfa-776ec35836dc,584,71,477,477,546,69
study_010_q13,999,11,d5f9da24-1655-43c0-a749-fa6cd235cc98,b6bcfd19-f48d-5cd2-8f5f-5f0912f49553,624,71,477,477,546,69
study_010_q13,999,12,fa411fe4-b2c1-4cc2-bab8-a169891ca8a4,6a787631-b901-544f-a7aa-7554093adf35,656,71,477,477,546,69
study_010_q13,999,13,4b701ba3-0a46-4bf9-b935-911914e0a123,37710a07-58e7-5d6a-90f8-49b27c93c795,451,157,287,287,356,69
study_010_q13,999,14,4024228d-7430-4064-9a23-795e58f8ea73,ba44f530-374a-5da7-8a29-f57d9c63c1be,243,71,435,435,504,69
study_010_q13,999,15,6ee0e74b-1b02-4204-8897-ba3d7e8401a3,51da55a4-55ca-56d5-885d-afbfef4bb2df,211,71,435,435,504,69
study_010_q13,999,16,7b6b5071-6f3b-47fc-a7ec-8e2925935df9,975dfbae-195f-586f-80b9-9cd0a185c042,171,71,435,435,504,69
study_010_q13,999,17,0024ef99-f140-44c5-87f7-137c25fba3f2,f91a9aa6-2a11-58cd-8556-d4c1a3097463,985,72,465,465,534,69
study_010_q13,999,18,85ab44f2-9cb0-41ad-b22d-f0ee8d7e49e9,14c6ad07-2253-52fb-8ec4-f5e3c94306d5,913,72,465,465,534,69
study_010_q13,999,19,d45d6d7e-dcd9-4ad2-9dc8-3bcf7b148979,d2ca10e1-5e67-5040-b8b0-df02a697d3cd,953,72,465,465,534,69
study_010_q13,999,20,05828849-22e6-49f8-8e11-04f8a20ca4a7,299b9666-3d54-53d0-8153-15351d67fabb,659,55,307,307,376,69
study_010_q13,999,21,484dd84e-3c76-4e0a-8eb6-299c55985dd2,7a1aeb6d-39dd-5e69-bc1f-932ff72c6c45,330,55,310,310,379,69
study_010_q13,999,22,9e2839d6-8e58-4cd1-93fa-0c8142aa7c99,d48107e2-33bd-5aee-b317-efcd461c9ed3,906,55,286,286,355,69
study_010_q13,999,23,a5bcd495-3211-48b9-8dbf-2764058ea01c,5a22396d-ba85-574e-9d68-b8c92c44df6a,825,55,290,290,359,69
study_010_q13,999,24,ccd86dd4-943f-413c-97a9-859dd66d31fa,cdbdad9e-78be-59ed-a978-9777ae6dad01,493,55,277,277,346,69
study_010_q13,999,25,d4ac9c65-3cc0-4bef-bf4a-0e533ceb4446,cc850bdf-67cb-5ea1-89cf-f8fd496b7443,83,55,301,301,369,68
study_010_q13,999,26,d6ca3adf-502a-4807-9ecc-1c25f81f1447,5ac95360-2c94-59b6-aa69-4cb693b7f7af,246,55,275,275,344,69
study_010_q13,999,27,fe9edeaf-f9ba-407d-a658-f315f7234985,7e7d2d1b-3c74-5e47-b808-c7cd0e4b6dd4,164,55,288,288,357,69
study_010_q13,999,28,ff8a5987-d933-4bf1-aaae-c2250d505e72,dcbd97ce-466c-546b-81cb-117b6003e5a2,577,55,300,300,369,69
study_010_q13,999,29,4dd6955a-6195-42bb-8da9-43a00322ce67,5f05f39f-bdc4-5cee-8a73-aa9f9c50c1d7,666,68,402,402,471,69
study_010_q13,999,30,77343421-a784-4503-8c4b-525faa0bd810,ef28da1f-ad19-5fac-a901-99d8b8aeebac,738,68,402,402,471,69
study_010_q13,999,31,c3d82969-a15b-4201-a113-2fdf0629ae22,ea1b5731-b1c0-51a1-801d-d198ecd971ba,706,68,402,402,471,69
study_010_q13,999,32,f2efe5e8-8edf-4f3f-aa15-5144cd57229d,12b586c0-ce86-5fde-bfd7-abbd5c3f6f44,251,21,319,319,388,69
study_010_q13,999,33,20024f9e-1979-4b02-a80b-b233692bc19e,9414cc57-c967-530f-b063-3a731f6de4d3,698,155,280,280,349,69
study_010_q13,999,34,7b72a983-6df0-4ee7-9e71-1aac6baad0af,14695c46-18ca-5252-bbcc-e4f73d9b8252,827,59,609,609,678,69
study_010_q13,999,35,e1fc75e1-7719-4f1b-96cf-d834e5c7b544,870dd7b4-f148-5f37-9103-66a7b29dbc71,867,59,609,609,678,69
study_010_q13,999,36,210f3544-79a6-4990-a96f-0c3e9645e835,41d51ee4-2153-5e2d-a25b-5cd117c02efc,122,158,290,290,359,69
study_010_q13,999,37,67455877-a4c4-4402-8958-afa2b1782fa4,8e80f19c-d91a-519e-b8dd-4c5796937b0c,291,64,582,582,651,69
study_010_q13,999,38,e8bcd1a4-b1f8-4b15-8bed-dcb3a9485613,12b69786-39ca-5260-af9b-9473bc846ae7,248,64,582,582,651,69
study_010_q13,999,39,39f3b8de-d344-4a52-a642-fb1257acb2bc,5f32b875-7246-55cf-ac2c-43eca8ab81c3,288,49,273,273,342,69
study_010_q13,999,40,0839a207-cd28-430d-8ae2-fc14e8e27683,a432dd37-e59e-51f5-9462-5096ec204fd0,419,69,466,466,535,69
study_010_q13,999,41,4436faa6-6873-4a9f-b741-38d5774f5051,5cbad4f6-41b3-512f-9330-2401adbce22c,491,69,466,466,535,69
study_010_q13,999,42,7ed0fedc-4d26-4522-80e1-f08499dd00f6,4250e667-1f6b-5d14-95a8-ca27c2c5ada2,459,69,466,466,535,69
study_010_q13,999,43,dd3be0ff-5859-4e98-9092-c2f420100d6a,27f30750-bf13-5c53-ab5b-f0b1eb6b58e7,85,65,470,470,538,68
study_010_q13,999,44,f38c8a54-e260-46f1-af6f-ba334c9c54f1,072556b6-49ca-587e-95c0-c3d609e2ba36,125,65,470,470,539,69
study_010_q13,999,45,07cbfe24-6055-4483-8082-cd607d5f97de,6436ed7e-a087-5dbc-9d5f-2c3bb305fc80,872,68,402,402,471,69
study_010_q13,999,46,2340b2b4-8629-4082-9503-4b26475f973d,d587900e-20c0-588b-93bf-1ffeecd3e2da,832,68,402,402,471,69
study_010_q13,999,47,c8b880b8-535b-4d2c-89c2-1d57d4a2960b,976c3a56-f844-5203-a971-3e2017ea4f23,904,68,402,402,471,69
study_010_q13,999,48,e2420998-2f87-4660-bd81-6c9c40a629cf,8c3cd6be-71a2-5aef-9ad1-7e61b2c9ea32,535,148,271,271,340,69
study_010_q13,999,49,00075765-4f4d-46b7-af80-9d7a8970b1dd,8ada548b-dde1-546a-8d0c-061427d8e59a,296,64,381,381,450,69
study_010_q13,999,50,5029d740-a7b0-4a9f-8411-baa6d53a1673,d55feeaf-ce58-5621-b978-f3ce0ed08f69,256,64,381,381,450,69
study_010_q13,999,51,9398459c-150d-435c-b792-26ac61721bd8,a6c43157-eec3-53cf-8ae0-ad71ee5d350c,328,64,381,381,450,69
study_010_q13,999,52,1494a559-82e1-443a-a3a3-f4a60e73a88c,60b4cf19-4c01-56d0-a155-be18564494bf,162,68,417,417,486,69
study_010_q13,999,53,8659b3e4-bb87-4dba-9b29-501452fd2fa5,16f60939-5905-58d4-b3da-bc0427573147,130,68,417,417,486,69
study_010_q13,999,54,ed58e9cb-3994-4f1a-a847-7ca2cf791ac9,14e98615-d551-52ee-b924-6d1ec9947e1b,90,68,417,417,485,68
study_010_q13,999,55,e3e94681-aae9-46f8-a2c2-5d67ffeb197e,b56528c4-f388-50db-8b2d-e4f2e4b07f7a,332,68,523,523,592,69
study_010_q13,999,56,f5db4174-25c8-4f0e-b8d4-34d028433aff,e65e48cf-6ae1-5112-ac2f-217961228f6a,372,68,523,523,592,69
study_010_q13,999,57,056752ed-a225-41f1-8039-38f2a1984488,c9a404bf-3136-5a61-96f5-3ec436d7c3c2,747,73,452,452,521,69
study_010_q13,999,58,abe84a10-40ea-4974-b9c1-f659dc73d5e1,4bbb0623-6fe2-5936-8be2-36b77e3dbaf8,822,73,452,452,521,69
