fact_count,serialized_chars,episode_count,coverage_mask
0,35,0,00000000000000000
1,648,1,00000000000100000
2,1045,1,00000000001100000
3,409,1,00000000000010101
4,824,1,11110000000000000
5,826,2,00000000000011111
6,1423,3,00000000000111111
7,1182,2,11110000000010101
8,1775,3,11110000000010111
9,1599,3,11110000000011111
10,2196,4,11110000000111111
11,2593,4,11110000001111111
12,3891,4,11110000101111111
13,4461,4,11111111000011111
14,5058,5,11111111000111111
15,5455,5,11111111001111111
16,6753,5,11111111101111111
17,7592,5,11111111111111111
