radius,source_turn,content_sha256,nearest_candidate_turn,distance,cosine_rank,fact_count,domains,items
1,4,59aea706f50e4ef5d8c4070adb845079dd79f853de7fa7c3efd60fd718a4a34e,3,1,66,4,"[""civil""]","[""Halcyon Crossing"",""847"",""S460ML"",""92.4""]"
1,25,ee3851d5865b836c150562ea17bad5385ef1bfa2dded03619303f9a9eafb0a55,26,1,78,3,"[""civil""]","[""Halcyon Crossing"",""847"",""S460ML""]"
1,29,a2930abf7df53f00d16c09bd2ca89a6a76f78d0c71bd9a489496c9da0f0ad3c3,28,1,18,3,"[""civil""]","[""Halcyon Crossing"",""S460ML"",""92.4""]"
1,42,d6ba079a9b63a293dd478b253e4ad6c4b5e62d94573e887266a01640532cd596,43,1,97,0,[],[]
1,44,8e9f2cabf8293bafbabe0654b937710af26b5f0c89022282ad0001b803c50157,43,1,25,1,"[""art""]","[""Melozzo da Forli""]"
1,46,d212685c00f218e66f1a45f7064cbec160c4d93ad3f238ec020ed4e98aa9418e,45,1,104,0,[],[]
1,53,7e0be212d94b78d95ce5828ba029e1662232004f12104d9603d890f52490b4e3,54,1,68,0,[],[]
1,55,a0e8afd8211205c293d39a540b7061fd3698f220e11d32634be561c3ab98cfc1,54,1,87,4,"[""art""]","[""The Annunciation of Forli"",""Melozzo da Forli"",""Cardinal Giuliano della Rovere"",""1483""]"
1,77,39b15f1e911182c4c18a5a98763fd1b94250624e8b7acd146c28d1751d9e2612,78,1,80,1,"[""monetary""]","[""Federal Reserve""]"
1,79,bba6bbe4a1cf9a49b37c36e2d67b9a47466789b16d55c257663ec431afdda86d,78,1,19,1,"[""monetary""]","[""Taylor Rule""]"
1,83,f35fe7ed8dd00206e74563be6833efb5c431ade243da0362cf96cb431df5ffed,84,1,43,0,[],[]
1,85,cf7dff26468d19c7bc2c4f019c9f1a1690ce90cf4d2fa25dd6003cde6bbf992d,84,1,75,0,[],[]
1,109,08077f8b1d3e04e503782c4248bff84987a0567c2bfcbc5e135698db113bba93,110,1,89,3,"[""marine""]","[""Vampyroteuthis infernalis"",""600"",""marine snow""]"
1,111,6bf1370082a746f756855f844f7b378c8495277264741fbe5d7ffb900fb5cd81,110,1,90,4,"[""marine""]","[""Vampyroteuthis infernalis"",""Dr. Kenji Watanabe"",""600"",""marine snow""]"
1,115,2991a15fc8a419f5a7f296f0643bc09ab4733fb75ba3ae9b434afc71363fa010,114,1,50,1,"[""art""]","[""The Annunciation of Forli""]"
2,4,59aea706f50e4ef5d8c4070adb845079dd79f853de7fa7c3efd60fd718a4a34e,3,1,66,4,"[""civil""]","[""Halcyon Crossing"",""847"",""S460ML"",""92.4""]"
2,5,4c05cb930343a21b9014bb8696265cc16b43fa903f803f2396df1ffc233e637d,3,2,103,5,"[""civil""]","[""Halcyon Crossing"",""847"",""Dr. Anara Bekova"",""S460ML"",""92.4""]"
2,24,83ae8a17487d43a8c09243876ad6f8735c978c9f3bbee5eef1d6e38ee5cf6d64,26,2,60,4,"[""civil""]","[""Halcyon Crossing"",""847"",""Dr. Anara Bekova"",""S460ML""]"
2,25,ee3851d5865b836c150562ea17bad5385ef1bfa2dded03619303f9a9eafb0a55,26,1,78,3,"[""civil""]","[""Halcyon Crossing"",""847"",""S460ML""]"
2,29,a2930abf7df53f00d16c09bd2ca89a6a76f78d0c71bd9a489496c9da0f0ad3c3,28,1,18,3,"[""civil""]","[""Halcyon Crossing"",""S460ML"",""92.4""]"
2,30,abc8ca6cfbfeb8de6338d442e4e98039e54a7d706d82e1ad68a229c627381938,28,2,59,5,"[""civil""]","[""Halcyon Crossing"",""847"",""Dr. Anara Bekova"",""S460ML"",""92.4""]"
2,41,56123a7743d22c2694c0f144e106065f31b124ba705d8d94e620e287c5225b0d,43,2,110,0,[],[]
2,42,d6ba079a9b63a293dd478b253e4ad6c4b5e62d94573e887266a01640532cd596,43,1,97,0,[],[]
2,44,8e9f2cabf8293bafbabe0654b937710af26b5f0c89022282ad0001b803c50157,43,1,25,1,"[""art""]","[""Melozzo da Forli""]"
2,46,d212685c00f218e66f1a45f7064cbec160c4d93ad3f238ec020ed4e98aa9418e,45,1,104,0,[],[]
2,47,989cdddd0547f8b28fd429a848eeedf7ced961da6a4f948720cd423ff0b50db1,45,2,36,0,[],[]
2,52,e94bf38e33b0e693efd1cef086099e87c9f2db24fc9af8f0f5903f0c30c3985a,54,2,49,0,[],[]
2,53,7e0be212d94b78d95ce5828ba029e1662232004f12104d9603d890f52490b4e3,54,1,68,0,[],[]
2,55,a0e8afd8211205c293d39a540b7061fd3698f220e11d32634be561c3ab98cfc1,54,1,87,4,"[""art""]","[""The Annunciation of Forli"",""Melozzo da Forli"",""Cardinal Giuliano della Rovere"",""1483""]"
2,56,f0f6bdffa3f2b2a8525ff2a1fa3ca1c1d1482e9f5bd0efe74d12d4741a79c4a8,54,2,27,3,"[""art""]","[""The Annunciation of Forli"",""Melozzo da Forli"",""Cardinal Giuliano della Rovere""]"
2,76,a2ee91467756bfa162b379803da418dd6cc9fe8658741d16cf017dcc58ab6e13,78,2,46,0,[],[]
2,77,39b15f1e911182c4c18a5a98763fd1b94250624e8b7acd146c28d1751d9e2612,78,1,80,1,"[""monetary""]","[""Federal Reserve""]"
2,79,bba6bbe4a1cf9a49b37c36e2d67b9a47466789b16d55c257663ec431afdda86d,78,1,19,1,"[""monetary""]","[""Taylor Rule""]"
2,80,4af38e40c2fd15846966254a70e5f32d84118ff268f68ff796dd35bca3ec34e9,78,2,65,1,"[""monetary""]","[""Taylor Rule""]"
2,82,e6b7f537fa39f07d605574e3065bf23d1738d9c2e3a39b15609636c363e7da9b,84,2,39,0,[],[]
2,83,f35fe7ed8dd00206e74563be6833efb5c431ade243da0362cf96cb431df5ffed,84,1,43,0,[],[]
2,85,cf7dff26468d19c7bc2c4f019c9f1a1690ce90cf4d2fa25dd6003cde6bbf992d,84,1,75,0,[],[]
2,86,71496308445d0502e60fceb3d66b5b3c75da488f0ffc259ada0b589ad1b4a80c,84,2,24,1,"[""monetary""]","[""Taylor Rule""]"
2,108,a703b9f300c99e820306adc0ef15537dc9473fb91b971ef919bbb002be916c3d,110,2,58,4,"[""marine""]","[""Vampyroteuthis infernalis"",""Dr. Kenji Watanabe"",""600"",""marine snow""]"
2,109,08077f8b1d3e04e503782c4248bff84987a0567c2bfcbc5e135698db113bba93,110,1,89,3,"[""marine""]","[""Vampyroteuthis infernalis"",""600"",""marine snow""]"
2,111,6bf1370082a746f756855f844f7b378c8495277264741fbe5d7ffb900fb5cd81,110,1,90,4,"[""marine""]","[""Vampyroteuthis infernalis"",""Dr. Kenji Watanabe"",""600"",""marine snow""]"
2,115,2991a15fc8a419f5a7f296f0643bc09ab4733fb75ba3ae9b434afc71363fa010,114,1,50,1,"[""art""]","[""The Annunciation of Forli""]"
2,116,efb431a2c88d0e5437a1e954e8f30bcc52d6fd6c5a2c051eb147ea134c33205b,114,2,86,2,"[""art""]","[""The Annunciation of Forli"",""Melozzo da Forli""]"
