query_id,query_class,required_domains,m2_recall,m5_span_recall,delta,direction,m2_chars,m5_span_chars
h121_c01,chained,"[""structural""]",0.0,1.0,1.0,GAIN,31450,31998
h121_c02,chained,"[""art""]",0.5,0.5,0.0,TIE,31483,31799
h121_c03,chained,"[""monetary""]",0.5,0.5,0.0,TIE,31793,31985
h121_c04,chained,"[""marine""]",1.0,1.0,0.0,TIE,31775,31859
h121_c05,chained,"[""art"",""marine""]",1.0,1.0,0.0,TIE,31896,31931
h121_c06,chained,"[""structural"",""monetary""]",0.5,1.0,0.5,GAIN,31798,31802
h121_c07,chained,"[""art"",""monetary""]",0.0,0.5,0.5,GAIN,31130,31902
h121_c08,chained,"[""structural"",""marine""]",1.0,1.0,0.0,TIE,31260,31978
h121_e01,enumeration,"[""structural"",""art"",""monetary"",""marine""]",0.0,0.5,0.5,GAIN,31432,31787
h121_e02,enumeration,"[""structural"",""art"",""monetary"",""marine""]",0.0,0.25,0.25,GAIN,31028,31954
h121_e03,enumeration,"[""structural"",""art"",""monetary"",""marine""]",0.0,0.75,0.75,GAIN,30457,31873
h121_e04,enumeration,"[""structural"",""art"",""monetary"",""marine""]",0.25,1.0,0.75,GAIN,31229,31992
h121_l01,lookup,"[""structural""]",1.0,1.0,0.0,TIE,31725,31927
h121_l02,lookup,"[""structural""]",1.0,1.0,0.0,TIE,30779,31862
h121_l03,lookup,"[""structural""]",1.0,1.0,0.0,TIE,31821,31951
h121_l04,lookup,"[""art""]",1.0,1.0,0.0,TIE,31513,31987
h121_l05,lookup,"[""art""]",0.0,1.0,1.0,GAIN,31672,32000
h121_l06,lookup,"[""art""]",1.0,1.0,0.0,TIE,31888,31879
h121_l07,lookup,"[""monetary""]",0.0,1.0,1.0,GAIN,30768,31951
h121_l08,lookup,"[""monetary""]",1.0,1.0,0.0,TIE,31793,31992
h121_l09,lookup,"[""monetary""]",0.0,1.0,1.0,GAIN,31640,31834
h121_l10,lookup,"[""marine""]",1.0,1.0,0.0,TIE,30612,31931
h121_l11,lookup,"[""marine""]",1.0,1.0,0.0,TIE,31872,31988
h121_l12,lookup,"[""marine""]",1.0,1.0,0.0,TIE,30825,31910
