step,winner_turn,winner_scaled_gain,winner_chars,winner_q11_facts,target_affordable,target_scaled_gain,target_relevance_term,target_cluster_novel,target_rank_among_affordable,gap_to_winner,counterfactual_gain_novelty_paid,counterfactual_wins
1,114,0.634136,768,0,True,0.15599,0.05599,True,112,0.478146,0.15599,False
2,43,0.502162,4217,0,True,0.15599,0.05599,True,106,0.346172,0.15599,False
3,1,0.494178,897,0,True,0.15599,0.05599,True,102,0.338188,0.15599,False
4,2,0.492038,364,0,True,0.15599,0.05599,True,101,0.336047,0.15599,False
5,78,0.404334,4170,0,True,0.15599,0.05599,True,100,0.248344,0.15599,False
6,110,0.400357,4472,3,True,0.15599,0.05599,True,95,0.244367,0.15599,False
7,27,0.38488,3000,2,True,0.15599,0.05599,True,93,0.228889,0.15599,False
8,3,0.376711,593,3,True,0.15599,0.05599,True,87,0.220721,0.15599,False
9,54,0.365642,4425,0,True,0.15599,0.05599,True,86,0.209651,0.15599,False
10,84,0.350711,5473,1,True,0.15599,0.05599,True,85,0.194721,0.15599,False
11,118,0.325032,773,4,True,0.15599,0.05599,True,27,0.169042,0.15599,False
12,113,0.264557,358,3,False,0.15599,0.05599,True,,0.108567,0.15599,False
13,115,0.255651,597,1,False,0.15599,0.05599,True,,0.09966,0.15599,False
14,112,0.22319,417,3,False,0.15599,0.05599,True,,0.0672,0.15599,False
15,116,0.109356,994,2,False,0.15599,0.05599,True,,-0.046635,0.15599,False
