configuration_id,arm,lambda,r,k,selected_turn90,q11_fact_count,q11_domain_count,civil,art,monetary,marine,targeted_preserved,targeted_required,serialized_chars,oracle_overlap
A1_l0.0,A1,0.0,,,False,7,3,5,0,1,1,,16,31313,1
A1_l0.1,A1,0.1,,,False,13,3,5,0,4,4,,16,31897,2
A1_l0.2,A1,0.2,,,False,6,3,4,0,1,1,,16,31957,1
A1_l0.3,A1,0.3,,,False,6,3,4,0,1,1,,16,31957,1
A1_l0.4,A1,0.4,,,False,10,3,5,0,1,4,,16,31844,1
A1_l0.5,A1,0.5,,,False,4,3,2,0,1,1,,16,31809,0
A1_l0.6,A1,0.6,,,False,5,2,4,0,1,0,,16,31802,1
A1_l0.7,A1,0.7,,,False,5,2,4,0,1,0,,16,31757,1
A1_l0.8,A1,0.8,,,False,5,2,4,0,1,0,,16,31757,1
A1_l0.9,A1,0.9,,,False,5,2,4,0,1,0,,16,31757,1
A1_l1.0,A1,1.0,,,False,5,2,4,0,1,0,,16,31250,1
A2_r0.0,A2,,0.0,,False,9,3,4,0,4,1,,16,31704,1
A2_r0.5,A2,,0.5,,False,9,3,4,0,4,1,,16,31362,2
A2_r1.0,A2,,1.0,,False,9,3,4,0,4,1,,16,31577,2
A3_l0.0_r0.0_k02,A3,0.0,0.0,2,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r0.0_k04,A3,0.0,0.0,4,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r0.0_k08,A3,0.0,0.0,8,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r0.0_k16,A3,0.0,0.0,16,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r0.5_k02,A3,0.0,0.5,2,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r0.5_k04,A3,0.0,0.5,4,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r0.5_k08,A3,0.0,0.5,8,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r0.5_k16,A3,0.0,0.5,16,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r1.0_k02,A3,0.0,1.0,2,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r1.0_k04,A3,0.0,1.0,4,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r1.0_k08,A3,0.0,1.0,8,False,5,2,4,0,1,0,,16,31250,1
A3_l0.0_r1.0_k16,A3,0.0,1.0,16,False,5,2,4,0,1,0,,16,31250,1
A3_l0.1_r0.0_k02,A3,0.1,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.1_r0.0_k04,A3,0.1,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.1_r0.0_k08,A3,0.1,0.0,8,False,5,2,4,0,1,0,,16,31250,1
A3_l0.1_r0.0_k16,A3,0.1,0.0,16,False,5,2,4,0,1,0,,16,31250,1
A3_l0.1_r0.5_k02,A3,0.1,0.5,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.1_r0.5_k04,A3,0.1,0.5,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.1_r0.5_k08,A3,0.1,0.5,8,False,5,2,4,0,1,0,,16,31250,1
A3_l0.1_r0.5_k16,A3,0.1,0.5,16,False,5,2,4,0,1,0,,16,31250,1
A3_l0.1_r1.0_k02,A3,0.1,1.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.1_r1.0_k04,A3,0.1,1.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.1_r1.0_k08,A3,0.1,1.0,8,False,5,2,4,0,1,0,,16,31250,1
A3_l0.1_r1.0_k16,A3,0.1,1.0,16,False,6,3,4,0,1,1,,16,31802,1
A3_l0.2_r0.0_k02,A3,0.2,0.0,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.2_r0.0_k04,A3,0.2,0.0,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.2_r0.0_k08,A3,0.2,0.0,8,False,5,2,4,0,1,0,,16,30988,1
A3_l0.2_r0.0_k16,A3,0.2,0.0,16,False,5,2,4,0,1,0,,16,30826,1
A3_l0.2_r0.5_k02,A3,0.2,0.5,2,False,5,2,4,0,1,0,,16,31083,1
A3_l0.2_r0.5_k04,A3,0.2,0.5,4,False,5,2,4,0,1,0,,16,31131,1
A3_l0.2_r0.5_k08,A3,0.2,0.5,8,False,6,3,4,0,1,1,,16,30589,1
A3_l0.2_r0.5_k16,A3,0.2,0.5,16,False,5,2,4,0,1,0,,16,31325,1
