configuration_id,lambda,r,k,selected,best_rank_among_affordable,best_step,min_gap_to_winner,ever_affordable,ever_cluster_novel,counterfactual_ever_wins
A3_l0.0_r0.0_k02,0.0,0.0,2,False,16,11,0.228889,True,True,False
A3_l0.0_r0.0_k04,0.0,0.0,4,False,16,11,0.228889,True,True,False
A3_l0.0_r0.0_k08,0.0,0.0,8,False,16,11,0.228889,True,True,False
A3_l0.0_r0.0_k16,0.0,0.0,16,False,16,11,0.228889,True,True,False
A3_l0.0_r0.5_k02,0.0,0.5,2,False,95,14,0.003666,True,True,False
A3_l0.0_r0.5_k04,0.0,0.5,4,False,95,14,0.003666,True,True,False
A3_l0.0_r0.5_k08,0.0,0.5,8,False,95,14,0.003666,True,True,False
A3_l0.0_r0.5_k16,0.0,0.5,16,False,95,14,0.003666,True,True,False
A3_l0.0_r1.0_k02,0.0,1.0,2,False,10,17,3e-05,True,True,False
A3_l0.0_r1.0_k04,0.0,1.0,4,False,10,17,3e-05,True,True,False
A3_l0.0_r1.0_k08,0.0,1.0,8,False,10,17,3e-05,True,True,False
A3_l0.0_r1.0_k16,0.0,1.0,16,False,10,17,3e-05,True,True,False
A3_l0.1_r0.0_k02,0.1,0.0,2,False,16,11,0.228889,True,True,False
A3_l0.1_r0.0_k04,0.1,0.0,4,False,86,8,0.183483,True,True,False
A3_l0.1_r0.0_k08,0.1,0.0,8,False,16,11,0.228889,True,True,False
A3_l0.1_r0.0_k16,0.1,0.0,16,False,27,11,0.169042,True,True,False
A3_l0.1_r0.5_k02,0.1,0.5,2,False,77,9,0.003346,True,True,False
A3_l0.1_r0.5_k04,0.1,0.5,4,False,86,6,0.003666,True,True,False
A3_l0.1_r0.5_k08,0.1,0.5,8,False,59,15,0.003537,True,True,False
A3_l0.1_r0.5_k16,0.1,0.5,16,False,27,15,0.00242,True,True,False
A3_l0.1_r1.0_k02,0.1,1.0,2,False,51,10,4.2e-05,True,True,False
A3_l0.1_r1.0_k04,0.1,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.1_r1.0_k08,0.1,1.0,8,False,56,8,6.3e-05,True,True,False
A3_l0.1_r1.0_k16,0.1,1.0,16,False,15,17,4.1e-05,True,True,False
A3_l0.2_r0.0_k02,0.2,0.0,2,False,16,11,0.228889,True,True,False
A3_l0.2_r0.0_k04,0.2,0.0,4,False,66,6,0.183483,True,True,False
A3_l0.2_r0.0_k08,0.2,0.0,8,False,25,11,0.228889,True,True,False
A3_l0.2_r0.0_k16,0.2,0.0,16,False,37,10,0.143753,True,True,False
A3_l0.2_r0.5_k02,0.2,0.5,2,False,51,8,0.003025,True,True,True
A3_l0.2_r0.5_k04,0.2,0.5,4,False,68,5,0.003666,True,True,True
A3_l0.2_r0.5_k08,0.2,0.5,8,False,27,15,0.004155,True,True,False
A3_l0.2_r0.5_k16,0.2,0.5,16,False,24,14,0.002317,True,True,False
A3_l0.2_r1.0_k02,0.2,1.0,2,False,19,17,3.9e-05,True,True,True
A3_l0.2_r1.0_k04,0.2,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.2_r1.0_k08,0.2,1.0,8,False,36,7,7e-05,True,True,False
A3_l0.2_r1.0_k16,0.2,1.0,16,False,17,12,3.9e-05,True,True,False
A3_l0.3_r0.0_k02,0.3,0.0,2,False,16,11,0.228889,True,True,True
A3_l0.3_r0.0_k04,0.3,0.0,4,False,60,4,0.183483,True,True,True
A3_l0.3_r0.0_k08,0.3,0.0,8,False,17,10,0.320721,True,True,False
A3_l0.3_r0.0_k16,0.3,0.0,16,False,44,8,0.17205,True,True,False
A3_l0.3_r0.5_k02,0.3,0.5,2,False,36,7,0.002704,True,True,True
A3_l0.3_r0.5_k04,0.3,0.5,4,False,58,3,0.003666,True,True,True
A3_l0.3_r0.5_k08,0.3,0.5,8,False,35,15,0.004289,True,True,True
A3_l0.3_r0.5_k16,0.3,0.5,16,False,19,13,0.002253,True,True,False
A3_l0.3_r1.0_k02,0.3,1.0,2,False,17,9,3.6e-05,True,True,True
A3_l0.3_r1.0_k04,0.3,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.3_r1.0_k08,0.3,1.0,8,False,24,5,7.5e-05,True,True,True
A3_l0.3_r1.0_k16,0.3,1.0,16,False,9,12,3.6e-05,True,True,False
A3_l0.4_r0.0_k02,0.4,0.0,2,False,16,11,0.228889,True,True,True
A3_l0.4_r0.0_k04,0.4,0.0,4,False,59,4,0.183483,True,True,True
A3_l0.4_r0.0_k08,0.4,0.0,8,False,17,10,0.320721,True,True,True
A3_l0.4_r0.0_k16,0.4,0.0,16,False,42,8,0.17205,True,True,False
A3_l0.4_r0.5_k02,0.4,0.5,2,False,33,7,0.002384,True,True,True
A3_l0.4_r0.5_k04,0.4,0.5,4,False,43,3,0.003666,True,True,True
A3_l0.4_r0.5_k08,0.4,0.5,8,False,35,15,0.004289,True,True,True
A3_l0.4_r0.5_k16,0.4,0.5,16,False,17,13,0.002189,True,True,False
A3_l0.4_r1.0_k02,0.4,1.0,2,False,15,9,3.4e-05,True,True,True
A3_l0.4_r1.0_k04,0.4,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.4_r1.0_k08,0.4,1.0,8,False,22,3,7.6e-05,True,True,True
A3_l0.4_r1.0_k16,0.4,1.0,16,False,9,11,3.4e-05,True,True,True
A3_l0.5_r0.0_k02,0.5,0.0,2,False,16,11,0.228889,True,True,True
A3_l0.5_r0.0_k04,0.5,0.0,4,False,57,4,0.183483,True,True,True
A3_l0.5_r0.0_k08,0.5,0.0,8,False,67,8,0.346172,True,True,False
A3_l0.5_r0.0_k16,0.5,0.0,16,False,40,8,0.17205,True,True,False
A3_l0.5_r0.5_k02,0.5,0.5,2,False,25,15,0.002124,True,True,True
A3_l0.5_r0.5_k04,0.5,0.5,4,False,35,3,0.003666,True,True,True
A3_l0.5_r0.5_k08,0.5,0.5,8,False,35,15,0.004289,True,True,True
A3_l0.5_r0.5_k16,0.5,0.5,16,False,15,11,0.002124,True,True,False
A3_l0.5_r1.0_k02,0.5,1.0,2,False,12,9,3.2e-05,True,True,True
A3_l0.5_r1.0_k04,0.5,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.5_r1.0_k08,0.5,1.0,8,False,19,3,7.6e-05,True,True,True
A3_l0.5_r1.0_k16,0.5,1.0,16,False,8,11,3.2e-05,True,True,True
A3_l0.6_r0.0_k02,0.6,0.0,2,False,16,11,0.228889,True,True,True
A3_l0.6_r0.0_k04,0.6,0.0,4,False,57,4,0.183483,True,True,True
A3_l0.6_r0.0_k08,0.6,0.0,8,False,67,8,0.346172,True,True,False
A3_l0.6_r0.0_k16,0.6,0.0,16,False,40,8,0.17205,True,True,False
A3_l0.6_r0.5_k02,0.6,0.5,2,False,22,5,0.00206,True,True,True
A3_l0.6_r0.5_k04,0.6,0.5,4,False,29,3,0.003666,True,True,True
A3_l0.6_r0.5_k08,0.6,0.5,8,False,30,3,0.004289,True,True,True
A3_l0.6_r0.5_k16,0.6,0.5,16,False,13,10,0.00206,True,True,True
A3_l0.6_r1.0_k02,0.6,1.0,2,False,10,9,2.9e-05,True,True,True
A3_l0.6_r1.0_k04,0.6,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.6_r1.0_k08,0.6,1.0,8,False,17,3,7.6e-05,True,True,True
A3_l0.6_r1.0_k16,0.6,1.0,16,False,6,11,2.9e-05,True,True,True
A3_l0.7_r0.0_k02,0.7,0.0,2,False,16,11,0.228889,True,True,True
A3_l0.7_r0.0_k04,0.7,0.0,4,False,57,4,0.183483,True,True,True
A3_l0.7_r0.0_k08,0.7,0.0,8,False,67,8,0.346172,True,True,False
A3_l0.7_r0.0_k16,0.7,0.0,16,False,40,8,0.17205,True,True,False
A3_l0.7_r0.5_k02,0.7,0.5,2,False,17,4,0.001995,True,True,True
A3_l0.7_r0.5_k04,0.7,0.5,4,False,23,3,0.003666,True,True,True
A3_l0.7_r0.5_k08,0.7,0.5,8,False,24,3,0.004289,True,True,True
A3_l0.7_r0.5_k16,0.7,0.5,16,False,9,9,0.001995,True,True,True
A3_l0.7_r1.0_k02,0.7,1.0,2,False,7,8,2.7e-05,True,True,True
A3_l0.7_r1.0_k04,0.7,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.7_r1.0_k08,0.7,1.0,8,False,11,16,7.5e-05,True,True,True
A3_l0.7_r1.0_k16,0.7,1.0,16,False,10,10,2.7e-05,True,True,True
A3_l0.8_r0.0_k02,0.8,0.0,2,False,16,11,0.228889,True,True,True
A3_l0.8_r0.0_k04,0.8,0.0,4,False,57,4,0.183483,True,True,True
A3_l0.8_r0.0_k08,0.8,0.0,8,False,67,8,0.346172,True,True,False
A3_l0.8_r0.0_k16,0.8,0.0,16,False,40,8,0.17205,True,True,False
A3_l0.8_r0.5_k02,0.8,0.5,2,False,16,3,0.001931,True,True,True
A3_l0.8_r0.5_k04,0.8,0.5,4,False,19,3,0.003666,True,True,True
A3_l0.8_r0.5_k08,0.8,0.5,8,False,20,3,0.004289,True,True,True
A3_l0.8_r0.5_k16,0.8,0.5,16,False,8,8,0.001931,True,True,True
A3_l0.8_r1.0_k02,0.8,1.0,2,False,7,7,2.5e-05,True,True,True
A3_l0.8_r1.0_k04,0.8,1.0,4,False,10,17,3e-05,True,True,True
A3_l0.8_r1.0_k08,0.8,1.0,8,False,11,16,7.5e-05,True,True,True
A3_l0.8_r1.0_k16,0.8,1.0,16,False,9,10,2.5e-05,True,True,True
A3_l0.9_r0.0_k02,0.9,0.0,2,False,16,11,0.228889,True,True,True
A3_l0.9_r0.0_k04,0.9,0.0,4,False,57,4,0.183483,True,True,True
A3_l0.9_r0.0_k08,0.9,0.0,8,False,67,8,0.346172,True,True,False
A3_l0.9_r0.0_k16,0.9,0.0,16,False,40,8,0.17205,True,True,False
A3_l0.9_r0.5_k02,0.9,0.5,2,False,16,2,0.001866,True,True,True
A3_l0.9_r0.5_k04,0.9,0.5,4,False,18,3,0.003666,True,True,True
A3_l0.9_r0.5_k08,0.9,0.5,8,False,19,3,0.004289,True,True,True
A3_l0.9_r0.5_k16,0.9,0.5,16,False,8,7,0.001866,True,True,True
A3_l0.9_r1.0_k02,0.9,1.0,2,False,7,7,2.4e-05,True,True,True
A3_l0.9_r1.0_k04,0.9,1.0,4,False,14,3,5.9e-05,True,True,True
A3_l0.9_r1.0_k08,0.9,1.0,8,False,14,3,7.5e-05,True,True,True
A3_l0.9_r1.0_k16,0.9,1.0,16,False,5,11,2.2e-05,True,True,True
A3_l1.0_r0.0_k02,1.0,0.0,2,False,16,11,0.228889,True,True,True
A3_l1.0_r0.0_k04,1.0,0.0,4,False,57,4,0.183483,True,True,True
A3_l1.0_r0.0_k08,1.0,0.0,8,False,67,8,0.346172,True,True,False
A3_l1.0_r0.0_k16,1.0,0.0,16,False,40,8,0.17205,True,True,False
A3_l1.0_r0.5_k02,1.0,0.5,2,False,13,2,0.001802,True,True,True
A3_l1.0_r0.5_k04,1.0,0.5,4,False,15,3,0.003666,True,True,True
A3_l1.0_r0.5_k08,1.0,0.5,8,False,15,3,0.004289,True,True,True
A3_l1.0_r0.5_k16,1.0,0.5,16,False,9,6,0.001802,True,True,True
A3_l1.0_r1.0_k02,1.0,1.0,2,False,7,7,2.3e-05,True,True,True
A3_l1.0_r1.0_k04,1.0,1.0,4,False,13,3,5.9e-05,True,True,True
A3_l1.0_r1.0_k08,1.0,1.0,8,False,13,3,7.5e-05,True,True,True
A3_l1.0_r1.0_k16,1.0,1.0,16,False,4,11,2e-05,True,True,True
