arm,probe_token_index,probe_token,k,visible_unit_count,selected_unit_indices,selected_units,attention_mass,cue,target_cosine,baseline_delta,target_similarity_rank,k_eligible
all_heads,1,Ġpainting,1,2,0,What,0.6943909525871277,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,1,Ġpainting,2,2,0|1,What|painting,1.0000744462013245,What painting,0.13443900644779205,0.014017030596733093,48,False
all_heads,2,Ġis,1,3,0,What,0.5922940373420715,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,2,Ġis,2,3,0|2,What|is,0.8255443423986435,What is,0.1317884773015976,0.011366501450538635,77,False
all_heads,2,Ġis,3,3,0|1|2,What|painting|is,1.0000055134296417,What painting is,0.12406805902719498,0.003646083176136017,36,False
all_heads,3,Ġknown,1,4,0,What,0.5306814908981323,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,3,Ġknown,2,4,0|3,What|known,0.7355470657348633,What known,0.07218224555253983,-0.048239730298519135,90,False
all_heads,3,Ġknown,3,4,0|2|3,What|is|known,0.876197949051857,What is known,0.08453008532524109,-0.03589189052581787,91,False
all_heads,3,Ġknown,4,4,0|1|2|3,What|painting|is|known,0.9999814406037331,What painting is known,0.12106816470623016,0.0006461888551712036,57,False
all_heads,4,Ġas,1,5,0,What,0.49583983421325684,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,4,Ġas,2,5,0|4,What|as,0.6841829270124435,What as,0.09893851727247238,-0.02148345857858658,76,False
all_heads,4,Ġas,3,5,0|1|4,What|painting|as,0.8145290911197662,What painting as,0.12705230712890625,0.00663033127784729,42,False
all_heads,4,Ġas,4,5,0|1|2|4,What|painting|is|as,0.9226283803582191,What painting is as,0.13179463148117065,0.011372655630111694,38,False
all_heads,4,Ġas,5,5,0|1|2|3|4,What|painting|is|known|as,0.9999212101101875,What painting is known as,0.1193014457821846,-0.0011205300688743591,62,False
all_heads,5,ĠThe,1,6,0,What,0.47610142827033997,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,5,ĠThe,2,6,0|5,What|The,0.7105196565389633,What The,0.08144200593233109,-0.038979969918727875,91,False
all_heads,5,ĠThe,3,6,0|1|5,What|painting|The,0.8421675264835358,What painting The,0.11569797247648239,-0.004724003374576569,38,False
all_heads,5,ĠThe,4,6,0|1|2|5,What|painting|is|The,0.9185290858149529,What painting is The,0.10834714770317078,-0.012074828147888184,53,False
all_heads,5,ĠThe,5,6,0|1|2|4|5,What|painting|is|as|The,0.9702671505510807,What painting is as The,0.13601666688919067,0.015594691038131714,46,False
all_heads,5,ĠThe,6,6,0|1|2|3|4|5,What|painting|is|known|as|The,1.0000959672033787,What painting is known as The,0.09184900671243668,-0.028572969138622284,70,False
all_heads,6,ĠAnn,1,7,0,What,0.4282616674900055,What,0.10575313866138458,-0.014668837189674377,84,False
all_heads,6,ĠAnn,2,7,0|6,What|Annunciation,0.7243223488330841,What Annunciation,0.11285160481929779,-0.007570371031761169,76,False
all_heads,6,ĠAnn,3,7,0|5|6,What|The|Annunciation,0.8342856839299202,What The Annunciation,0.12595878541469574,0.00553680956363678,70,False
all_heads,6,ĠAnn,4,7,0|1|5|6,What|painting|The|Annunciation,0.9035956934094429,What painting The Annunciation,0.1527552753686905,0.03233329951763153,36,False
all_heads,6,ĠAnn,5,7,0|1|2|5|6,What|painting|is|The|Annunciation,0.9560828395187855,What painting is The Annunciation,0.12590624392032623,0.005484268069267273,48,False
