layer_slot,model_layer,head,score,selected
0,3,0,0.21354166666666666,True
0,3,1,0.81770833333333337,True
0,3,2,0,False
0,3,3,0.171875,True
0,3,4,0.55729166666666663,True
0,3,5,0.140625,True
0,3,6,0.30208333333333331,True
0,3,7,0.265625,True
0,3,8,0.57291666666666663,True
0,3,9,0.31770833333333331,True
0,3,10,0.005208333333333333,False
0,3,11,0.50520833333333337,True
0,3,12,0.52604166666666663,True
0,3,13,0.203125,True
0,3,14,0.25,True
0,3,15,0.484375,True
0,3,16,0.66666666666666663,True
0,3,17,0.14583333333333334,True
0,3,18,0.203125,True
0,3,19,1,True
0,3,20,0.61458333333333337,True
0,3,21,1,True
0,3,22,0.45833333333333331,True
0,3,23,0.88020833333333337,True
1,7,0,0.34895833333333331,True
1,7,1,0.41666666666666669,True
1,7,2,0.46875,True
1,7,3,0.22395833333333334,True
1,7,4,0,False
1,7,5,0.71354166666666663,True
1,7,6,0.734375,True
1,7,7,0.66666666666666663,True
1,7,8,0.83333333333333337,True
1,7,9,0.78645833333333337,True
1,7,10,0.17708333333333334,True
1,7,11,0.296875,True
1,7,12,0.088541666666666671,False
1,7,13,0.109375,True
1,7,14,0.020833333333333332,False
1,7,15,0.31770833333333331,True
1,7,16,0.765625,True
1,7,17,0.52604166666666663,True
1,7,18,0.453125,True
1,7,19,0.75,True
1,7,20,0.35416666666666669,True
1,7,21,0.125,True
1,7,22,0.76041666666666663,True
1,7,23,0.15625,True
2,11,0,0.005208333333333333,False
2,11,1,0.24479166666666666,True
2,11,2,0,False
2,11,3,0.31770833333333331,True
2,11,4,0.50520833333333337,True
2,11,5,0.33333333333333331,True
2,11,6,0.057291666666666664,False
2,11,7,0.13541666666666666,True
2,11,8,0.40104166666666669,True
2,11,9,0.35416666666666669,True
2,11,10,0.22395833333333334,True
2,11,11,0.015625,False
2,11,12,0.359375,True
2,11,13,0.265625,True
2,11,14,0.74479166666666663,True
2,11,15,0.61458333333333337,True
2,11,16,0.81770833333333337,True
2,11,17,0.828125,True
2,11,18,0.21875,True
2,11,19,0.296875,True
2,11,20,0.359375,True
2,11,21,0.46354166666666669,True
2,11,22,0.8125,True
2,11,23,0.69270833333333337,True
