configuration_id,segment_width,boundary_offset,per_segment_budget,q11_fact_count,q11_domain_count,serialized_chars,selected_episode_count,targeted_preserved,targeted_required,q4_item_count,primary_gate,no_regression_gate,surrogate_gate
s01_o00_b1,1,0,1,1,1,13629,5,,16,,False,False,False
s01_o00_b2,1,0,2,6,3,26666,9,,16,,False,False,False
s02_o00_b1,2,0,1,4,2,16020,6,,16,,False,False,False
s02_o00_b2,2,0,2,6,3,28988,10,,16,,False,False,False
s02_o01_b1,2,1,1,4,1,11495,6,,16,,False,False,False
s02_o01_b2,2,1,2,9,4,24505,10,,16,,False,False,True
s03_o00_b1,3,0,1,3,1,10951,5,,16,,False,False,False
s03_o00_b2,3,0,2,9,3,24777,10,,16,,False,False,False
s03_o01_b1,3,1,1,5,2,16968,7,,16,,False,False,False
s03_o01_b2,3,1,2,7,3,28910,10,,16,,False,False,False
s03_o02_b1,3,2,1,9,4,16811,8,,16,,False,False,True
s03_o02_b2,3,2,2,10,4,29503,11,13,16,4,False,False,True
s04_o00_b1,4,0,1,7,2,11724,6,,16,,False,False,False
s04_o00_b2,4,0,2,9,3,25186,10,,16,,False,False,False
s04_o01_b1,4,1,1,8,3,12661,7,,16,,False,False,False
s04_o01_b2,4,1,2,10,3,21761,10,14,16,4,False,False,False
s04_o02_b1,4,2,1,1,1,16195,6,,16,,False,False,False
s04_o02_b2,4,2,2,10,4,28730,10,14,16,4,False,False,True
s04_o03_b1,4,3,1,4,1,11131,5,,16,,False,False,False
s04_o03_b2,4,3,2,7,2,19719,9,,16,,False,False,False
s05_o00_b1,5,0,1,4,2,11999,5,,16,,False,False,False
s05_o00_b2,5,0,2,9,3,20266,7,,16,,False,False,False
s05_o01_b1,5,1,1,4,2,16788,7,,16,,False,False,False
s05_o01_b2,5,1,2,5,2,17146,8,,16,,False,False,False
s05_o02_b1,5,2,1,4,1,11495,6,,16,,False,False,False
s05_o02_b2,5,2,2,4,1,19126,8,,16,,False,False,False
s05_o03_b1,5,3,1,7,2,7871,6,,16,,False,False,False
s05_o03_b2,5,3,2,7,2,15502,8,,16,,False,False,False
s05_o04_b1,5,4,1,7,2,7444,5,,16,,False,False,False
s05_o04_b2,5,4,2,7,2,15502,8,,16,,False,False,False
s06_o00_b1,6,0,1,3,1,10951,5,,16,,False,False,False
s06_o00_b2,6,0,2,8,2,19304,9,,16,,False,False,False
s06_o01_b1,6,1,1,1,1,7553,4,,16,,False,False,False
s06_o01_b2,6,1,2,4,2,12363,6,,16,,False,False,False
s06_o02_b1,6,2,1,4,2,8146,5,,16,,False,False,False
s06_o02_b2,6,2,2,5,2,12721,7,,16,,False,False,False
s06_o03_b1,6,3,1,4,1,6935,4,,16,,False,False,False
s06_o03_b2,6,3,2,4,1,19147,8,,16,,False,False,False
s06_o04_b1,6,4,1,5,2,12179,5,,16,,False,False,False
s06_o04_b2,6,4,2,5,2,19873,7,,16,,False,False,False
s06_o05_b1,6,5,1,7,2,7444,5,,16,,False,False,False
s06_o05_b2,6,5,2,7,2,19376,8,,16,,False,False,False
s07_o00_b1,7,0,1,4,1,6935,4,,16,,False,False,False
s07_o00_b2,7,0,2,4,1,14930,7,,16,,False,False,False
s07_o01_b1,7,1,1,4,1,7215,5,,16,,False,False,False
s07_o01_b2,7,1,2,4,1,14930,7,,16,,False,False,False
