segment_index,segment_text,local_rank,candidate_id,source_turn,domain,cosine,outcome
0,List,1,4d41447d-9776-4ff5-baf3-c38c6974b982,2,civil_engineering,0.43470117449760437,selected
1,"every specific numerical value,",1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,probe,0.3926086723804474,selected
2,"named entity, and technical",1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,probe,0.44929811358451843,duplicate
3,specification we established across,1,e4286c8d-3430-43d1-9a53-15c87df89493,1,civil_engineering,0.4925521910190582,selected
4,all four topics in,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,probe,0.3627723455429077,duplicate
5,our entire conversation today,1,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,renaissance_art,0.3737947642803192,selected
6,"— bridge engineering, Renaissance",1,35725a87-15ce-4373-8456-214188818afb,3,civil_engineering,0.4434596598148346,selected
7,"art, monetary policy, and",1,e3775be9-d8db-4286-8e1e-bd4ee9f57ff8,79,monetary_policy,0.3820734918117523,selected
8,marine biology.,1,77a1d148-12da-4a70-874d-42e816497c9a,118,probe,0.4782271087169647,selected
0,List,2,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,probe,0.4317290782928467,duplicate
1,"every specific numerical value,",2,e4286c8d-3430-43d1-9a53-15c87df89493,1,civil_engineering,0.34920254349708557,duplicate
2,"named entity, and technical",2,e4286c8d-3430-43d1-9a53-15c87df89493,1,civil_engineering,0.4415628910064697,duplicate
3,specification we established across,2,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,probe,0.4638892412185669,duplicate
4,all four topics in,2,4d41447d-9776-4ff5-baf3-c38c6974b982,2,civil_engineering,0.34321799874305725,duplicate
5,our entire conversation today,2,e4286c8d-3430-43d1-9a53-15c87df89493,1,civil_engineering,0.31875792145729065,duplicate
6,"— bridge engineering, Renaissance",2,dd904725-094b-4f94-a8fc-ca18668ad246,113,probe,0.3860774338245392,selected
7,"art, monetary policy, and",2,48b41502-2e76-4bfd-9d96-be8af9312a55,84,monetary_policy,0.3724050521850586,selected
8,marine biology.,2,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,102,marine_biology,0.3886919617652893,selected
