configuration_id,arm,pool,lambda,r,k,q11_fact_count,q11_domain_count,civil,art,monetary,marine,serialized_chars,selected_episode_count,facts_per_10k_chars,prior_answer_fraction,oracle_overlap,optimality_ratio,targeted_preserved,targeted_required,primary_gate,no_regression_gate,surrogate_gate
A1_l0.0,A1,full_eligible_store,0.0,,,12,4,3,3,2,4,31771,10,3.777,0.2,1,,13,16,True,False,True
A1_l0.1,A1,full_eligible_store,0.1,,,12,4,5,3,2,2,31789,10,3.775,0.1,1,,13,16,True,False,True
A1_l0.2,A1,full_eligible_store,0.2,,,12,4,5,3,2,2,31806,9,3.773,0.0,0,,14,16,True,False,True
A1_l0.3,A1,full_eligible_store,0.3,,,11,4,5,1,1,4,31883,11,3.45,0.273,2,,14,16,True,False,True
A1_l0.4,A1,full_eligible_store,0.4,,,12,4,5,1,2,4,31800,11,3.774,0.273,2,,16,16,True,True,True
A1_l0.5,A1,full_eligible_store,0.5,,,10,3,5,1,0,4,31921,14,3.133,0.214,2,,16,16,True,True,False
A1_l0.6,A1,full_eligible_store,0.6,,,10,3,5,1,0,4,31944,13,3.13,0.231,2,,16,16,True,True,False
A1_l0.7,A1,full_eligible_store,0.7,,,9,3,5,0,1,3,31954,10,2.817,0.0,0,,16,16,True,True,False
A1_l0.8,A1,full_eligible_store,0.8,,,9,3,5,0,1,3,31950,11,2.817,0.0,0,,16,16,True,True,False
A1_l0.9,A1,full_eligible_store,0.9,,,7,3,3,0,1,3,31957,11,2.19,0.0,0,,16,16,True,True,False
A1_l1.0,A1,full_eligible_store,1.0,,,7,3,3,0,1,3,31957,11,2.19,0.0,0,,16,16,True,True,False
A2_r0.0,A2,full_eligible_store,,0.0,,13,3,5,4,0,4,31980,11,4.065,0.091,1,0.9996,12,16,True,False,False
A2_r0.5,A2,full_eligible_store,,0.5,,12,3,5,3,0,4,31643,13,3.792,0.308,3,0.9961,14,16,True,False,False
A2_r1.0,A2,full_eligible_store,,1.0,,12,3,5,3,0,4,31366,16,3.826,0.312,4,0.9967,14,16,True,False,False
A3_l0.0_r0.0_k02,A3,full_eligible_store,0.0,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9925,16,16,True,True,False
A3_l0.0_r0.0_k04,A3,full_eligible_store,0.0,0.0,4,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9925,16,16,True,True,False
A3_l0.0_r0.0_k08,A3,full_eligible_store,0.0,0.0,8,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9925,16,16,True,True,False
A3_l0.0_r0.0_k16,A3,full_eligible_store,0.0,0.0,16,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9925,16,16,True,True,False
A3_l0.0_r0.5_k02,A3,full_eligible_store,0.0,0.5,2,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9796,16,16,True,True,True
A3_l0.0_r0.5_k04,A3,full_eligible_store,0.0,0.5,4,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9796,16,16,True,True,True
A3_l0.0_r0.5_k08,A3,full_eligible_store,0.0,0.5,8,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9796,16,16,True,True,True
A3_l0.0_r0.5_k16,A3,full_eligible_store,0.0,0.5,16,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9796,16,16,True,True,True
A3_l0.0_r1.0_k02,A3,full_eligible_store,0.0,1.0,2,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9913,16,16,True,True,False
A3_l0.0_r1.0_k04,A3,full_eligible_store,0.0,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9913,16,16,True,True,False
A3_l0.0_r1.0_k08,A3,full_eligible_store,0.0,1.0,8,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9913,16,16,True,True,False
