step,episode_id,source_turn,cosine_rank,cosine,additive_chars,fact_bearing,q11_items
1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,1,0.5371,768,False,
2,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4,0.4009,4217,False,
3,e4286c8d-3430-43d1-9a53-15c87df89493,1,2,0.4973,897,False,
4,4d41447d-9776-4ff5-baf3-c38c6974b982,2,3,0.493,364,False,
5,1ec94493-58ad-4f1a-96e5-caac118e854f,78,9,0.3032,4170,False,
6,70351c1e-c8bb-4a20-8925-559b39e0e936,110,10,0.2999,4472,True,marine:Vampyroteuthis infernalis; marine:600; marine:marine snow
7,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,11,0.2851,3000,True,civil:Halcyon Crossing; civil:Dr. Anara Bekova
8,35725a87-15ce-4373-8456-214188818afb,3,5,0.3767,593,True,civil:Halcyon Crossing; civil:847; civil:Dr. Anara Bekova
9,c134f401-afa1-43d1-9e80-6d5212904c99,54,6,0.3652,4425,False,
10,48b41502-2e76-4bfd-9d96-be8af9312a55,84,7,0.349,5473,True,monetary:Federal Reserve
11,77a1d148-12da-4a70-874d-42e816497c9a,118,21,0.2231,773,True,marine:Vampyroteuthis infernalis; marine:Dr. Kenji Watanabe; marine:600; marine:marine snow
12,dd904725-094b-4f94-a8fc-ca18668ad246,113,14,0.264,358,True,civil:Halcyon Crossing; civil:Dr. Anara Bekova; civil:92.4
13,7307e832-370a-43ea-b25b-449f929de49e,115,50,0.1546,597,True,art:The Annunciation of Forli
14,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,22,0.2227,417,True,civil:Halcyon Crossing; civil:847; civil:S460ML
15,4c611a05-6ad0-434a-a188-1cdb941acf58,116,86,0.1088,994,True,art:The Annunciation of Forli; art:Melozzo da Forli
