configuration_id,arm,pool,turn_90,turn_112,turn_113,turn_116,turn_118,found,missed
A1_l0.0,A1,full_eligible_store,False,False,True,False,False,1,4
A1_l0.1,A1,full_eligible_store,False,False,True,False,False,1,4
A1_l0.2,A1,full_eligible_store,False,False,False,False,False,0,5
A1_l0.3,A1,full_eligible_store,False,True,False,False,True,2,3
A1_l0.4,A1,full_eligible_store,False,True,False,False,True,2,3
A1_l0.5,A1,full_eligible_store,False,False,True,False,True,2,3
A1_l0.6,A1,full_eligible_store,False,False,True,False,True,2,3
A1_l0.7,A1,full_eligible_store,False,False,False,False,False,0,5
A1_l0.8,A1,full_eligible_store,False,False,False,False,False,0,5
A1_l0.9,A1,full_eligible_store,False,False,False,False,False,0,5
A1_l1.0,A1,full_eligible_store,False,False,False,False,False,0,5
A2_r0.0,A2,full_eligible_store,False,True,False,False,False,1,4
A2_r0.5,A2,full_eligible_store,False,True,True,False,True,3,2
A2_r1.0,A2,full_eligible_store,False,True,True,True,True,4,1
A3_l0.0_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.0_r0.0_k04,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.0_r0.0_k08,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.0_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.0_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.0_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.0_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.0_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.0_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.0_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.0_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.0_r1.0_k16,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.1_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.1_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.1_r0.0_k08,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.1_r0.0_k16,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.1_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.1_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.1_r0.5_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.1_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.1_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.1_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.1_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.1_r1.0_k16,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.2_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.2_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.2_r0.0_k08,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.2_r0.0_k16,A3,full_eligible_store,False,True,True,False,False,2,3
A3_l0.2_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.2_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.2_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.2_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.2_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.2_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.2_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.2_r1.0_k16,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.3_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.3_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.3_r0.0_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.3_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.3_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.3_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.3_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.3_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.3_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.3_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.3_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.3_r1.0_k16,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.4_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.4_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.4_r0.0_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.4_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.4_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.4_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.4_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.4_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.4_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.4_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.4_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.4_r1.0_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.5_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.5_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.5_r0.0_k08,A3,full_eligible_store,False,False,True,False,False,1,4
A3_l0.5_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.5_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.5_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.5_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.5_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.5_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.5_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.5_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.5_r1.0_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.6_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.6_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.6_r0.0_k08,A3,full_eligible_store,False,False,True,False,False,1,4
A3_l0.6_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.6_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.6_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.6_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.6_r0.5_k16,A3,full_eligible_store,False,False,True,False,True,2,3
A3_l0.6_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.6_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.6_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.6_r1.0_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.7_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.7_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.7_r0.0_k08,A3,full_eligible_store,False,False,True,False,False,1,4
A3_l0.7_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.7_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.7_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.7_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.7_r0.5_k16,A3,full_eligible_store,False,False,True,False,True,2,3
A3_l0.7_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.7_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.7_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.7_r1.0_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.8_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.8_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.8_r0.0_k08,A3,full_eligible_store,False,False,True,False,False,1,4
A3_l0.8_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.8_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.8_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.8_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.8_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.8_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.8_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.8_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.8_r1.0_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.9_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.9_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.9_r0.0_k08,A3,full_eligible_store,False,False,True,False,False,1,4
A3_l0.9_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l0.9_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.9_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.9_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.9_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l0.9_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.9_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.9_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l0.9_r1.0_k16,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l1.0_r0.0_k02,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l1.0_r0.0_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l1.0_r0.0_k08,A3,full_eligible_store,False,False,True,False,False,1,4
A3_l1.0_r0.0_k16,A3,full_eligible_store,False,False,False,False,False,0,5
A3_l1.0_r0.5_k02,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l1.0_r0.5_k04,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l1.0_r0.5_k08,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l1.0_r0.5_k16,A3,full_eligible_store,False,True,True,False,True,3,2
A3_l1.0_r1.0_k02,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l1.0_r1.0_k04,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l1.0_r1.0_k08,A3,full_eligible_store,False,True,True,True,True,4,1
A3_l1.0_r1.0_k16,A3,full_eligible_store,False,True,True,True,True,4,1
A1_l0.0,A1,cosine_top_100,False,False,True,True,False,2,3
A1_l0.1,A1,cosine_top_100,False,True,True,False,False,2,3
A1_l0.2,A1,cosine_top_100,False,True,False,False,False,1,4
A1_l0.3,A1,cosine_top_100,False,True,False,False,True,2,3
A1_l0.4,A1,cosine_top_100,False,True,False,False,True,2,3
A1_l0.5,A1,cosine_top_100,False,False,True,False,True,2,3
A1_l0.6,A1,cosine_top_100,False,False,True,False,True,2,3
A1_l0.7,A1,cosine_top_100,False,False,False,False,False,0,5
A1_l0.8,A1,cosine_top_100,False,False,False,False,False,0,5
A1_l0.9,A1,cosine_top_100,False,False,False,False,False,0,5
A1_l1.0,A1,cosine_top_100,False,False,False,False,False,0,5
A2_r0.0,A2,cosine_top_100,False,False,True,False,False,1,4
A2_r0.5,A2,cosine_top_100,False,True,True,False,True,3,2
A2_r1.0,A2,cosine_top_100,False,True,True,True,True,4,1
A3_l0.0_r0.0_k02,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.0_r0.0_k04,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.0_r0.0_k08,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.0_r0.0_k16,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.0_r0.5_k02,A3,cosine_top_100,False,True,True,False,True,3,2
A3_l0.0_r0.5_k04,A3,cosine_top_100,False,True,True,False,True,3,2
A3_l0.0_r0.5_k08,A3,cosine_top_100,False,True,True,False,True,3,2
A3_l0.0_r0.5_k16,A3,cosine_top_100,False,True,True,False,True,3,2
A3_l0.0_r1.0_k02,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.0_r1.0_k04,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.0_r1.0_k08,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.0_r1.0_k16,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.1_r0.0_k02,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.1_r0.0_k04,A3,cosine_top_100,False,False,True,False,False,1,4
A3_l0.1_r0.0_k08,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.1_r0.0_k16,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.1_r0.5_k02,A3,cosine_top_100,False,True,True,False,True,3,2
A3_l0.1_r0.5_k04,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.1_r0.5_k08,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.1_r0.5_k16,A3,cosine_top_100,False,True,True,False,True,3,2
A3_l0.1_r1.0_k02,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.1_r1.0_k04,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.1_r1.0_k08,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.1_r1.0_k16,A3,cosine_top_100,False,True,True,True,True,4,1
A3_l0.2_r0.0_k02,A3,cosine_top_100,False,False,False,False,False,0,5
A3_l0.2_r0.0_k04,A3,cosine_top_100,False,False,True,False,False,1,4
A3_l0.2_r0.0_k08,A3,cosine_top_100,False,False,True,False,True,2,3
A3_l0.2_r0.0_k16,A3,cosine_top_100,False,True,True,False,True,3,2
A3_l0.2_r0.5_k02,A3,cosine_top_100,False,True,True,False,True,3,2
