configuration_id,arm,pool,q11_fact_count,q11_domain_count,serialized_chars,oracle_overlap
A1_l0.0,A1,full_eligible_store,12,4,31771,1
A1_l0.1,A1,full_eligible_store,12,4,31789,1
A1_l0.2,A1,full_eligible_store,12,4,31806,0
A1_l0.3,A1,full_eligible_store,11,4,31883,2
A1_l0.4,A1,full_eligible_store,12,4,31800,2
A1_l0.5,A1,full_eligible_store,10,3,31921,2
A1_l0.6,A1,full_eligible_store,10,3,31944,2
A1_l0.7,A1,full_eligible_store,9,3,31954,0
A1_l0.8,A1,full_eligible_store,9,3,31950,0
A1_l0.9,A1,full_eligible_store,7,3,31957,0
A1_l1.0,A1,full_eligible_store,7,3,31957,0
A2_r0.0,A2,full_eligible_store,13,3,31980,1
A2_r0.5,A2,full_eligible_store,12,3,31643,3
A2_r1.0,A2,full_eligible_store,12,3,31366,4
A3_l0.0_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.0_r0.0_k04,A3,full_eligible_store,7,3,31957,0
A3_l0.0_r0.0_k08,A3,full_eligible_store,7,3,31957,0
A3_l0.0_r0.0_k16,A3,full_eligible_store,7,3,31957,0
A3_l0.0_r0.5_k02,A3,full_eligible_store,11,4,31069,3
A3_l0.0_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.0_r0.5_k08,A3,full_eligible_store,11,4,31069,3
A3_l0.0_r0.5_k16,A3,full_eligible_store,11,4,31069,3
A3_l0.0_r1.0_k02,A3,full_eligible_store,11,3,31399,4
A3_l0.0_r1.0_k04,A3,full_eligible_store,11,3,31399,4
A3_l0.0_r1.0_k08,A3,full_eligible_store,11,3,31399,4
A3_l0.0_r1.0_k16,A3,full_eligible_store,11,3,31399,4
A3_l0.1_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.1_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l0.1_r0.0_k08,A3,full_eligible_store,7,3,31957,0
A3_l0.1_r0.0_k16,A3,full_eligible_store,12,4,31569,4
A3_l0.1_r0.5_k02,A3,full_eligible_store,11,4,31069,3
A3_l0.1_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.1_r0.5_k08,A3,full_eligible_store,11,3,31774,4
A3_l0.1_r0.5_k16,A3,full_eligible_store,10,3,31578,3
A3_l0.1_r1.0_k02,A3,full_eligible_store,11,3,31358,4
A3_l0.1_r1.0_k04,A3,full_eligible_store,11,3,31399,4
A3_l0.1_r1.0_k08,A3,full_eligible_store,11,3,31775,4
A3_l0.1_r1.0_k16,A3,full_eligible_store,11,3,31858,4
A3_l0.2_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.2_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l0.2_r0.0_k08,A3,full_eligible_store,7,3,31662,0
A3_l0.2_r0.0_k16,A3,full_eligible_store,11,3,31961,2
A3_l0.2_r0.5_k02,A3,full_eligible_store,11,4,31069,3
A3_l0.2_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.2_r0.5_k08,A3,full_eligible_store,10,3,31552,3
A3_l0.2_r0.5_k16,A3,full_eligible_store,10,3,31382,3
A3_l0.2_r1.0_k02,A3,full_eligible_store,11,3,31862,4
A3_l0.2_r1.0_k04,A3,full_eligible_store,11,3,31399,4
A3_l0.2_r1.0_k08,A3,full_eligible_store,11,3,31916,4
A3_l0.2_r1.0_k16,A3,full_eligible_store,11,3,31686,4
A3_l0.3_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.3_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l0.3_r0.0_k08,A3,full_eligible_store,11,4,31702,3
A3_l0.3_r0.0_k16,A3,full_eligible_store,7,3,31903,0
A3_l0.3_r0.5_k02,A3,full_eligible_store,11,4,31069,3
A3_l0.3_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.3_r0.5_k08,A3,full_eligible_store,10,3,31834,3
A3_l0.3_r0.5_k16,A3,full_eligible_store,10,3,31382,3
