configuration_id,arm,pool,selected_episode_count,prior_answer_fraction
A1_l0.0,A1,full_eligible_store,10,0.2
A1_l0.1,A1,full_eligible_store,10,0.1
A1_l0.2,A1,full_eligible_store,9,0.0
A1_l0.3,A1,full_eligible_store,11,0.273
A1_l0.4,A1,full_eligible_store,11,0.273
A1_l0.5,A1,full_eligible_store,14,0.214
A1_l0.6,A1,full_eligible_store,13,0.231
A1_l0.7,A1,full_eligible_store,10,0.0
A1_l0.8,A1,full_eligible_store,11,0.0
A1_l0.9,A1,full_eligible_store,11,0.0
A1_l1.0,A1,full_eligible_store,11,0.0
A2_r0.0,A2,full_eligible_store,11,0.091
A2_r0.5,A2,full_eligible_store,13,0.308
A2_r1.0,A2,full_eligible_store,16,0.312
A3_l0.0_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.0_r0.0_k04,A3,full_eligible_store,11,0.0
A3_l0.0_r0.0_k08,A3,full_eligible_store,11,0.0
A3_l0.0_r0.0_k16,A3,full_eligible_store,11,0.0
A3_l0.0_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.0_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.0_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.0_r0.5_k16,A3,full_eligible_store,15,0.267
A3_l0.0_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.0_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.0_r1.0_k08,A3,full_eligible_store,17,0.294
A3_l0.0_r1.0_k16,A3,full_eligible_store,17,0.294
A3_l0.1_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.1_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.1_r0.0_k08,A3,full_eligible_store,11,0.0
A3_l0.1_r0.0_k16,A3,full_eligible_store,15,0.333
A3_l0.1_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.1_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.1_r0.5_k08,A3,full_eligible_store,16,0.312
A3_l0.1_r0.5_k16,A3,full_eligible_store,15,0.267
A3_l0.1_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.1_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.1_r1.0_k08,A3,full_eligible_store,17,0.294
A3_l0.1_r1.0_k16,A3,full_eligible_store,17,0.294
A3_l0.2_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.2_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.2_r0.0_k08,A3,full_eligible_store,11,0.0
A3_l0.2_r0.0_k16,A3,full_eligible_store,13,0.154
A3_l0.2_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.2_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.2_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.2_r0.5_k16,A3,full_eligible_store,16,0.25
A3_l0.2_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.2_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.2_r1.0_k08,A3,full_eligible_store,17,0.294
A3_l0.2_r1.0_k16,A3,full_eligible_store,17,0.294
A3_l0.3_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.3_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.3_r0.0_k08,A3,full_eligible_store,14,0.286
A3_l0.3_r0.0_k16,A3,full_eligible_store,9,0.0
A3_l0.3_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.3_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.3_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.3_r0.5_k16,A3,full_eligible_store,16,0.25
A3_l0.3_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.3_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.3_r1.0_k08,A3,full_eligible_store,17,0.294
A3_l0.3_r1.0_k16,A3,full_eligible_store,17,0.294
A3_l0.4_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.4_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.4_r0.0_k08,A3,full_eligible_store,14,0.286
A3_l0.4_r0.0_k16,A3,full_eligible_store,10,0.1
A3_l0.4_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.4_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.4_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.4_r0.5_k16,A3,full_eligible_store,16,0.25
A3_l0.4_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.4_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.4_r1.0_k08,A3,full_eligible_store,16,0.312
A3_l0.4_r1.0_k16,A3,full_eligible_store,16,0.312
A3_l0.5_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.5_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.5_r0.0_k08,A3,full_eligible_store,10,0.1
A3_l0.5_r0.0_k16,A3,full_eligible_store,10,0.1
A3_l0.5_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.5_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.5_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.5_r0.5_k16,A3,full_eligible_store,16,0.25
A3_l0.5_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.5_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.5_r1.0_k08,A3,full_eligible_store,16,0.312
A3_l0.5_r1.0_k16,A3,full_eligible_store,16,0.312
A3_l0.6_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.6_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.6_r0.0_k08,A3,full_eligible_store,10,0.1
A3_l0.6_r0.0_k16,A3,full_eligible_store,10,0.1
A3_l0.6_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.6_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.6_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.6_r0.5_k16,A3,full_eligible_store,15,0.267
A3_l0.6_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.6_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.6_r1.0_k08,A3,full_eligible_store,16,0.312
A3_l0.6_r1.0_k16,A3,full_eligible_store,16,0.312
A3_l0.7_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.7_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.7_r0.0_k08,A3,full_eligible_store,10,0.1
A3_l0.7_r0.0_k16,A3,full_eligible_store,10,0.1
A3_l0.7_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.7_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.7_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.7_r0.5_k16,A3,full_eligible_store,15,0.267
A3_l0.7_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.7_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.7_r1.0_k08,A3,full_eligible_store,16,0.312
A3_l0.7_r1.0_k16,A3,full_eligible_store,16,0.312
A3_l0.8_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.8_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.8_r0.0_k08,A3,full_eligible_store,10,0.1
A3_l0.8_r0.0_k16,A3,full_eligible_store,10,0.1
A3_l0.8_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.8_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.8_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.8_r0.5_k16,A3,full_eligible_store,16,0.312
A3_l0.8_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.8_r1.0_k04,A3,full_eligible_store,17,0.294
A3_l0.8_r1.0_k08,A3,full_eligible_store,16,0.312
A3_l0.8_r1.0_k16,A3,full_eligible_store,16,0.312
A3_l0.9_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l0.9_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l0.9_r0.0_k08,A3,full_eligible_store,10,0.1
A3_l0.9_r0.0_k16,A3,full_eligible_store,10,0.1
A3_l0.9_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l0.9_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l0.9_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l0.9_r0.5_k16,A3,full_eligible_store,16,0.312
A3_l0.9_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l0.9_r1.0_k04,A3,full_eligible_store,17,0.353
A3_l0.9_r1.0_k08,A3,full_eligible_store,16,0.375
A3_l0.9_r1.0_k16,A3,full_eligible_store,17,0.353
A3_l1.0_r0.0_k02,A3,full_eligible_store,11,0.0
A3_l1.0_r0.0_k04,A3,full_eligible_store,13,0.231
A3_l1.0_r0.0_k08,A3,full_eligible_store,10,0.1
A3_l1.0_r0.0_k16,A3,full_eligible_store,10,0.1
A3_l1.0_r0.5_k02,A3,full_eligible_store,15,0.267
A3_l1.0_r0.5_k04,A3,full_eligible_store,15,0.267
A3_l1.0_r0.5_k08,A3,full_eligible_store,15,0.267
A3_l1.0_r0.5_k16,A3,full_eligible_store,16,0.312
A3_l1.0_r1.0_k02,A3,full_eligible_store,17,0.294
A3_l1.0_r1.0_k04,A3,full_eligible_store,17,0.353
A3_l1.0_r1.0_k08,A3,full_eligible_store,16,0.375
A3_l1.0_r1.0_k16,A3,full_eligible_store,17,0.353
A1_l0.0,A1,cosine_top_100,10,0.2
A1_l0.1,A1,cosine_top_100,11,0.273
A1_l0.2,A1,cosine_top_100,11,0.182
A1_l0.3,A1,cosine_top_100,11,0.273
A1_l0.4,A1,cosine_top_100,11,0.273
A1_l0.5,A1,cosine_top_100,14,0.214
A1_l0.6,A1,cosine_top_100,13,0.231
A1_l0.7,A1,cosine_top_100,10,0.0
A1_l0.8,A1,cosine_top_100,11,0.0
A1_l0.9,A1,cosine_top_100,11,0.0
A1_l1.0,A1,cosine_top_100,11,0.0
A2_r0.0,A2,cosine_top_100,12,0.167
A2_r0.5,A2,cosine_top_100,14,0.286
A2_r1.0,A2,cosine_top_100,16,0.312
A3_l0.0_r0.0_k02,A3,cosine_top_100,11,0.0
A3_l0.0_r0.0_k04,A3,cosine_top_100,11,0.0
A3_l0.0_r0.0_k08,A3,cosine_top_100,11,0.0
A3_l0.0_r0.0_k16,A3,cosine_top_100,11,0.0
A3_l0.0_r0.5_k02,A3,cosine_top_100,15,0.267
A3_l0.0_r0.5_k04,A3,cosine_top_100,15,0.267
A3_l0.0_r0.5_k08,A3,cosine_top_100,15,0.267
A3_l0.0_r0.5_k16,A3,cosine_top_100,15,0.267
A3_l0.0_r1.0_k02,A3,cosine_top_100,17,0.294
A3_l0.0_r1.0_k04,A3,cosine_top_100,17,0.294
A3_l0.0_r1.0_k08,A3,cosine_top_100,17,0.294
A3_l0.0_r1.0_k16,A3,cosine_top_100,17,0.294
A3_l0.1_r0.0_k02,A3,cosine_top_100,11,0.0
A3_l0.1_r0.0_k04,A3,cosine_top_100,12,0.083
A3_l0.1_r0.0_k08,A3,cosine_top_100,11,0.0
A3_l0.1_r0.0_k16,A3,cosine_top_100,11,0.0
A3_l0.1_r0.5_k02,A3,cosine_top_100,15,0.267
A3_l0.1_r0.5_k04,A3,cosine_top_100,16,0.312
A3_l0.1_r0.5_k08,A3,cosine_top_100,16,0.312
A3_l0.1_r0.5_k16,A3,cosine_top_100,15,0.267
A3_l0.1_r1.0_k02,A3,cosine_top_100,16,0.312
A3_l0.1_r1.0_k04,A3,cosine_top_100,17,0.294
A3_l0.1_r1.0_k08,A3,cosine_top_100,17,0.294
A3_l0.1_r1.0_k16,A3,cosine_top_100,17,0.294
A3_l0.2_r0.0_k02,A3,cosine_top_100,11,0.0
A3_l0.2_r0.0_k04,A3,cosine_top_100,12,0.083
A3_l0.2_r0.0_k08,A3,cosine_top_100,13,0.154
A3_l0.2_r0.0_k16,A3,cosine_top_100,15,0.267
A3_l0.2_r0.5_k02,A3,cosine_top_100,15,0.267
A3_l0.2_r0.5_k04,A3,cosine_top_100,16,0.312
A3_l0.2_r0.5_k08,A3,cosine_top_100,16,0.25
A3_l0.2_r0.5_k16,A3,cosine_top_100,16,0.25
A3_l0.2_r1.0_k02,A3,cosine_top_100,17,0.294
A3_l0.2_r1.0_k04,A3,cosine_top_100,17,0.294
A3_l0.2_r1.0_k08,A3,cosine_top_100,17,0.294
A3_l0.2_r1.0_k16,A3,cosine_top_100,16,0.25
A3_l0.3_r0.0_k02,A3,cosine_top_100,11,0.0
A3_l0.3_r0.0_k04,A3,cosine_top_100,12,0.083
A3_l0.3_r0.0_k08,A3,cosine_top_100,11,0.0
A3_l0.3_r0.0_k16,A3,cosine_top_100,11,0.0
A3_l0.3_r0.5_k02,A3,cosine_top_100,15,0.267
A3_l0.3_r0.5_k04,A3,cosine_top_100,16,0.312
A3_l0.3_r0.5_k08,A3,cosine_top_100,15,0.267
A3_l0.3_r0.5_k16,A3,cosine_top_100,16,0.25
A3_l0.3_r1.0_k02,A3,cosine_top_100,17,0.294
A3_l0.3_r1.0_k04,A3,cosine_top_100,17,0.294
A3_l0.3_r1.0_k08,A3,cosine_top_100,17,0.294
A3_l0.3_r1.0_k16,A3,cosine_top_100,16,0.25
A3_l0.4_r0.0_k02,A3,cosine_top_100,11,0.0
A3_l0.4_r0.0_k04,A3,cosine_top_100,12,0.083
A3_l0.4_r0.0_k08,A3,cosine_top_100,11,0.0
A3_l0.4_r0.0_k16,A3,cosine_top_100,11,0.091
A3_l0.4_r0.5_k02,A3,cosine_top_100,15,0.267
A3_l0.4_r0.5_k04,A3,cosine_top_100,16,0.312
A3_l0.4_r0.5_k08,A3,cosine_top_100,15,0.267
A3_l0.4_r0.5_k16,A3,cosine_top_100,16,0.25
A3_l0.4_r1.0_k02,A3,cosine_top_100,17,0.294
A3_l0.4_r1.0_k04,A3,cosine_top_100,17,0.294
A3_l0.4_r1.0_k08,A3,cosine_top_100,16,0.312
A3_l0.4_r1.0_k16,A3,cosine_top_100,16,0.25
A3_l0.5_r0.0_k02,A3,cosine_top_100,11,0.0
A3_l0.5_r0.0_k04,A3,cosine_top_100,12,0.083
A3_l0.5_r0.0_k08,A3,cosine_top_100,11,0.0
A3_l0.5_r0.0_k16,A3,cosine_top_100,11,0.091
A3_l0.5_r0.5_k02,A3,cosine_top_100,15,0.267
A3_l0.5_r0.5_k04,A3,cosine_top_100,16,0.312
A3_l0.5_r0.5_k08,A3,cosine_top_100,15,0.267
A3_l0.5_r0.5_k16,A3,cosine_top_100,16,0.25
A3_l0.5_r1.0_k02,A3,cosine_top_100,17,0.294
A3_l0.5_r1.0_k04,A3,cosine_top_100,17,0.294
A3_l0.5_r1.0_k08,A3,cosine_top_100,16,0.312
A3_l0.5_r1.0_k16,A3,cosine_top_100,16,0.25
A3_l0.6_r0.0_k02,A3,cosine_top_100,11,0.0
A3_l0.6_r0.0_k04,A3,cosine_top_100,12,0.083
A3_l0.6_r0.0_k08,A3,cosine_top_100,11,0.0
A3_l0.6_r0.0_k16,A3,cosine_top_100,11,0.091
A3_l0.6_r0.5_k02,A3,cosine_top_100,15,0.267
