configuration_id,arm,step,candidate_id,source_turn,additive_chars,cumulative_chars,scaled_gain,facts_available,domains_available
A1_l0.0,A1,1,dd904725-094b-4f94-a8fc-ca18668ad246,113,358,409,0.0,3,1
A1_l0.0,A1,2,ed569488-8342-4a97-9c02-9cf487d42f33,107,4372,4781,0.026929432526230812,5,2
A1_l0.0,A1,3,5df1f239-5a2d-47b3-ac10-207a349db110,111,4480,9261,-0.0055024465546011925,7,2
A1_l0.0,A1,4,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,61,4300,13561,-0.051849450916051865,9,3
A1_l0.0,A1,5,0bf1f893-db4c-43d4-a49f-638299e19b0a,59,2292,15853,-0.07356373965740204,12,4
A1_l0.0,A1,6,9fc98cdf-cda0-4683-b78f-90dcf38b895b,108,4152,20005,-0.09783212095499039,12,4
A1_l0.0,A1,7,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,24222,-0.10389392077922821,12,4
A1_l0.0,A1,8,a725d025-92cb-4d29-91c9-df82f356974c,92,4407,28629,-0.11028750240802765,12,4
A1_l0.0,A1,9,34f5bb4c-c590-4d6c-8a11-7d4e2ed134a7,119,2778,31407,-0.12370939552783966,12,4
A1_l0.0,A1,10,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,31771,-0.23175139725208282,12,4
A1_l0.1,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.05341364145278931,0,0
A1_l0.1,A1,2,8dccce8b-66f3-464a-8502-64e5a36ea0dc,91,4546,5365,0.006637166673317553,1,1
A1_l0.1,A1,3,0bf1f893-db4c-43d4-a49f-638299e19b0a,59,2292,7657,0.003676858206745237,4,2
A1_l0.1,A1,4,ed569488-8342-4a97-9c02-9cf487d42f33,107,4372,12029,-0.04222322106361389,5,2
A1_l0.1,A1,5,c935ae96-f255-40a3-afcd-094159f48b91,77,5094,17123,-0.062060847878456116,6,3
A1_l0.1,A1,6,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,61,4300,21423,-0.08618809394538403,7,3
A1_l0.1,A1,7,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,24943,-0.10374729335308075,11,4
A1_l0.1,A1,8,f2223f95-4c32-455d-917d-06e13a9cc93f,51,4823,29766,-0.11959141260012984,11,4
A1_l0.1,A1,9,2423ce0b-c305-4d63-820c-d31b616dd8c8,5,1665,31431,-0.16247627660632133,12,4
A1_l0.1,A1,10,dd904725-094b-4f94-a8fc-ca18668ad246,113,358,31789,-0.5522031724452973,12,4
A1_l0.2,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.10682728290557862,0,0
A1_l0.2,A1,2,8dccce8b-66f3-464a-8502-64e5a36ea0dc,91,4546,5365,0.015741025703027847,1,1
A1_l0.2,A1,3,0bf1f893-db4c-43d4-a49f-638299e19b0a,59,2292,7657,0.008349005889613181,4,2
A1_l0.2,A1,4,ed569488-8342-4a97-9c02-9cf487d42f33,107,4372,12029,-0.03998423814773559,5,2
A1_l0.2,A1,5,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,15549,-0.04171226918697357,9,3
A1_l0.2,A1,6,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,61,4300,19849,-0.0554530493915081,11,4
A1_l0.2,A1,7,ce2a39b3-dd40-4084-91b2-cd6b2c8b5701,86,4796,24645,-0.06870973259210586,11,4
A1_l0.2,A1,8,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,28862,-0.08250109851360321,11,4
A1_l0.2,A1,9,6a01601c-5f66-4663-bf8b-671b9e055ae5,6,2944,31806,-0.10835613608360291,12,4
A1_l0.3,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.16024092435836793,0,0
A1_l0.3,A1,2,8dccce8b-66f3-464a-8502-64e5a36ea0dc,91,4546,5365,0.024844884849153457,1,1
A1_l0.3,A1,3,7307e832-370a-43ea-b25b-449f929de49e,115,597,5962,0.013174970448017118,2,2
A1_l0.3,A1,4,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,9482,-0.0018789991736412048,6,3
A1_l0.3,A1,5,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,13699,-0.021918177604675293,6,3
A1_l0.3,A1,6,ce2a39b3-dd40-4084-91b2-cd6b2c8b5701,86,4796,18495,-0.033592878282070165,7,4
A1_l0.3,A1,7,31de80d9-8487-4f79-8cb9-23dc4b3574cc,106,4422,22917,-0.03753403872251511,9,4
A1_l0.3,A1,8,bf01658f-8774-4025-bdc2-be46a5ac3a9c,52,3875,26792,-0.05084764659404755,9,4
A1_l0.3,A1,9,b2dac773-3bfb-49f9-a07b-a4e51132c073,19,3901,30693,-0.06714605391025544,10,4
A1_l0.3,A1,10,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,417,31110,-0.09180031120777131,10,4
A1_l0.3,A1,11,77a1d148-12da-4a70-874d-42e816497c9a,118,773,31883,-0.17379319667816162,11,4
A1_l0.4,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.21365456581115724,0,0
A1_l0.4,A1,2,77a1d148-12da-4a70-874d-42e816497c9a,118,773,1592,0.04228710010647774,4,1
A1_l0.4,A1,3,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,5809,0.038840167224407196,4,1
A1_l0.4,A1,4,7307e832-370a-43ea-b25b-449f929de49e,115,597,6406,0.005992876738309866,5,2
A1_l0.4,A1,5,f5cad6e5-07d0-4cc7-87a5-b8d6dc8359ad,17,3412,9818,0.0030672967433929554,10,3
A1_l0.4,A1,6,bf01658f-8774-4025-bdc2-be46a5ac3a9c,52,3875,13693,0.0006957888603210532,10,3
A1_l0.4,A1,7,ce2a39b3-dd40-4084-91b2-cd6b2c8b5701,86,4796,18489,-0.002560223639011372,11,4
A1_l0.4,A1,8,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,22009,-0.01141861081123352,11,4
A1_l0.4,A1,9,b2dac773-3bfb-49f9-a07b-a4e51132c073,19,3901,25910,-0.022670912742614735,11,4
A1_l0.4,A1,10,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,31383,-0.042691504955291754,12,4
A1_l0.4,A1,11,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,417,31800,-0.04680165350437164,12,4
A1_l0.5,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.26706820726394653,0,0
A1_l0.5,A1,2,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,5036,0.09939384460449219,0,0
A1_l0.5,A1,3,77a1d148-12da-4a70-874d-42e816497c9a,118,773,5809,0.058374375104904175,4,1
A1_l0.5,A1,4,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,9979,0.042185261845588684,4,1
A1_l0.5,A1,5,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,13499,0.026139192283153534,8,2
A1_l0.5,A1,6,b2dac773-3bfb-49f9-a07b-a4e51132c073,19,3901,17400,0.017848826944828033,9,2
A1_l0.5,A1,7,7307e832-370a-43ea-b25b-449f929de49e,115,597,17997,0.015906650573015213,10,3
A1_l0.5,A1,8,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,22422,0.010371118783950806,10,3
A1_l0.5,A1,9,bf01658f-8774-4025-bdc2-be46a5ac3a9c,52,3875,26297,0.009278714656829834,10,3
A1_l0.5,A1,10,f5cad6e5-07d0-4cc7-87a5-b8d6dc8359ad,17,3412,29709,0.006017640233039856,10,3
A1_l0.5,A1,11,35725a87-15ce-4373-8456-214188818afb,3,593,30302,0.00025127828121185303,10,3
A1_l0.5,A1,12,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,30666,-0.10518786311149597,10,3
A1_l0.5,A1,13,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,31563,-0.19823652505874634,10,3
A1_l0.5,A1,14,dd904725-094b-4f94-a8fc-ca18668ad246,113,358,31921,-0.21315377950668335,10,3
A1_l0.6,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.32048184871673585,0,0
A1_l0.6,A1,2,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,5036,0.15994752198457718,0,0
A1_l0.6,A1,3,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,9206,0.09461500197649,0,0
A1_l0.6,A1,4,77a1d148-12da-4a70-874d-42e816497c9a,118,773,9979,0.09170595183968544,4,1
A1_l0.6,A1,5,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,14404,0.08142522871494293,4,1
A1_l0.6,A1,6,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,17924,0.07630212604999542,8,2
A1_l0.6,A1,7,35725a87-15ce-4373-8456-214188818afb,3,593,18517,0.07554321587085722,9,2
A1_l0.6,A1,8,b2dac773-3bfb-49f9-a07b-a4e51132c073,19,3901,22418,0.06311505585908889,9,2
A1_l0.6,A1,9,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,26890,0.052831217646598816,9,2
A1_l0.6,A1,10,0b9dfd05-682b-41de-83ef-f755d687cc81,26,3735,30625,0.047613283991813665,9,2
A1_l0.6,A1,11,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,30989,0.01425723433494569,9,2
A1_l0.6,A1,12,7307e832-370a-43ea-b25b-449f929de49e,115,597,31586,-0.02336342483758927,10,3
A1_l0.6,A1,13,dd904725-094b-4f94-a8fc-ca18668ad246,113,358,31944,-0.11761161088943481,10,3
A1_l0.7,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.3738954901695251,0,0
A1_l0.7,A1,2,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,5036,0.22050119563937187,0,0
A1_l0.7,A1,3,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,10509,0.15400980114936827,1,1
A1_l0.7,A1,4,35725a87-15ce-4373-8456-214188818afb,3,593,11102,0.15083514600992198,4,2
A1_l0.7,A1,5,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,15574,0.1441585049033165,7,3
A1_l0.7,A1,6,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,15938,0.1337023317813873,7,3
A1_l0.7,A1,7,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,20363,0.13347140997648238,7,3
A1_l0.7,A1,8,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,23883,0.12382416427135468,9,3
A1_l0.7,A1,9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,28053,0.11089005470275878,9,3
A1_l0.7,A1,10,b2dac773-3bfb-49f9-a07b-a4e51132c073,19,3901,31954,0.10838129222393034,9,3
A1_l0.8,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.4273091316223145,0,0
A1_l0.8,A1,2,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,5036,0.28105487301945686,0,0
A1_l0.8,A1,3,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,5400,0.2531474441289902,0,0
A1_l0.8,A1,4,35725a87-15ce-4373-8456-214188818afb,3,593,5993,0.22612708359956746,3,1
A1_l0.8,A1,5,c134f401-afa1-43d1-9e80-6d5212904c99,54,4425,10418,0.2235334411263466,3,1
A1_l0.8,A1,6,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,11315,0.21721243262290957,3,1
A1_l0.8,A1,7,48b41502-2e76-4bfd-9d96-be8af9312a55,84,5473,16788,0.198917056620121,4,2
A1_l0.8,A1,8,70351c1e-c8bb-4a20-8925-559b39e0e936,110,4472,21260,0.1921490915119648,7,3
A1_l0.8,A1,9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,4170,25430,0.17537136226892472,7,3
A1_l0.8,A1,10,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,3520,28950,0.1748674027621746,9,3
A1_l0.8,A1,11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,3000,31950,0.16288878172636034,9,3
A1_l0.9,A1,1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,768,819,0.48072277307510375,0,0
A1_l0.9,A1,2,4d41447d-9776-4ff5-baf3-c38c6974b982,2,364,1183,0.3725925490260124,0,0
A1_l0.9,A1,3,e4286c8d-3430-43d1-9a53-15c87df89493,1,897,2080,0.3556954234838486,0,0
A1_l0.9,A1,4,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,4217,6297,0.3416085485368967,0,0
A1_l0.9,A1,5,35725a87-15ce-4373-8456-214188818afb,3,593,6890,0.2975830674171448,3,1
