configuration_id,arm,D,m,candidate_count,candidate_serialized_chars_rank_order,candidate_individual_episode_chars_sum,selected_episode_count,delivered_chars,skipped_episode_count,skipped_individual_episode_chars,candidate_fact_count,packed_fact_count,facts_per_candidate,facts_per_selected_episode,facts_per_10000_delivered_chars,candidate_sha256,selected_sha256,payload_sha256
A0_D0_m3,A0,0,3,3,2080,2026,3,2080,0,0,0,0,0.0,0.0,0.0,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1
A1_D0_m3,A1,0,3,3,2080,2026,3,2080,0,0,0,0,0.0,0.0,0.0,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1
A2_D0_m3,A2,0,3,3,2080,2026,3,2080,0,0,0,0,0.0,0.0,0.0,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1
A0_D0_m5,A0,0,5,5,6890,6834,5,6890,0,0,3,3,0.6,0.6,4.354136429608127,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67
A1_D0_m5,A1,0,5,5,6890,6834,5,6890,0,0,3,3,0.6,0.6,4.354136429608127,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67
A2_D0_m5,A2,0,5,5,6890,6834,5,6890,0,0,3,3,0.6,0.6,4.354136429608127,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67
A0_D1_m3,A0,1,3,6,11315,11258,6,11315,0,0,3,3,0.5,0.5,2.6513477684489617,df20dcf8afb6e4836a2aba0bd51d1a96fd5f81bbf0e40c18e424fa46d4e094d6,df20dcf8afb6e4836a2aba0bd51d1a96fd5f81bbf0e40c18e424fa46d4e094d6,29b5b7e678707a7f3edeba958bf9ceae190bf0e790609b02ddee04a40cf623ba
A1_D1_m3,A1,1,3,6,11315,11258,6,11315,0,0,3,3,0.5,0.5,2.6513477684489617,6ecd1c13274f7f843670c33da664db3b17654fb9eee0c476d9344671208acf7d,6ecd1c13274f7f843670c33da664db3b17654fb9eee0c476d9344671208acf7d,0dfac88aff26dcdf9db7ee47017a214422f30624afe23b01641928b10385b886
A2_D1_m3,A2,1,3,6,6031,5974,6,6031,0,0,4,4,0.6666666666666666,0.6666666666666666,6.63239927043608,dab9ab1246ac8515c1cbc8bad40682b985ee7024c81ae28d4adde479ab02ae61,dab9ab1246ac8515c1cbc8bad40682b985ee7024c81ae28d4adde479ab02ae61,5df7bd064c3854bedebb1f3a81797cecff138bc9fc01adbb6f064ef4cc2a48c5
A0_D1_m5,A0,1,5,10,28957,28896,10,28957,0,0,7,7,0.7,0.7,2.417377490762165,135f1037b0203ff336da2d8834913023ec438ceacf41e4c51c3da7a6935f508b,135f1037b0203ff336da2d8834913023ec438ceacf41e4c51c3da7a6935f508b,cd40ac08f1d0a49544832a204c2099118e77b597a43a4cb1b00eca1d0959f3e3
