configuration_id,arm,D,m,W_Q,RHO,q11_fact_count,q11_domain_count,serialized_chars,selected_episode_count,candidate_count,final_cue_query_cosine,payload_sha256,selection_sha256
D0_m3_wq0.3_rho0.5,X1,0,3,0.3,0.5,0,0,2080,3,3,1.0,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4
D0_m3_wq0.3_rho0.7,X1,0,3,0.3,0.7,0,0,2080,3,3,1.0,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4
D0_m3_wq0.5_rho0.5,X1,0,3,0.5,0.5,0,0,2080,3,3,1.0,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4
D0_m3_wq0.5_rho0.7,X1,0,3,0.5,0.7,0,0,2080,3,3,1.0,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4
D0_m3_wq0.7_rho0.5,X1,0,3,0.7,0.5,0,0,2080,3,3,1.0,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4
D0_m3_wq0.7_rho0.7,X1,0,3,0.7,0.7,0,0,2080,3,3,1.0,eab9b013844387ee04c0b122d19698c7895b0490defa2d703d93aeae79f2a8e1,7d99cd7ec5d8e2375c2f06a1be1b9f247913388dc5f83a3ba49b72e7056135e4
D0_m5_wq0.3_rho0.5,X1,0,5,0.3,0.5,3,1,6890,5,5,1.0,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721
D0_m5_wq0.3_rho0.7,X1,0,5,0.3,0.7,3,1,6890,5,5,1.0,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721
D0_m5_wq0.5_rho0.5,X1,0,5,0.5,0.5,3,1,6890,5,5,1.0,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721
D0_m5_wq0.5_rho0.7,X1,0,5,0.5,0.7,3,1,6890,5,5,1.0,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721
D0_m5_wq0.7_rho0.5,X1,0,5,0.7,0.5,3,1,6890,5,5,1.0,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721
D0_m5_wq0.7_rho0.7,X1,0,5,0.7,0.7,3,1,6890,5,5,1.0,e3230b063233e7fd87aa25ce1ef18443ac115d9f7cb3ade33ae95bc490072d67,98cf0dba673e127b7647fcfb029bb461a9da1949b28095dfacc4393648659721
D1_m3_wq0.3_rho0.5,X2,1,3,0.3,0.5,3,1,11315,6,6,0.9458880268082851,0dfac88aff26dcdf9db7ee47017a214422f30624afe23b01641928b10385b886,6ecd1c13274f7f843670c33da664db3b17654fb9eee0c476d9344671208acf7d
D1_m3_wq0.3_rho0.7,X2,1,3,0.3,0.7,3,1,11315,6,6,0.9830238005300421,0dfac88aff26dcdf9db7ee47017a214422f30624afe23b01641928b10385b886,6ecd1c13274f7f843670c33da664db3b17654fb9eee0c476d9344671208acf7d
D1_m3_wq0.5_rho0.5,X2,1,3,0.5,0.5,3,1,11315,6,6,0.9725147346746108,0dfac88aff26dcdf9db7ee47017a214422f30624afe23b01641928b10385b886,6ecd1c13274f7f843670c33da664db3b17654fb9eee0c476d9344671208acf7d
D1_m3_wq0.5_rho0.7,X2,1,3,0.5,0.7,3,1,11315,6,6,0.991350705707431,0dfac88aff26dcdf9db7ee47017a214422f30624afe23b01641928b10385b886,6ecd1c13274f7f843670c33da664db3b17654fb9eee0c476d9344671208acf7d
D1_m3_wq0.7_rho0.5,X2,1,3,0.7,0.5,3,1,11315,6,6,0.9902827614469767,0dfac88aff26dcdf9db7ee47017a214422f30624afe23b01641928b10385b886,6ecd1c13274f7f843670c33da664db3b17654fb9eee0c476d9344671208acf7d
D1_m3_wq0.7_rho0.7,X2,1,3,0.7,0.7,3,1,11315,6,6,0.9969035952375158,29b5b7e678707a7f3edeba958bf9ceae190bf0e790609b02ddee04a40cf623ba,df20dcf8afb6e4836a2aba0bd51d1a96fd5f81bbf0e40c18e424fa46d4e094d6
D1_m5_wq0.3_rho0.5,X2,1,5,0.3,0.5,5,2,23673,10,10,0.9663658562236318,23c631fb32b71a58c5080bda93692a45b94abf8199782b493dcd7b659988820e,4b336f627912b3b896f3382ca9a9cd553ba509034d5b6bfe3fefcebe0fa30941
D1_m5_wq0.3_rho0.7,X2,1,5,0.3,0.7,7,3,27787,10,10,0.9901695391734299,e32697582924572fc22ab63c9eb5096e564a7b728c2be0acb2cce73d1cea7578,6712bf2876ddc9356c04c85e3929c5f8590cb3612ae9cd58c731458eb71f63aa
D1_m5_wq0.5_rho0.5,X2,1,5,0.5,0.5,5,2,23673,10,10,0.982887063199504,283c769fdd2f2f11e11321362ee27c77f02d61b4597d100e52b26e83482d5487,804759a4716f2c85bc6744a2f3f2f6719df1e8fb59c6acd43177276d0c996864
D1_m5_wq0.5_rho0.7,X2,1,5,0.5,0.7,7,3,27787,10,10,0.9949884893063015,5cc85bc3656fd8571d0ecfa9dd28191ddbede087d4a33c65b7d12c317843e812,ea33dcb606c2b3485ac6d85c0a7d3cdde3a87baa21e1d4ad49d67ecc949e5d2a
D1_m5_wq0.7_rho0.5,X2,1,5,0.7,0.5,7,3,27787,10,10,0.9939076324746158,5cc85bc3656fd8571d0ecfa9dd28191ddbede087d4a33c65b7d12c317843e812,ea33dcb606c2b3485ac6d85c0a7d3cdde3a87baa21e1d4ad49d67ecc949e5d2a
D1_m5_wq0.7_rho0.7,X2,1,5,0.7,0.7,7,3,28957,10,10,0.9982016630611302,34607de0452013cf13a4ba977ecd2016a05593b9b39cfd4caf8544df99b1f1a9,00bea569e8c0e0841b141468f8364538308f764488e07ea94fa7d2f2430cf6aa
D2_m3_wq0.3_rho0.5,X3,2,3,0.3,0.5,5,2,20673,9,9,0.9264541421774576,05d0813e0b3d2b0279a78ffcabbe6d59d0179a1d4ea190d5880dce5c8a0bcc60,3516f14d1cf33c3561738bdb3af8b3fe824dcf866183cdfffc1cd1fdedcaa2d8
D2_m3_wq0.3_rho0.7,X3,2,3,0.3,0.7,5,2,20673,9,9,0.9740336238641892,05d0813e0b3d2b0279a78ffcabbe6d59d0179a1d4ea190d5880dce5c8a0bcc60,3516f14d1cf33c3561738bdb3af8b3fe824dcf866183cdfffc1cd1fdedcaa2d8
D2_m3_wq0.5_rho0.5,X3,2,3,0.5,0.5,5,2,20673,9,9,0.9627042090989799,255a0264f0dfd5e2550c6e5e04390f9d48bdbb0a2176cb5f55bfa193ad62a7e6,0899a5ec6fecea76ffb5ceb539da45a4c505ebec44bf1d99dd696e4c055bfac7
D2_m3_wq0.5_rho0.7,X3,2,3,0.5,0.7,7,3,24787,9,9,0.9867800346170814,42044a28987992acc0f2bfe18a854c1bc919879ebedb8543b56b2c9bcca6269f,edd952b89cbfe94862bd5904fd3055b2c5ae2a7d151699ea4f987e3856c32242
D2_m3_wq0.7_rho0.5,X3,2,3,0.7,0.5,5,2,20673,9,9,0.9869025498075952,255a0264f0dfd5e2550c6e5e04390f9d48bdbb0a2176cb5f55bfa193ad62a7e6,0899a5ec6fecea76ffb5ceb539da45a4c505ebec44bf1d99dd696e4c055bfac7
D2_m3_wq0.7_rho0.7,X3,2,3,0.7,0.7,7,3,24787,9,9,0.995281454436967,42044a28987992acc0f2bfe18a854c1bc919879ebedb8543b56b2c9bcca6269f,edd952b89cbfe94862bd5904fd3055b2c5ae2a7d151699ea4f987e3856c32242
D2_m5_wq0.3_rho0.5,X3,2,5,0.3,0.5,9,3,28562,12,15,0.9328915136243864,42faccd7572afe4982959393f5e208746ea13d0eb74cb254324451595f732349,5c5d42e6605bec56590f2443aea3dd66cd041f372a00ce65f36b9330d8d09c0b
D2_m5_wq0.3_rho0.7,X3,2,5,0.3,0.7,7,3,31957,11,15,0.9793380920216929,c23824852f5c1ad92b110fc5be1261eacc052158ddfccfc33e606bf5c8f933b6,0a13c44327acdb57b15def25c6ebb883a02521721f431ad0b528376142915c31
D2_m5_wq0.5_rho0.5,X3,2,5,0.5,0.5,8,3,31880,12,15,0.9659503154331799,3c00e03cf584e64b8ca218938f9dbb4c268e6ce47611b25b5a5c3d9746a58769,a58b2ec96cc3a5a8823d9ac69ed9aabdad07d6a078434b9a00620989dbfdf4ab
D2_m5_wq0.5_rho0.7,X3,2,5,0.5,0.7,7,3,31957,11,15,0.9894760431422235,c23824852f5c1ad92b110fc5be1261eacc052158ddfccfc33e606bf5c8f933b6,0a13c44327acdb57b15def25c6ebb883a02521721f431ad0b528376142915c31
D2_m5_wq0.7_rho0.5,X3,2,5,0.7,0.5,7,3,31957,11,15,0.9884564920823854,c23824852f5c1ad92b110fc5be1261eacc052158ddfccfc33e606bf5c8f933b6,6cb997d22182cb564c50480ab1c414934003c73014aa0048efac2a39a5c7c858
D2_m5_wq0.7_rho0.7,X3,2,5,0.7,0.7,7,3,31957,11,15,0.9962397030939792,d2b53b02ad9a2c052af6d0cdff3bef7ad6593a59b46cc49b2944e134a4b97f2a,cb80fe0ad0e1d541176f7d54bdddc636dc3d584ba77e45bd954b5d147d7c007a
D3_m3_wq0.3_rho0.5,X4,3,3,0.3,0.5,6,2,28995,12,12,0.8818204143122389,d5e3e50e5c35410049c074819469262fb1b9bbe3f57a13b7f7b86ee1cd1973a0,7f17987d19e65dd2e0a5e03d2484c0eb5a7459e06bd08e3e39426ef8aa953fc6
D3_m3_wq0.3_rho0.7,X4,3,3,0.3,0.7,6,2,28995,12,12,0.9553930911248668,393bc33c935e32b2aa8f917878299250f6fb5ce096f6059dd267873fb7f4dbf7,5884c92794a24703f713d7c7b7564c1e85175eab94c92bd91821b965c29648da
D3_m3_wq0.5_rho0.5,X4,3,3,0.5,0.5,6,2,28995,12,12,0.940295515845375,99ae6d7e0cc75958b15468aff8c85c5217b638b95b97377c37c6c4e26239e772,b13213ee342da77bdb90fb50cea5ea45d7693a197b35b296c4735357c259e1bb
D3_m3_wq0.5_rho0.7,X4,3,3,0.5,0.7,7,3,31957,11,12,0.9788722686084462,c78f1474c89780078c0a839a3a0c520eb141af8f5ae4027efd99ae1c40681364,39ea8c1a1f63cadfd03e77781e3dd1e6fcfa3a8753fd0bb66f06aa32ec0bf62f
D3_m3_wq0.7_rho0.5,X4,3,3,0.7,0.5,8,3,29315,11,12,0.979363237401255,db5329e874371cc96af5fe61d3381f429b77b612e6789784d51cefe88afdda59,d891d810060f0eecdf8802aaeb97bc0ac58080d0a3e1ae300e50e6e61d7b02a4
D3_m3_wq0.7_rho0.7,X4,3,3,0.7,0.7,7,3,31957,11,12,0.9924984030444111,6b3517b74a4b3c2f2eeedcdd4b3ee0d7af2bf21ec2462992cd2fc7e86695fbd9,30ee008b4eee10d5a4a4c513811e70c4ab27058c76f989a961cd6b5d33dba544
D3_m5_wq0.3_rho0.5,X4,3,5,0.3,0.5,9,3,29940,12,20,0.8888261438676033,bd4edeed1da84d10fd14a3067177b91a1c0e99db0665cd84144593d715960621,983e667007f7acad389622f83048593c2f79719557ebc95670cc3bdbcbaa3d17
D3_m5_wq0.3_rho0.7,X4,3,5,0.3,0.7,9,3,29732,12,20,0.9626198148716304,d8245a5ec114afe96430f4dd08e8237ff5fd1f46c3feaedfad1c07dcae96e90c,568cc00358595f1614ac30cc6b51c4ff88d16e92a64292c4c11127fa75925d87
D3_m5_wq0.5_rho0.5,X4,3,5,0.5,0.5,9,3,29732,12,20,0.9466515135534594,104f1255c9ff63e7732123ad60d4747502d0724658cb55fbe780fc3930031736,def7a530095ceb050b329c129b18f1f674e60f5fd8775b203f0ff957f07579f0
D3_m5_wq0.5_rho0.7,X4,3,5,0.5,0.7,7,3,31957,11,20,0.9809869807118223,9ace52257c15c247bd7cc10894efd607113f7be29fe2e9d7a735997c5661143c,2ed28ad109c9adfa41bd27063cd46f7465aa253fb8badf6b9c02be7b95730dad
D3_m5_wq0.7_rho0.5,X4,3,5,0.7,0.5,7,3,31957,11,20,0.981495175648606,3d17315beb8d7443e3cc77f738a7547614706c3e9103d8670ad3cdd3fcc6c8a3,bcb78c5d7e80bfce8e9ea9ada653c3d0a3f7963ccaed162d3d1bd6e9532fe8c7
D3_m5_wq0.7_rho0.7,X4,3,5,0.7,0.7,7,3,31957,11,20,0.9932392299657393,65352694f3c2876a86865ae3676349313b4087af4150d2000fb3e9b723b06f0b,712531b978fdda682b887f5248e58496c1b14529c3069565308dd94204c8e781
