cosine_rank,episode_id,source_turn,cosine,additive_chars,fact_count,domains,items
1,8be0f5af-b452-4acd-b3b6-2afef003e03d,114,0.534136415,768,0,,
2,e4286c8d-3430-43d1-9a53-15c87df89493,1,0.494178414,897,0,,
3,4d41447d-9776-4ff5-baf3-c38c6974b982,2,0.492037654,364,0,,
4,62e64b84-bf8a-40ca-86b6-40981fa44b83,43,0.402162224,4217,0,,
5,35725a87-15ce-4373-8456-214188818afb,3,0.376710951,593,3,civil,Halcyon Crossing|847|Dr. Anara Bekova
6,c134f401-afa1-43d1-9e80-6d5212904c99,54,0.365641654,4425,0,,
7,48b41502-2e76-4bfd-9d96-be8af9312a55,84,0.350711107,5473,1,monetary,Federal Reserve
8,cdf91933-b446-4536-a8e2-abc867cd0704,45,0.316886485,3527,0,,
9,1ec94493-58ad-4f1a-96e5-caac118e854f,78,0.304333985,4170,0,,
10,70351c1e-c8bb-4a20-8925-559b39e0e936,110,0.300357044,4472,3,marine,Vampyroteuthis infernalis|600|marine snow
11,598a93b5-f9ba-49b9-abf1-9df4704204fd,27,0.284879684,3000,2,civil,Halcyon Crossing|Dr. Anara Bekova
12,803dc8e7-e49c-4953-9aa9-c87b7c0bd8dd,8,0.276953876,3520,4,civil,Halcyon Crossing|Dr. Anara Bekova|S460ML|92.4
13,0b9dfd05-682b-41de-83ef-f755d687cc81,26,0.275073409,3735,1,civil,Halcyon Crossing
14,dd904725-094b-4f94-a8fc-ca18668ad246,113,0.264557064,358,3,civil,Halcyon Crossing|Dr. Anara Bekova|92.4
15,2b5fee6a-cf47-4d91-9364-db40fb9a6ef6,20,0.255350322,3103,4,civil,Halcyon Crossing|847|S460ML|92.4
16,b2dac773-3bfb-49f9-a07b-a4e51132c073,19,0.244179994,3901,2,civil,Halcyon Crossing|847
17,ceb66039-f037-40ff-82e9-95a7b11f951b,98,0.23947303,5429,0,,
18,456f82bd-a793-428f-96b8-2d2ed8df336c,29,0.233680695,3997,3,civil,Halcyon Crossing|S460ML|92.4
19,e3775be9-d8db-4286-8e1e-bd4ee9f57ff8,79,0.228040472,4998,1,monetary,Taylor Rule
20,77a1d148-12da-4a70-874d-42e816497c9a,118,0.22503227,773,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
21,c9bfd1d1-914b-4200-9f91-603edafd4bd8,28,0.224756822,3695,2,civil,Halcyon Crossing|847
22,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,0.223190308,417,3,civil,Halcyon Crossing|847|S460ML
23,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,102,0.215603739,3269,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
24,ce2a39b3-dd40-4084-91b2-cd6b2c8b5701,86,0.212225124,4796,1,monetary,Taylor Rule
25,20d366fb-126c-40bf-bda9-70efa2f4feee,44,0.207375377,3438,1,art,Melozzo da Forli
26,f5cad6e5-07d0-4cc7-87a5-b8d6dc8359ad,17,0.207303196,3412,5,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML|92.4
27,c2a71b45-9105-44d2-9800-e2b2ea7609e6,56,0.204402789,3116,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
28,6a786542-39d2-4027-87be-5538759a9ada,37,0.203326076,3439,0,,
29,dc96fb4f-c389-4a81-ba3f-e109e814eea5,7,0.202776164,3232,3,civil,847|S460ML|92.4
30,412b14b3-22dc-450a-823a-96078c7cb063,60,0.19974345,3324,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
31,5ded4e7a-d80c-4cd5-a6c8-0fff1ae223f9,31,0.197020352,4362,0,,
32,1a6a9faf-acb7-4ee5-b949-f29f0e6c9116,49,0.196747616,4890,0,,
33,670ec4a0-a435-4fc7-a7c7-1b2f494d4588,64,0.196637228,3907,1,monetary,Federal Reserve
34,d1c362a3-c7de-49e5-83db-e324afc858e6,75,0.196354389,5193,0,,
35,217374b8-4b90-4b31-aa4c-d65066b26200,67,0.193531692,3070,0,,
36,38c3a5a3-747b-41dd-a653-f1c2b02dac56,47,0.191648245,3946,0,,
37,045482c4-8183-4b7e-92ae-e6a7fb92d355,32,0.18492952,4542,0,,
38,d292f483-31a5-4887-bbdb-7bf15a9460e5,71,0.184520632,4206,0,,
39,e4a9993f-3117-44c3-b997-662a8cf3f188,82,0.18215555,5346,0,,
40,b22fa928-2e44-4da3-970f-1eef06b9af0f,16,0.174612224,3413,2,civil,Halcyon Crossing|847
41,84230a8a-c438-46b1-8b4c-9fb1270e8507,39,0.168529496,3675,1,art,Melozzo da Forli
42,111e3e3f-6c5a-438f-8084-083ed2af62df,38,0.168287605,4446,0,,
43,fd7ed8c4-fcff-4d37-9583-d2e7ec97da73,83,0.166197002,5580,0,,
44,edcb6d0e-5dcb-4556-b43c-8d369bc9766a,101,0.164364308,4040,1,marine,Vampyroteuthis infernalis
45,0f222693-1e97-4a1d-8394-07377c752835,94,0.162741899,3308,1,marine,marine snow
46,9636b90b-68cd-48a5-91d1-268468c5a0f0,76,0.162468314,4642,0,,
47,02fa4616-abd4-4d19-8912-e45511987490,69,0.160467133,6755,1,monetary,Federal Reserve
48,bc129435-b7c7-4795-83bf-9e7ff02a915e,50,0.159552991,3740,0,,
49,bf01658f-8774-4025-bdc2-be46a5ac3a9c,52,0.157963917,3875,0,,
50,7307e832-370a-43ea-b25b-449f929de49e,115,0.155650616,597,1,art,The Annunciation of Forli
51,e86465f5-5719-402c-99f2-cf56214cf969,21,0.15401943,4502,4,civil,847|Dr. Anara Bekova|S460ML|92.4
52,cb79542d-7dff-4373-9e3d-3583f87da301,97,0.152488798,5014,0,,
53,5f6ecd9f-bf3e-4dac-92be-96123b7e05d1,70,0.150300801,4661,0,,
54,65a29452-ed4f-488f-913e-d76a128dc12d,18,0.148670614,3853,3,civil,Halcyon Crossing|847|S460ML
55,5505312f-3f23-458c-a3c1-acac220abd08,73,0.14766106,3661,1,monetary,Federal Reserve
56,c690555c-d66b-41d0-82c2-fb591e4a221f,89,0.144231111,5131,0,,
57,c3cfc044-0c32-49c7-90cb-d1ee59561c9b,65,0.144043192,3591,4,monetary,Taylor Rule|Federal Reserve|Dr. Priya Mehta|2.3%
58,9fc98cdf-cda0-4683-b78f-90dcf38b895b,108,0.143304989,4152,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
59,a05e4997-d883-44ec-9cc0-294af28bb17d,30,0.143246129,4027,5,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML|92.4
60,fcb5c2e1-67ab-4b57-888c-1e2ae499b439,24,0.142325819,3909,4,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML
61,66def2b8-90ff-446c-8ad4-1dc9e35820be,100,0.141572177,3685,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
62,437b58a3-40b5-4c60-af49-0a92e164d53f,34,0.141527832,3389,0,,
63,db04e44b-c2ff-4654-b4d5-03c9a5a41ac3,22,0.140598759,3247,3,civil,Halcyon Crossing|847|92.4
64,f6ec50a8-0243-47e6-9d6b-d5fa2afe4fdf,33,0.137235701,2901,0,,
65,2b6a0006-d982-475d-abb0-c419213c2e61,80,0.137111276,4502,1,monetary,Taylor Rule
66,98015b9a-0576-4fc6-8584-df00a7a888af,4,0.135459721,1439,4,civil,Halcyon Crossing|847|S460ML|92.4
67,908479ee-34b0-40e1-8599-e934ac47df7e,40,0.135022432,3819,0,,
68,b40a6a99-54fd-4e44-a632-120d8bb57c6e,53,0.133377045,4322,0,,
69,f8e99b3f-9d39-4cf2-a4a5-bf19ddfbd170,48,0.132719159,4652,0,,
70,b4e05297-81cd-4cce-924e-eb1895e881b1,10,0.131273925,2940,2,civil,S460ML|92.4
71,dc2b025a-0f1e-4344-93bd-a6ab59facd95,96,0.130930156,3788,0,,
72,09ed3945-5d08-4255-8276-786f2decfccb,81,0.130890071,4866,1,monetary,Federal Reserve
73,f096285c-a9c2-498b-8ae7-52db595fa54e,87,0.12971884,4752,0,,
74,cbd2d2e1-b37b-449d-996e-9e90aa473b6a,72,0.129591078,4868,1,monetary,Taylor Rule
75,7651c072-ce22-4c12-923f-84bf7c817235,85,0.128804624,3836,0,,
76,8793f165-25db-4fb5-a0b3-6837ba2ed952,13,0.126950353,4310,3,civil,847|S460ML|92.4
77,cc4ebc0a-8851-4bf5-883d-0b070dd6f174,66,0.126889884,4278,0,,
78,55c2db90-d130-43ee-9576-fc29ea1648cf,25,0.125208378,3492,3,civil,Halcyon Crossing|847|S460ML
79,b17427a8-3ae0-46e2-94c0-9bca1bf2dd27,57,0.122363217,3393,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
80,c935ae96-f255-40a3-afcd-094159f48b91,77,0.119851232,5094,1,monetary,Federal Reserve
81,8961ed05-6fe0-42a1-b5cb-fe6aa8b96aa2,104,0.119661421,4494,3,marine,Vampyroteuthis infernalis|600|marine snow
82,11debcd5-f3de-42df-8927-ccbc7d234f43,74,0.118506327,4979,0,,
83,9b4d93e7-e56a-4c38-90d2-d3dcf218be16,12,0.116907597,2356,3,civil,Halcyon Crossing|Dr. Anara Bekova|S460ML
84,4e4acf64-6430-4ea0-a316-49eaa0a774fc,63,0.113627717,5008,1,monetary,Federal Reserve
85,cbdd42e2-51e4-46a8-abfe-1fe0fb9a0b08,93,0.109644078,4273,0,,
86,4c611a05-6ad0-434a-a188-1cdb941acf58,116,0.109355569,994,2,art,The Annunciation of Forli|Melozzo da Forli
87,7abe80be-01aa-4b89-8720-cfdce04bfd1d,55,0.109122396,3131,4,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere|1483
88,c3e4e2fb-c750-4dc8-8c29-a98e0a2f5dd5,117,0.107198961,3487,3,art,The Annunciation of Forli|Melozzo da Forli|Cardinal Giuliano della Rovere
89,684bcca8-46cd-482a-b56d-f2780d4f7bf2,109,0.107097529,5364,3,marine,Vampyroteuthis infernalis|600|marine snow
90,5df1f239-5a2d-47b3-ac10-207a349db110,111,0.10254699,4480,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
91,0459c215-b4db-46c5-a071-14ae528b58e4,62,0.099744469,4349,1,monetary,Federal Reserve
92,385e79b1-58a0-4275-9ec5-e253f4aa6eaa,11,0.09455356,2639,1,civil,847
93,52a69b27-f6ac-43b8-8b89-ecf1859a5e19,88,0.093680114,4629,0,,
94,31de80d9-8487-4f79-8cb9-23dc4b3574cc,106,0.093032062,4422,3,marine,Vampyroteuthis infernalis|600|marine snow
95,45729f2e-cd29-4889-9af2-afd6fc5f1625,105,0.089256257,3473,4,marine,Vampyroteuthis infernalis|Dr. Kenji Watanabe|600|marine snow
96,8dccce8b-66f3-464a-8502-64e5a36ea0dc,91,0.088571899,4546,1,marine,marine snow
97,0cd1ea33-3191-48e9-ad90-fde1d44b21b5,42,0.087947212,4208,0,,
98,27eddd46-3066-4b14-b861-085a67dcd0ac,9,0.087438174,2576,2,civil,Halcyon Crossing|S460ML
99,de647c60-87ff-4102-9996-697b5d38ac99,14,0.086317532,2854,3,civil,Halcyon Crossing|847|92.4
100,66fd23b1-3e58-478b-af19-e9170c0ab86b,23,0.084127367,4074,4,civil,Halcyon Crossing|847|S460ML|92.4
101,7ed56c34-ddb9-490d-81b8-87848f88ca14,103,0.08293207,4901,1,marine,Vampyroteuthis infernalis
102,a725d025-92cb-4d29-91c9-df82f356974c,92,0.08016023,4407,2,marine,600|marine snow
103,2423ce0b-c305-4d63-820c-d31b616dd8c8,5,0.079490788,1665,5,civil,Halcyon Crossing|847|Dr. Anara Bekova|S460ML|92.4
104,e69975a2-ebc5-47f3-8f71-2edc23ebc446,46,0.078658313,4426,0,,
105,3392af3a-e027-4205-8003-02085f8ba527,68,0.075576276,4616,1,monetary,Federal Reserve
106,21cd52d3-077d-43de-8714-487f211f8e1e,15,0.073297657,5265,1,civil,847
107,6a01601c-5f66-4663-bf8b-671b9e055ae5,6,0.07003127,2944,2,civil,Halcyon Crossing|847
108,85b13695-afff-4706-9112-22c4c041b269,58,0.067933828,3968,3,art,The Annunciation of Forli|Melozzo da Forli|1483
109,e7f71945-a158-4c8c-9fe8-ec70a1657d39,36,0.067848422,3499,0,,
110,7d7e6a4f-a8a5-4b02-96fb-b71ab1164f76,41,0.063983515,4132,0,,
111,af8aeeac-f593-4784-b7a0-eb4907b2a960,99,0.062211044,5174,1,marine,marine snow
112,1dec9c9e-b948-4ef8-9eaa-aa889c083470,90,0.05599035,2862,4,monetary,Taylor Rule|Federal Reserve|Dr. Priya Mehta|2.3%
113,c6853501-e40c-4f70-8394-52fb19d8b3cf,95,0.052408509,4109,2,marine,600|marine snow
114,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,61,0.047265802,4300,2,monetary,Taylor Rule|Federal Reserve
115,0bf1f893-db4c-43d4-a49f-638299e19b0a,59,0.045726188,2292,3,art,The Annunciation of Forli|Melozzo da Forli|1483
116,34f5bb4c-c590-4d6c-8a11-7d4e2ed134a7,119,0.040349647,2778,1,marine,Vampyroteuthis infernalis
117,917fbcd0-d3a5-4fae-9a0d-f26f8528ee49,35,0.038958915,2661,0,,
118,f2223f95-4c32-455d-917d-06e13a9cc93f,51,0.0043002,4823,0,,
119,ed569488-8342-4a97-9c02-9cf487d42f33,107,-0.022072367,4372,2,marine,Vampyroteuthis infernalis|marine snow
