plant,variant,source_turn,episode_id,cosine_rank,cosine,rarity_score,rarity_rank,episode_chars,phrase_start,phrase_end,phrase_found
art_pigment,rarity_mean,56,c2a71b45-9105-44d2-9800-e2b2ea7609e6,27,0.204402789,3.124831,412,3047,0,186,True
art_pigment,rarity_max,56,c2a71b45-9105-44d2-9800-e2b2ea7609e6,27,0.204402789,4.186353,410,3047,0,186,True
art_pigment,rarity_sum_per_word,56,c2a71b45-9105-44d2-9800-e2b2ea7609e6,27,0.204402789,2.120421,338,3047,0,186,True
art_patron_role,rarity_mean,60,412b14b3-22dc-450a-823a-96078c7cb063,30,0.19974345,3.499571,295,3255,0,203,True
art_patron_role,rarity_max,60,412b14b3-22dc-450a-823a-96078c7cb063,30,0.19974345,5.102643,328,3255,0,203,True
art_patron_role,rarity_sum_per_word,60,412b14b3-22dc-450a-823a-96078c7cb063,30,0.19974345,1.899767,404,3255,0,203,True
monetary_taylor,rarity_mean,61,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,114,0.047265802,3.262306,282,4231,94,255,True
monetary_taylor,rarity_max,61,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,114,0.047265802,5.102643,9,4231,94,255,True
monetary_taylor,rarity_sum_per_word,61,d5d24dd1-75d3-4ad6-b3fa-e8aabcf9acce,114,0.047265802,1.826892,389,4231,94,255,True
monetary_fed,rarity_mean,62,0459c215-b4db-46c5-a071-14ae528b58e4,91,0.099744469,3.131812,342,4280,0,282,True
monetary_fed,rarity_max,62,0459c215-b4db-46c5-a071-14ae528b58e4,91,0.099744469,5.102643,24,4280,0,282,True
monetary_fed,rarity_sum_per_word,62,0459c215-b4db-46c5-a071-14ae528b58e4,91,0.099744469,2.087874,334,4280,0,282,True
marine_photophores,rarity_mean,101,edcb6d0e-5dcb-4556-b43c-8d369bc9766a,44,0.164364308,3.310391,,3970,0,140,True
marine_photophores,rarity_max,101,edcb6d0e-5dcb-4556-b43c-8d369bc9766a,44,0.164364308,4.186353,,3970,0,140,True
marine_photophores,rarity_sum_per_word,101,edcb6d0e-5dcb-4556-b43c-8d369bc9766a,44,0.164364308,2.336746,,3970,0,140,True
marine_feeding,rarity_mean,102,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,23,0.215603739,3.140902,167,3199,0,158,True
marine_feeding,rarity_max,102,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,23,0.215603739,4.409496,167,3199,0,158,True
marine_feeding,rarity_sum_per_word,102,0c23cfc6-9d76-4b21-a51b-ba4ae395c86a,23,0.215603739,2.542635,77,3199,0,158,True
