arm,stage,domain,item,available
C0,candidate,civil,Halcyon Crossing,True
C0,candidate,civil,847,True
C0,candidate,civil,Dr. Anara Bekova,True
C0,candidate,civil,S460ML,True
C0,candidate,civil,92.4,True
C0,candidate,art,The Annunciation of Forli,False
C0,candidate,art,Melozzo da Forli,False
C0,candidate,art,Cardinal Giuliano della Rovere,False
C0,candidate,art,1483,False
C0,candidate,monetary,Taylor Rule,False
C0,candidate,monetary,Federal Reserve,True
C0,candidate,monetary,Dr. Priya Mehta,False
C0,candidate,monetary,2.3%,False
C0,candidate,marine,Vampyroteuthis infernalis,True
C0,candidate,marine,Dr. Kenji Watanabe,False
C0,candidate,marine,600,True
C0,candidate,marine,marine snow,True
C0,packed,civil,Halcyon Crossing,True
C0,packed,civil,847,True
C0,packed,civil,Dr. Anara Bekova,True
C0,packed,civil,S460ML,False
C0,packed,civil,92.4,False
C0,packed,art,The Annunciation of Forli,False
C0,packed,art,Melozzo da Forli,False
C0,packed,art,Cardinal Giuliano della Rovere,False
C0,packed,art,1483,False
C0,packed,monetary,Taylor Rule,False
C0,packed,monetary,Federal Reserve,True
C0,packed,monetary,Dr. Priya Mehta,False
C0,packed,monetary,2.3%,False
C0,packed,marine,Vampyroteuthis infernalis,True
C0,packed,marine,Dr. Kenji Watanabe,False
C0,packed,marine,600,True
C0,packed,marine,marine snow,True
T1,candidate,civil,Halcyon Crossing,True
T1,candidate,civil,847,True
T1,candidate,civil,Dr. Anara Bekova,True
T1,candidate,civil,S460ML,True
T1,candidate,civil,92.4,True
T1,candidate,art,The Annunciation of Forli,True
T1,candidate,art,Melozzo da Forli,True
T1,candidate,art,Cardinal Giuliano della Rovere,True
T1,candidate,art,1483,True
T1,candidate,monetary,Taylor Rule,False
T1,candidate,monetary,Federal Reserve,True
T1,candidate,monetary,Dr. Priya Mehta,False
T1,candidate,monetary,2.3%,False
T1,candidate,marine,Vampyroteuthis infernalis,False
T1,candidate,marine,Dr. Kenji Watanabe,False
T1,candidate,marine,600,False
T1,candidate,marine,marine snow,False
T1,packed,civil,Halcyon Crossing,True
T1,packed,civil,847,True
T1,packed,civil,Dr. Anara Bekova,True
T1,packed,civil,S460ML,True
T1,packed,civil,92.4,True
T1,packed,art,The Annunciation of Forli,True
T1,packed,art,Melozzo da Forli,True
T1,packed,art,Cardinal Giuliano della Rovere,True
T1,packed,art,1483,True
T1,packed,monetary,Taylor Rule,False
T1,packed,monetary,Federal Reserve,False
T1,packed,monetary,Dr. Priya Mehta,False
T1,packed,monetary,2.3%,False
T1,packed,marine,Vampyroteuthis infernalis,False
T1,packed,marine,Dr. Kenji Watanabe,False
T1,packed,marine,600,False
T1,packed,marine,marine snow,False
