blind_key,sample_id,source_index,question_text_sha256,control_payload_sha256,dynamic_payload_sha256,incoming_count,outgoing_count,retained_count,incoming_missing,outgoing_missing,retained_missing,query_margin_best,query_margin_worst,incoming_novelty_max,incoming_novelty_mean,outgoing_redundancy_max,outgoing_redundancy_mean,neg_incoming_dense_rank_best,neg_incoming_dense_rank_mean,outgoing_dense_rank_worst,outgoing_dense_rank_mean,represented_session_delta,selected_candidate_delta,payload_char_delta,neg_incoming_penalty_max,neg_incoming_penalty_mean,question_id,question_content_sha256,population,direction,identity_delta,control_complete,dynamic_complete
1bec76bbc756795cdb94eae3204327b57ee13ef9e75923199711400c7050852f,conv-41,0,1bec76bbc756795cdb94eae3204327b57ee13ef9e75923199711400c7050852f,87e4f9a15ea13d5b5790b034f372c4f76b186d4912cc78933c81bf9ad2f3d385,06c96b652d6e28258a106925462f22141a35fc377ad16f09ca6e1cd9b6d0f033,10,11,86,0,0,0,-0.01589822769165039,-0.04252535104751587,0.37418633699417114,0.25500828623771665,0.878171443939209,0.7792148156599565,-99.0,-113.7,94.0,79.72727272727273,0,-1,-6,-0.06,-0.048,23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,65ac552fe5146c39aaa65c250ddab0516010b63c585a14153c85302f57d8dc9b,targeted,tie,0,False,False
9b2d659a6e08145a6edb1fbf7666a6bbebc00ed81b1cfa0784a8204d824d68f2,conv-41,1,9b2d659a6e08145a6edb1fbf7666a6bbebc00ed81b1cfa0784a8204d824d68f2,c6c660f919ac84b93c6f6d5cd0b9d09c5dff0cf53505f3f19c51d853faef9b9f,c9b028c92b46742b42f170507d82ba47b4db1d91084b45ed91980912ad02285f,11,10,85,0,0,0,-0.03202614188194275,-0.018237680196762085,0.3663176894187927,0.2665239355780862,0.8290712833404541,0.7800341069698333,-97.0,-109.18181818181819,94.0,81.1,0,1,-80,-0.06,-0.046363636363636364,f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,9bfeb507fdcb02c41f4e684845b8ee97b9eb159a84cf7dfa2c16f4f935e939fc,targeted,tie,0,True,True
2e551fb82669ea0288b6b635b352f0cc4f323d5530a896c62cd7ce217a71f046,conv-41,2,2e551fb82669ea0288b6b635b352f0cc4f323d5530a896c62cd7ce217a71f046,8c623eb015f39d17af490c6d98d6cf947bdab4096b5b78220bee05d901f71402,ee0e0a6462130df883fd6d4965de321db9231dacd54f3b7d53ea321f30ab7286,13,13,89,0,0,0,-0.028255850076675415,-0.03982153534889221,0.3386632204055786,0.19016895385888907,0.9265490174293518,0.7764001626234788,-102.0,-124.6923076923077,101.0,86.23076923076923,2,0,-22,-0.09,-0.043846153846153854,eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,f26a4a49f036b0038b1bf1592cb3e7ded29c57e234bff734000460357610d250,other,tie,0,True,True
591714f9832551c8d681b03e4bd958b63d3f9a2b363906b8cea4da1b2e526713,conv-41,3,591714f9832551c8d681b03e4bd958b63d3f9a2b363906b8cea4da1b2e526713,f5186a86265a5f0ef55bb33f0f77917eb95ecc8c69c3d4d91f7bd366ed573f1a,95c5e8265c8ec3b38c05a900901c99dc26d641670ccbbba99a2d751dd6229c9d,12,16,79,0,0,0,-0.024983525276184082,-0.055003345012664795,0.3435993194580078,0.25159763793150586,0.9145027995109558,0.8376429043710232,-95.0,-135.41666666666666,92.0,77.1875,3,-4,-10,-0.06,-0.027500000000000007,52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,e528bd942852f555b7496e96b08314df2a1ba1e92cfd130f185140d093043899,other,tie,0,True,True
f5a9e8210f77cf140cdc93bb05b4722b7ba0e847914c04417dd70c69b568c50e,conv-41,4,f5a9e8210f77cf140cdc93bb05b4722b7ba0e847914c04417dd70c69b568c50e,ed486b56ca758a9a2cebef15c2a51a77da43f495942bdc48822c1c65d0ceb234,fed347e8dd02eea2381dfe12bd29d0fa20c5ccfd22de7e0081991ccfe45cd836,12,14,79,0,0,0,-0.02040928602218628,-0.036534667015075684,0.33194994926452637,0.222744549314181,0.878171443939209,0.7942115196159908,-94.0,-130.5,93.0,67.07142857142857,3,-2,58,-0.09,-0.032499999999999994,9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,8c87ac019eb499d4a2249fb7e87b7ef7273c8eb25b6392e523dab4f31da58e55,targeted,tie,0,True,True
0ac56239038574375d842a49b9289c0b872ca2c91d0be00fb67f76e1eefd254e,conv-41,5,0ac56239038574375d842a49b9289c0b872ca2c91d0be00fb67f76e1eefd254e,0a5ad52be4dc3fb9f0ad625fa0a2ad3099549330b591741dabbe6dd1f461ad16,3c358fae1eba3d2afc55b3cc4240af499ad83d00bf36c80daf0ff3daa13bb44a,9,10,88,0,0,0,-0.015751779079437256,-0.03853011131286621,0.26693135499954224,0.1939546995692783,0.8012000918388367,0.7533951938152313,-100.0,-115.88888888888889,93.0,84.3,1,-1,24,-0.06,-0.04,a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,f76f3b2963897893929a2a1d9ade2430e9ef0b9007be33bbadd2ea59767e5dba,targeted,tie,0,True,True
e597145eccee90668e2ecba65b992752a81837dda2edb6e1490eb503f43a7428,conv-41,6,e597145eccee90668e2ecba65b992752a81837dda2edb6e1490eb503f43a7428,0787176abca3c4f764e60a7627afd0cf896a3023b8f67347c67e1dd5226c81e2,b0fc45087523280926f13d0ad033f8e3d5aa903e6d3982770cdc4d6938f3bee3,15,15,84,0,0,0,-0.028077900409698486,-0.03645294904708862,0.3435993194580078,0.23529918988545737,0.9265490174293518,0.8090172290802002,-101.0,-125.66666666666667,100.0,83.06666666666666,3,0,74,-0.06,-0.038000000000000006,e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,2095837b21de36d61d053619ecf9db839be122449ac1064734d644bfe4ec3073,breadth,loss,-1,True,False
88257adc7c0d56af47f238c3e11d2503bc511eee0667ea8aec3ca3fe2290745d,conv-41,7,88257adc7c0d56af47f238c3e11d2503bc511eee0667ea8aec3ca3fe2290745d,ce932eaae014a9372e694fcfc8e8eecb355d1ba1b8baaf9312a0c4d86907c569,6f59d6bdf8db7d1fd504dd102beb79ed20ea9d09950cbec034ade80612522e40,17,20,88,0,0,0,-0.024739891290664673,-0.01542651653289795,0.3315742611885071,0.22127593264860265,0.9265490174293518,0.7589148283004761,-109.0,-134.64705882352942,151.0,87.65,2,-3,9,-0.12,-0.04411764705882353,4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,3e2817ee1f0616b02b1684d5c4bfb8b31990aa5604ece9cd4568827df0a0cdd9,other,tie,0,True,True
bedef5e0b14cabbc3151b44233dcfd190d18b6569ffade4149e36342eeb823d6,conv-41,8,bedef5e0b14cabbc3151b44233dcfd190d18b6569ffade4149e36342eeb823d6,6e9bfe63377211f2d02cf1e01f3766a6f8d24de3cbc31b211c6e032ecb32f9c6,d247a5bc465b08e6973afff7f15d6bc5cfaa5595b7820b31c4366e12fe6ba8cc,18,21,80,0,0,0,-0.027094751596450806,-0.059356123208999634,0.3386632204055786,0.21153758962949118,0.8862798810005188,0.7785371882574899,-102.0,-143.66666666666666,99.0,78.52380952380952,2,-3,6,-0.18,-0.04833333333333333,cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,e3e660dc224f7a8c67928a697d7efdbda941a7fd194ff57d73b9f368cb21d7ec,targeted,tie,0,False,False
63118ce9cfcf4482ddf827a274e4a3e26152ca9e5f56e27f73ef82d867355134,conv-41,9,63118ce9cfcf4482ddf827a274e4a3e26152ca9e5f56e27f73ef82d867355134,b39376a2ffbc7d2d8e2bd0d96700e61c965a9020ed4d1d7ac923c13ceec48416,1c133faa5ae2d947ef299662f55fec2727cfdd96f38b8bfd71f8512709fec3ae,13,12,79,0,0,0,-0.028640836477279663,-0.03974750638008118,0.32118916511535645,0.2210652598967919,0.8862798810005188,0.7812017997105917,-92.0,-109.92307692307692,91.0,75.0,3,1,60,-0.06,-0.030000000000000006,78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,6c81924222f1af9208fafb0b91b7ccc3288849a49055a10385a9fb141ca21046,other,tie,0,True,True
