question_id,sample_id,category,direction,evidence_episodes,tiered_evidence_tiers,tiered_evidence_delivered,flat_evidence_delivered,flat_best_evidence_rank,flat_worst_evidence_rank,tiered_recency,tiered_k,tiered_coverage
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,1,loss,2,k,1,2,18,29,32,17,0
75f30b93fb3bbac1e1de7fb1b06546578b4f93f47ac8e9486ab016fcfa7951c5,conv-41,1,gain,2,coverage|k,2,1,2,143,32,8,9
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,conv-41,2,loss,1,,0,1,14,14,32,5,11
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,conv-41,1,loss,2,k,1,2,2,18,32,11,5
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,conv-41,1,loss,2,,0,2,12,27,32,11,5
8f9ae358d6e7e92632040ed791454da76fbc27d176b9b7a7a30813a7622c46dd,conv-41,1,loss,2,,0,2,1,6,32,17,0
b775fcf9187bb1dc5eea4a1054905ad24e76b2bfa4a9e7fd83b8cd39592cac01,conv-41,2,loss,1,,0,1,2,2,32,16,0
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,conv-41,1,loss,2,,0,2,1,11,32,17,0
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,1,loss,3,k,1,3,16,31,32,15,0
152edafcfaccb80100fedd9618fb0d8bef7d39157fa916ec7a908ef7c3f6f27f,conv-41,2,loss,1,,0,1,1,1,32,16,0
c6d12ae10830d7054f9a8bfa6e109c37a3ce5571ce292916aa16dc6fc2760e2e,conv-41,1,loss,5,k,1,5,4,12,32,16,0
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,conv-41,2,loss,1,,0,1,17,17,32,17,0
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,conv-41,1,loss,4,k,1,4,1,10,32,17,0
fc65d91d1c22d4d789c07a589802bc27dbaf2da242cefb9eaeb5b3628d223273,conv-41,2,loss,1,,0,1,1,1,32,13,0
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,conv-41,1,loss,2,,0,2,1,7,32,18,0
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,conv-41,2,loss,1,,0,1,1,1,32,15,0
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,conv-41,2,loss,1,,0,1,10,10,32,16,0
d4f7248959751b17f2d7d3a760a579c652197af8c0337c2231bf6829d5ea29a5,conv-41,2,loss,1,,0,1,1,1,32,13,1
bc430a52ac972d69552399542570704ba156d837c332e113eecf0f0cecbb0731,conv-41,2,loss,2,,0,2,1,6,32,14,0
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,1,loss,4,k,2,4,2,43,32,16,0
