question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,dual_evidence_delivered,tiered_evidence_delivered,dual_evidence_tiers,tiered_evidence_tiers
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,1,gain,2,18,29,2,1,k,k
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,conv-41,2,gain,1,14,14,1,0,coverage,
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,conv-41,1,gain,2,2,18,2,1,coverage|k,k
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,conv-41,1,gain,2,12,27,2,0,coverage,
8f9ae358d6e7e92632040ed791454da76fbc27d176b9b7a7a30813a7622c46dd,conv-41,1,gain,2,1,6,2,0,k,
b775fcf9187bb1dc5eea4a1054905ad24e76b2bfa4a9e7fd83b8cd39592cac01,conv-41,2,gain,1,2,2,1,0,k,
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,1,gain,3,16,31,3,1,k,k
152edafcfaccb80100fedd9618fb0d8bef7d39157fa916ec7a908ef7c3f6f27f,conv-41,2,gain,1,1,1,1,0,k,
c6d12ae10830d7054f9a8bfa6e109c37a3ce5571ce292916aa16dc6fc2760e2e,conv-41,1,gain,5,4,12,5,1,k,k
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,conv-41,2,gain,1,17,17,1,0,k,
fc65d91d1c22d4d789c07a589802bc27dbaf2da242cefb9eaeb5b3628d223273,conv-41,2,gain,1,1,1,1,0,k,
d4f7248959751b17f2d7d3a760a579c652197af8c0337c2231bf6829d5ea29a5,conv-41,2,gain,1,1,1,1,0,k,
bc430a52ac972d69552399542570704ba156d837c332e113eecf0f0cecbb0731,conv-41,2,gain,2,1,6,2,0,k,
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,1,gain,4,2,43,4,2,k,k
defbf87718c39d745b8eb64bee56a468d9d6212f5ddd501bb5c38500a608e4ac,conv-41,2,gain,1,1,1,1,0,k,
136977e4c66c5c46e566f3d51725f45aae0327b6f8767183941e4c82a827e032,conv-41,4,gain,1,87,87,1,0,k,
190d7ceef48018a21395a1e9dae0b0eb0b009a9df899038c7eae7223557f00f0,conv-41,4,gain,1,18,18,1,0,k,
a94a6c814011f43ed0fe862ec77997bdf8f6a04b7141e24354b68cf1b4363fec,conv-41,4,gain,1,54,54,1,0,k,
73dc27d967492533037784ea587ddba6841f0d639d7b5e409c8b524c7c680905,conv-41,4,gain,1,3,3,1,0,k,
c456233af3ac59ee17409dc0a2d55e26cbf460c0b646ad354d1692f6d74c5bff,conv-41,4,gain,1,3,3,1,0,k,
e39619590c52e3edde97544e3bdd79e48ad166acf387110c0658f350d1c692cd,conv-41,4,gain,1,1,1,1,0,k,
26b8fee9bc82a4fa532b85ea3d8323b8fa42b0d5ddcdec10f430a0a072591001,conv-41,4,gain,1,1,1,1,0,k,
55182db2ad04e61ecc6cd0f3979e66b93865f94a17333ff0c8e5ed980785c2b4,conv-41,4,gain,1,1,1,1,0,k,
efd88595b29517e3b1c2d7400bb31442c5abef8727bbd934bb448bdfa44a595e,conv-41,4,gain,1,1,1,1,0,k,
4a7934decfbe4693843354b50d8dbd3395a6362f3e0d662986b491e915769e84,conv-41,4,gain,1,3,3,1,0,k,
7b74888385d4318f7cdd5fcf18fb27921ede95b137677aa6e4446d7934ca1dba,conv-41,4,gain,1,2,2,1,0,k,
ae828f6cfb3bf753e9d1f333795935d8056b1d7fc9908a14a9106751fb08bf18,conv-41,4,gain,1,30,30,1,0,coverage,
bc76f5144509b3b0571b40f1851b25f4ac54d12bfface698d23a4e8c2fa658a5,conv-41,4,gain,1,5,5,1,0,k,
74fbd599bce6be2c928b523e49470449db883a0c82d2f8450c1139bd5cc0898a,conv-41,4,gain,1,3,3,1,0,k,
406164621957eae559dfe03d81c3b82784e7e33dafe24a2450952ea16d2881f1,conv-41,4,gain,1,1,1,1,0,k,
604b382a0da45c11954c71fb40ddd4510228b7118e916d2cadbc736e07b5f35a,conv-41,4,gain,1,1,1,1,0,k,
844db0408d7aa28edc4c2b59d01a9db9cbe2987e0244fdba0f3c3e3d063680ed,conv-41,4,gain,1,2,2,1,0,k,
6985d96286902572e3266d9e8097b60dc94c50d9ab0a32301c39807b01d91962,conv-41,4,gain,1,16,16,1,0,k,
12ff873895417b2b8738f301446f00e2af219622d38e45861687a1590889bec0,conv-41,4,gain,1,1,1,1,0,k,
e072a917b5401119f3dc128050485a770577c7b50f931a33f29801f058595c52,conv-41,4,gain,1,1,1,1,0,k,
5ce987b031ceffbef4e82fe93d8d06b637164c5759c241b70c2bfd7918e3a326,conv-41,4,gain,1,1,1,1,0,k,
f848857d4cb60049328de9ac467b8d7b4ca90a22a1cddfc915c6c213c964e218,conv-41,4,loss,1,1,1,0,1,,recency
1b92581f7da6b206bd50389c0a92c6f332aeb24924ece4d4941c952da46001da,conv-41,4,loss,1,1,1,0,1,,recency
1a87e8b261ff7b06b8dd541a2ad7669f60d31cc5155664d0f57ec40d42eebe07,conv-41,4,loss,1,1,1,0,1,,recency
3670971da03be2d4a8dfb869295c91ae95c9e542e2cb1940890c3e6b53c0255a,conv-41,4,loss,1,9,9,0,1,,recency
35e21af4a0f1ed9b75a9cb0c2a3b228af7fad01f8d34d71b7be63089b58bca6a,conv-41,4,loss,1,3,3,0,1,,recency
fef3e92cb81eb3393f5bd6e3767aab8c3ac558f405c5c6cf0d3d026c9f5fac5a,conv-41,4,loss,1,2,2,0,1,,recency
ef357ff73e1b22a58be8d9db6889567f79c19433b565ae18dc6bc2c0b1a0cf00,conv-41,5,gain,1,1,1,1,0,k,
76457879964b6b3f5c36884a8fbe5d22104c0f1275decbe6e1e80fb061fdedb1,conv-41,5,gain,1,1,1,1,0,k,
43b124d25ed567d81c8eac80e6ed3492d0818a3679d25e2f69ec1ddab6c80f57,conv-41,5,gain,1,1,1,1,0,k,
b405ac7fad1a46af53fbd71980011c072bef89d14bc20fa3d13655690c2c0b83,conv-41,5,gain,1,1,1,1,0,k,
386f07d456508f3454e94ca12adb2aed5f0d543a45b70821c49f1a891bc1e46f,conv-41,5,gain,1,2,2,1,0,k,
