question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,k_first_evidence_delivered,n_first_evidence_delivered,k_first_evidence_tiers,n_first_evidence_tiers
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,conv-41,1,gain,2,1,11,2,0,k,
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,conv-41,1,gain,2,1,7,2,0,k,
c999400bebd41b668faa6c0b86f43a7bc022aee773fc5b75173731a01ed379a5,conv-41,4,gain,1,3,3,1,0,k,
58d85e4977b631800845043bce927d9012751c51d39e62521802a28e9a80a3db,conv-41,4,gain,1,3,3,1,0,k,
0f6a656c4dd3a6d4c4aa74e40629357576ea65b5af802261f6b8069a05a870bf,conv-41,4,gain,1,1,1,1,0,k,
90d626053cf2bc0a67337fc7e441359538659b1e6d7cade9a19274e971a10ead,conv-41,4,gain,1,4,4,1,0,k,
2210b772f786d52f146c4a8cf239de8716df204a78df574fa5e5bd38e8bf83ba,conv-41,4,gain,1,3,3,1,0,k,
b1e545e542ad874b3564a7412dbfd23eb1856839aacaef6b8fd4c4dea0abd130,conv-41,4,gain,1,71,71,1,0,k,
d62bca93ff7c87776e395d7455366fbf1db749dce1ed2dfb3a723362caa27519,conv-41,4,gain,1,3,3,1,0,k,
956f0a351bdc18fea75fe7faafda94f1788d8bdaa9629ca1733c461ce1d6dc1a,conv-41,4,gain,1,1,1,1,0,k,
2b96ef9d564aba43af0eeb5f2c664eda7e5d8487058ba11b1530556bb3968726,conv-41,4,gain,1,1,1,1,0,k,
f848857d4cb60049328de9ac467b8d7b4ca90a22a1cddfc915c6c213c964e218,conv-41,4,loss,1,1,1,0,1,,recency
1b92581f7da6b206bd50389c0a92c6f332aeb24924ece4d4941c952da46001da,conv-41,4,loss,1,1,1,0,1,,recency
1a87e8b261ff7b06b8dd541a2ad7669f60d31cc5155664d0f57ec40d42eebe07,conv-41,4,loss,1,1,1,0,1,,recency
35e21af4a0f1ed9b75a9cb0c2a3b228af7fad01f8d34d71b7be63089b58bca6a,conv-41,4,loss,1,3,3,0,1,,recency
1097b5b3e426b9e4489841fb10cc5a032d318d7a5f70706cbfea495216f73d87,conv-41,5,gain,1,7,7,1,0,k,
bd9d53104b0f2f294a88f58d1eba886e489bd6be940cd453c03ba8f8f1bbf00e,conv-41,5,gain,1,5,5,1,0,k,
2975a3396b7dd430df3ef55400207a44a4aec6406161a6c8300ad2f36d587271,conv-41,5,loss,1,2,2,0,1,,recency
8de8ac65359adb78c1d480e238341027a250dc2c52615a95c48bff92378331c5,conv-42,2,gain,1,4,4,1,0,k,
37caa40b6f5651d328ec986771e081a246bb2922e1ba7f34c3d8caeb57049351,conv-42,2,gain,1,1,1,1,0,k,
c67cf4f99d135e595767179cca1cce876cad4e3bba1d5d594e32e3d2dab8fe8b,conv-42,1,gain,2,2,49,1,0,k,
8b6a009c3d9ea30209f25596bbd9e672294203263aa4fd5a2af2db9a93011f6c,conv-42,1,gain,2,7,15,1,0,k,
ac84559bcd514c32229a01e9db5ed502f5bd727ce0c57cb8c72c7acd30b811cb,conv-42,1,gain,3,2,78,1,0,k,
a10194172b5d9f05c2381719e449e51c78b422f331a2dc1c567d7a79f37233d5,conv-42,1,loss,2,22,185,0,1,,recency
50370f80902f3cea6eddecd12a888e688e9f96e803a16709e89d946ce314cb01,conv-42,1,loss,3,14,35,0,1,,recency
