question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,k_first_evidence_delivered,flat_evidence_delivered,k_first_evidence_tiers,flat_evidence_tiers
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,conv-41,2,loss,1,76,76,0,1,,
bd7fbfa7f1c6d80208462b78c7b7cdb646ad57a01230e87ac87250554c11fb30,conv-41,2,loss,1,70,70,0,1,,
1617c689353d45ffb675cf8997cbb721c375af92eac8f9b6212c13f16c159593,conv-41,3,loss,1,78,78,0,1,,
add82d28e06d3471718bbfd0c7e59110498a92f8e42bbdf957e5a1280f34d7a1,conv-41,1,loss,3,3,274,0,2,,
c4bf69d7d06891f87c346b585f431847a897b337b49dbe2e45e05f88e593b64e,conv-41,3,loss,2,89,195,0,1,,
5f30487527c8d532f3b0cd5baec495674a10126b5003fef91554d12f1079ede3,conv-41,3,gain,4,100,217,1,0,recency,
b84295b60ece1edc0542fc349f3a67ca39a2e0b1d356bdc17a689377141f06ff,conv-41,4,loss,1,4,4,0,1,,
455a52ad1b469fbf334c134723110e97df123f0560d5ea33f3d78a8eb58d6f72,conv-41,4,loss,1,45,45,0,1,,
cf05ff64213e09272cd0e5b7cd6776c449f2965300d00f17a893e654f6319ff2,conv-41,4,loss,1,30,30,0,1,,
84ef28a5108a343b3a3ff3bf27ab5b2deacad234e97573386015853d25b2f24f,conv-41,4,loss,1,4,4,0,1,,
b7e90f46d89e8bccb1cce16cf45690c5a26c021ebc3373d54727e79bbfb93b75,conv-41,4,loss,1,4,4,0,1,,
1c5c0dd076e28e81101b18fef840034a172a3780a7010f61f51f6a03d08a282c,conv-41,4,loss,1,8,8,0,1,,
c7acb34275e7aa836fe52f2794afff19d0e499233d297c9367a4759d4ea78e4c,conv-41,4,loss,1,1,1,0,1,,
f848857d4cb60049328de9ac467b8d7b4ca90a22a1cddfc915c6c213c964e218,conv-41,4,loss,1,1,1,0,1,,
1b92581f7da6b206bd50389c0a92c6f332aeb24924ece4d4941c952da46001da,conv-41,4,loss,1,1,1,0,1,,
1a87e8b261ff7b06b8dd541a2ad7669f60d31cc5155664d0f57ec40d42eebe07,conv-41,4,loss,1,1,1,0,1,,
35e21af4a0f1ed9b75a9cb0c2a3b228af7fad01f8d34d71b7be63089b58bca6a,conv-41,4,loss,1,3,3,0,1,,
2975a3396b7dd430df3ef55400207a44a4aec6406161a6c8300ad2f36d587271,conv-41,5,loss,1,2,2,0,1,,
ee01995c1b6cbdbba001d03c049c1248cd1a924f616dfc95322b3715197916db,conv-42,3,gain,1,227,227,1,0,k,
68db0e898dba0f4eefbafb66d86125fae4c9b83d6e1264b60347dcd965e805c0,conv-42,2,loss,1,5,5,0,1,,
1c4c72388a8e0930c9170c91f62326f682378a011616663a11d659fd7c47701b,conv-42,2,loss,1,1,1,0,1,,
2715207fe1f1624f541d0f192be48380020e8221d1cf9482fdc3a024ff5752f2,conv-42,1,loss,2,4,28,0,2,,
b53ce915bdb62ca49733c1861052ee7f3fd06b0cac8c1f78ef05d1e78fcb644c,conv-42,2,loss,1,12,12,0,1,,
a3551164d7362aaf94fedeb8917cc1d76259749ed7535c204934bcc21cacded5,conv-42,1,gain,6,144,316,3,0,k,
806aa7d67b74698fa1e67fefe095d818b9f3cb4eee56b0954e12087bd4d1b7ed,conv-42,3,loss,1,37,37,0,1,,
021530dae37f1fcd345b0f69e199cfb5ef26fde9061601ffa56d4b6462c03351,conv-42,3,gain,4,131,298,1,0,k,
a10194172b5d9f05c2381719e449e51c78b422f331a2dc1c567d7a79f37233d5,conv-42,1,loss,2,22,185,0,1,,
50370f80902f3cea6eddecd12a888e688e9f96e803a16709e89d946ce314cb01,conv-42,1,loss,3,14,35,0,3,,
05ac76f5e94013bf1696ddc28ae760e0352a5c2982f87e0d1eb73c92f7c9bb53,conv-42,2,loss,1,2,2,0,1,,
62073229c03f67ec206128dddfff6c3e9a733a9af543c4d6e68cce576e41a063,conv-42,3,loss,2,36,177,0,1,,
dcf003086f310b982a492c8fbcb4c863a9e442e4499aaec84f1a68bc579cbfdd,conv-42,3,loss,1,3,3,0,1,,
fc39bd31a145fc95bd88e759331e054c430434359bc870b590201bdad1987653,conv-42,3,gain,1,170,170,1,0,recency,
b1e9c3b46aa613d90adf0920b8505dd8244fa341b00db9bcd8109ee0b83d0b03,conv-42,4,gain,1,120,120,1,0,k,
f50d9902ea1b4dd608641996ed5d7856ae11206ad9f551c20183b659bddd5c3e,conv-42,4,loss,1,1,1,0,1,,
86bd14960f48a837562096eabc6277867c7b5fae23c3755ef30c4d69537e4104,conv-42,4,loss,1,2,2,0,1,,
f8cb3b5834f6255cb8558b610ab15daa3266163e81ab4d824528ffe33fee1e3b,conv-42,4,loss,1,10,10,0,1,,
47d3c6f7ae974b9608053e2967b60a285b355668431dec4e45a93dbc1911c977,conv-42,4,loss,1,69,69,0,1,,
074be89b771ba9ac1a70988d9d125560556e7e26978590bb333a36b5634e1aba,conv-42,4,loss,1,64,64,0,1,,
2b563c837299367ccbce358225cece104e00b733432313ca129ecfd1d372c957,conv-42,4,loss,1,6,6,0,1,,
72a4cee12c413b4c5b413af78cbacc7d18a27e76deff449bedf17e8fe0f58cd9,conv-42,4,loss,1,1,1,0,1,,
a59cbb28d7b576e1c9aa09c11494bb0c6f0f2359e972d45ce79c8b6f16aaead7,conv-42,4,loss,1,1,1,0,1,,
545b752a28f2ff8dfd8d3b8b82f80eaaad2a7b9d09dca072d043400bb4017e2f,conv-42,4,loss,1,2,2,0,1,,
30661ec5226420983df107a6cdc5ac9e250f970e784bf22241a6d8082c1010d2,conv-42,4,loss,1,1,1,0,1,,
8e7ede6fd8ae2155204a93da5e6f23de427045a6d88ff5f9e10af9d98f004c5e,conv-42,4,loss,1,77,77,0,1,,
f62d12420ea9ed10d3ed9353b7b4a7f3f03a68eecdbb48b02ba2eec23ee47ac9,conv-42,4,loss,1,4,4,0,1,,
22706b92552b5ffcb6d7983c5b2c609e2a7c895591ee74e11f97a010bc602df2,conv-42,4,loss,1,15,15,0,1,,
