question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,dual_evidence_delivered,k_first_evidence_delivered,dual_evidence_tiers,k_first_evidence_tiers
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,conv-41,2,gain,1,76,76,1,0,coverage,
bd7fbfa7f1c6d80208462b78c7b7cdb646ad57a01230e87ac87250554c11fb30,conv-41,2,gain,1,70,70,1,0,coverage,
1617c689353d45ffb675cf8997cbb721c375af92eac8f9b6212c13f16c159593,conv-41,3,gain,1,78,78,1,0,coverage,
c4bf69d7d06891f87c346b585f431847a897b337b49dbe2e45e05f88e593b64e,conv-41,3,gain,2,89,195,1,0,coverage,
fc39bd31a145fc95bd88e759331e054c430434359bc870b590201bdad1987653,conv-42,3,loss,1,170,170,0,1,,recency
6b826b8f018269da266fb295805394fb6e7c791f1bf3353d4b084667e0d34198,conv-42,5,gain,1,94,94,1,0,coverage,
c1245f65f5c27621a23249521655a072d094389c113f4f4b083b96debc369b7a,conv-42,5,gain,1,85,85,1,0,coverage,
a0c552bf3d74a2dfd73ed0f7b3c39acac518147f311d6b839e38df0160aa4d62,conv-47,2,gain,1,105,105,1,0,coverage,
0c69e249f93e086b1e2025f33355848e1a84350490389adc07b254073aa2f0dc,conv-47,4,gain,1,76,76,1,0,coverage,
5e2906225b5043c7242b46ffcc2b6cdcf2dc713b06428570cc954c586e50647a,conv-48,5,gain,1,112,112,1,0,coverage,
