question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,floors_evidence_delivered,n_first_evidence_delivered,floors_evidence_tiers,n_first_evidence_tiers,floors_evidence_phases,n_first_evidence_phases
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,conv-41,2,gain,1,14,14,1,0,coverage,,contested,
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,conv-41,1,gain,2,2,18,2,1,coverage|k,k,reserved,
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,conv-41,1,gain,2,12,27,2,0,coverage,,contested|reserved,
8f9ae358d6e7e92632040ed791454da76fbc27d176b9b7a7a30813a7622c46dd,conv-41,1,gain,2,1,6,2,0,k,,contested,
b775fcf9187bb1dc5eea4a1054905ad24e76b2bfa4a9e7fd83b8cd39592cac01,conv-41,2,gain,1,2,2,1,0,k,,contested,
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,conv-41,1,gain,2,1,11,2,0,k,,contested,
152edafcfaccb80100fedd9618fb0d8bef7d39157fa916ec7a908ef7c3f6f27f,conv-41,2,gain,1,1,1,1,0,k,,contested,
ad72d579039ea181d479ecb838e1d562952c69ccf832608256f0dcf58a9faf1d,conv-41,1,loss,2,1,4,1,2,k,k,reserved,
c6d12ae10830d7054f9a8bfa6e109c37a3ce5571ce292916aa16dc6fc2760e2e,conv-41,1,gain,5,4,12,5,1,k,k,contested,
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,conv-41,1,gain,4,1,10,4,1,k,k,contested|reserved,
fc65d91d1c22d4d789c07a589802bc27dbaf2da242cefb9eaeb5b3628d223273,conv-41,2,gain,1,1,1,1,0,k,,contested,
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,conv-41,1,gain,2,1,7,2,0,k,,contested,
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,conv-41,2,gain,1,1,1,1,0,k,,contested,
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,conv-41,2,gain,1,10,10,1,0,k,,contested,
d4f7248959751b17f2d7d3a760a579c652197af8c0337c2231bf6829d5ea29a5,conv-41,2,gain,1,1,1,1,0,k,,contested,
bc430a52ac972d69552399542570704ba156d837c332e113eecf0f0cecbb0731,conv-41,2,gain,2,1,6,2,0,k,,contested,
defbf87718c39d745b8eb64bee56a468d9d6212f5ddd501bb5c38500a608e4ac,conv-41,2,gain,1,1,1,1,0,k,,contested,
73dc27d967492533037784ea587ddba6841f0d639d7b5e409c8b524c7c680905,conv-41,4,gain,1,3,3,1,0,k,,contested,
c456233af3ac59ee17409dc0a2d55e26cbf460c0b646ad354d1692f6d74c5bff,conv-41,4,gain,1,3,3,1,0,k,,contested,
4100ab9797d09aa73ead8fc898286227a663d5ea1e77b6dcb5880834a5276bd9,conv-41,4,loss,1,1,1,0,1,,k,,
c999400bebd41b668faa6c0b86f43a7bc022aee773fc5b75173731a01ed379a5,conv-41,4,gain,1,3,3,1,0,k,,contested,
fa6d171e774db5f02bb24e1054b0bae761a2e1bda96f2550e382c6ec3f677c37,conv-41,4,gain,1,1,1,1,0,k,,contested,
e39619590c52e3edde97544e3bdd79e48ad166acf387110c0658f350d1c692cd,conv-41,4,gain,1,1,1,1,0,k,,contested,
