question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,floors_evidence_delivered,k_first_evidence_delivered,floors_evidence_tiers,k_first_evidence_tiers,floors_evidence_phases,k_first_evidence_phases
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,1,loss,2,18,29,1,2,k,k,reserved,
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,conv-41,2,gain,1,14,14,1,0,coverage,,contested,
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,conv-41,1,gain,2,2,18,2,1,coverage|k,k,reserved,
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,conv-41,1,gain,2,12,27,2,0,coverage,,contested|reserved,
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,conv-41,1,gain,2,1,11,2,0,k,,contested,
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,1,loss,3,16,31,1,3,k,k,reserved,
ad72d579039ea181d479ecb838e1d562952c69ccf832608256f0dcf58a9faf1d,conv-41,1,loss,2,1,4,1,2,k,k,reserved,
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,conv-41,2,loss,1,17,17,0,1,,k,,
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,conv-41,1,gain,4,1,10,4,2,k,k,contested|reserved,
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,conv-41,1,gain,2,1,7,2,0,k,,contested,
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,conv-41,2,gain,1,1,1,1,0,k,,contested,
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,conv-41,2,gain,1,10,10,1,0,k,,contested,
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,1,loss,4,2,43,3,4,k,k,contested|reserved,
136977e4c66c5c46e566f3d51725f45aae0327b6f8767183941e4c82a827e032,conv-41,4,loss,1,87,87,0,1,,k,,
190d7ceef48018a21395a1e9dae0b0eb0b009a9df899038c7eae7223557f00f0,conv-41,4,loss,1,18,18,0,1,,k,,
a94a6c814011f43ed0fe862ec77997bdf8f6a04b7141e24354b68cf1b4363fec,conv-41,4,loss,1,54,54,0,1,,k,,
4100ab9797d09aa73ead8fc898286227a663d5ea1e77b6dcb5880834a5276bd9,conv-41,4,loss,1,1,1,0,1,,k,,
c999400bebd41b668faa6c0b86f43a7bc022aee773fc5b75173731a01ed379a5,conv-41,4,gain,1,3,3,1,0,k,,contested,
fa6d171e774db5f02bb24e1054b0bae761a2e1bda96f2550e382c6ec3f677c37,conv-41,4,gain,1,1,1,1,0,k,,contested,
58d85e4977b631800845043bce927d9012751c51d39e62521802a28e9a80a3db,conv-41,4,gain,1,3,3,1,0,k,,contested,
3d884027b11bb5693383321ad96a7223d78e1fe68c2be5a3e9daf30c97bc1ff4,conv-41,4,gain,1,12,12,1,0,k,,contested,
51a61d6ba9ea63725cba397d1854b772c98592406ce731e1f080534e7bf4d8fa,conv-41,4,gain,1,1,1,1,0,k,,contested,
0f6a656c4dd3a6d4c4aa74e40629357576ea65b5af802261f6b8069a05a870bf,conv-41,4,gain,1,1,1,1,0,k,,contested,
5be306aecff5ccc9b741c7e7c0dffc398351e3df3d221cd179c815ee2daac36a,conv-41,4,gain,1,7,7,1,0,k,,contested,
954a729e44a3de6ab20353a0bfd52a97d9a89029e0ada71346146f442b142c55,conv-41,4,gain,1,1,1,1,0,k,,contested,
