question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,floors_evidence_delivered,flat_evidence_delivered,floors_evidence_tiers,flat_evidence_tiers,floors_evidence_phases,flat_evidence_phases
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,1,loss,2,18,29,1,2,k,k,reserved,
75f30b93fb3bbac1e1de7fb1b06546578b4f93f47ac8e9486ab016fcfa7951c5,conv-41,1,gain,2,2,143,2,1,coverage|k,k,reserved,
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,1,loss,3,16,31,1,3,k,k,reserved,
ad72d579039ea181d479ecb838e1d562952c69ccf832608256f0dcf58a9faf1d,conv-41,1,loss,2,1,4,1,2,k,k,reserved,
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,conv-41,2,loss,1,17,17,0,1,,k,,
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,1,loss,4,2,43,3,4,k,k,contested|reserved,
190d7ceef48018a21395a1e9dae0b0eb0b009a9df899038c7eae7223557f00f0,conv-41,4,loss,1,18,18,0,1,,k,,
4100ab9797d09aa73ead8fc898286227a663d5ea1e77b6dcb5880834a5276bd9,conv-41,4,loss,1,1,1,0,1,,k,,
455a52ad1b469fbf334c134723110e97df123f0560d5ea33f3d78a8eb58d6f72,conv-41,4,loss,1,45,45,0,1,,k,,
cf05ff64213e09272cd0e5b7cd6776c449f2965300d00f17a893e654f6319ff2,conv-41,4,loss,1,30,30,0,1,,k,,
6985d96286902572e3266d9e8097b60dc94c50d9ab0a32301c39807b01d91962,conv-41,4,loss,1,16,16,0,1,,k,,
5ce987b031ceffbef4e82fe93d8d06b637164c5759c241b70c2bfd7918e3a326,conv-41,4,loss,1,1,1,0,1,,k,,
70fa95f6b7032254e8b17ee81605dfcf53d98574ff7e984f89fcf2ed402cf542,conv-41,5,loss,1,24,24,0,1,,k,,
dae3baaa75e838b94081ce10c8efb2738001d431dad1e32e864eb3773ba75567,conv-41,5,loss,1,1,1,0,1,,k,,
14d6db8eb4426e84c82cbb5d3f7657258779ab1c3459fbf2df77cf66b0dbdc07,conv-41,5,loss,1,1,1,0,1,,k,,
ee01995c1b6cbdbba001d03c049c1248cd1a924f616dfc95322b3715197916db,conv-42,3,gain,1,227,227,1,0,k,,reserved,
ea53edf2240b88e8643025451bf8b0a91e4673ebee8a947749c64e3bef02e8a1,conv-42,3,loss,1,43,43,0,1,,k,,
279cb8014f0fd09e2f49013cf5e31b786a46f9bf7f163fd93b229bae8e3fa55f,conv-42,2,loss,1,2,2,0,1,,k,,
52cc5d919bdffd019b5d2a6e48ea04b3f08657cc2efb2390e547e7588a55e591,conv-42,2,loss,1,42,42,0,1,,k,,
af2d0a34fee6fd029bdd1c4d786dae84fc1380c357d4c88920be408d147cbcca,conv-42,2,loss,1,23,23,0,1,,k,,
c67cf4f99d135e595767179cca1cce876cad4e3bba1d5d594e32e3d2dab8fe8b,conv-42,1,loss,2,2,49,1,2,k,k,contested,
b0e0b32158697ba79d23a6cd8cd336e3eec9bc2e3c8247c9074b3184c5829c28,conv-42,1,loss,2,2,6,1,2,k,k,reserved,
2715207fe1f1624f541d0f192be48380020e8221d1cf9482fdc3a024ff5752f2,conv-42,1,loss,2,4,28,1,2,k,k,contested,
e2df68b5446ea69031bb053a1f2c174b1e9e10e5f1084423004c9bea4e428d98,conv-42,1,loss,2,13,15,0,2,,k,,
1784f1ad203a31c7d8b86711f6c6c426d045716ecff16643f845906eb6a2b6cc,conv-42,1,gain,2,11,118,2,1,k|recency,k,contested|reserved,
