arm,question,turn,item,available
B0,Q1,112,847,True
B0,Q1,112,s460ml,True
B0,Q2,113,anara bekova,True
B0,Q2,113,92.4,True
B0,Q4,115,annunciation of forli,True
B0,Q4,115,melozzo da forli,True
B0,Q4,115,giuliano della rovere,False
B0,Q4,115,1483,True
B0,Q5,116,lead white,False
B0,Q5,116,ultramarine glaze,False
B0,Q6,117,giuliano della rovere,False
B0,Q6,117,pope julius ii,False
B0,Q7,118,vampyroteuthis infernalis,True
B0,Q7,118,kenji watanabe,True
B0,Q7,118,600,True
B0,Q7,118,900,True
B0,Q7,118,marine snow,True
B0,Q8,119,photophores,False
B0,Q8,119,mantle margin,False
B0,Q10,118,vampyroteuthis infernalis,True
B0,Q10,118,kenji watanabe,True
