arm,oracle_set,episode_id,source_turn,delivered
B0,exact_optimum_14_of_17,1dec9c9e-b948-4ef8-9eaa-aa889c083470,90,False
B0,exact_optimum_14_of_17,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,False
B0,exact_optimum_14_of_17,dd904725-094b-4f94-a8fc-ca18668ad246,113,False
B0,exact_optimum_14_of_17,7307e832-370a-43ea-b25b-449f929de49e,115,False
B0,exact_optimum_14_of_17,77a1d148-12da-4a70-874d-42e816497c9a,118,False
B0,greedy_15_of_17,1dec9c9e-b948-4ef8-9eaa-aa889c083470,90,False
B0,greedy_15_of_17,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,False
B0,greedy_15_of_17,dd904725-094b-4f94-a8fc-ca18668ad246,113,False
B0,greedy_15_of_17,4c611a05-6ad0-434a-a188-1cdb941acf58,116,False
B0,greedy_15_of_17,77a1d148-12da-4a70-874d-42e816497c9a,118,False
B1,exact_optimum_14_of_17,1dec9c9e-b948-4ef8-9eaa-aa889c083470,90,False
B1,exact_optimum_14_of_17,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,True
B1,exact_optimum_14_of_17,dd904725-094b-4f94-a8fc-ca18668ad246,113,False
B1,exact_optimum_14_of_17,7307e832-370a-43ea-b25b-449f929de49e,115,False
B1,exact_optimum_14_of_17,77a1d148-12da-4a70-874d-42e816497c9a,118,False
B1,greedy_15_of_17,1dec9c9e-b948-4ef8-9eaa-aa889c083470,90,False
B1,greedy_15_of_17,5c4446e4-fc4b-40f8-8b27-04cb33c7be57,112,True
B1,greedy_15_of_17,dd904725-094b-4f94-a8fc-ca18668ad246,113,False
B1,greedy_15_of_17,4c611a05-6ad0-434a-a188-1cdb941acf58,116,False
B1,greedy_15_of_17,77a1d148-12da-4a70-874d-42e816497c9a,118,False
