arm,probe_turn,recency_candidates,k_candidates,coverage_candidates,recency_episodes,k_episodes,coverage_episodes,recency_chars,k_chars,coverage_chars,element_chars_total,overhead_chars,serialized_chars,dropped_recency,dropped_k,dropped_coverage
B0,112,32,5,0,9,0,0,31482,0,0,31482,61,31543,23,1,0
B0,113,32,6,0,10,0,0,31412,0,0,31412,62,31474,22,3,0
B0,115,32,1,0,9,0,0,31681,0,0,31681,61,31742,23,0,0
B0,116,32,4,0,8,0,0,30340,0,0,30340,60,30400,24,1,0
B0,117,32,3,0,8,0,0,31754,0,0,31754,60,31814,24,2,0
B0,118,32,0,0,10,0,0,31793,0,0,31793,62,31855,22,0,0
B0,119,32,0,0,9,0,0,31730,0,0,31730,61,31791,23,0,0
B0,120,32,3,0,8,0,0,31886,0,0,31886,60,31946,24,2,0
B1,112,32,5,0,10,1,0,29529,1664,0,31193,79,31272,22,0,0
B1,113,32,6,0,8,3,0,25371,5677,0,31048,79,31127,24,0,0
B1,115,32,1,0,9,0,0,31681,0,0,31681,61,31742,23,0,0
B1,116,32,4,0,8,1,0,28432,3438,0,31870,77,31947,24,0,0
B1,117,32,3,0,7,2,0,27857,2887,0,30744,77,30821,25,0,0
B1,118,32,0,0,10,0,0,31793,0,0,31793,62,31855,22,0,0
B1,119,32,0,0,9,0,0,31730,0,0,31730,61,31791,23,0,0
B1,120,32,3,0,10,2,0,30653,1130,0,31783,80,31863,22,0,0
