domain,item,b0,b1
civil,Halcyon Crossing,True,True
civil,847,True,True
civil,Dr. Anara Bekova,False,True
civil,S460ML,True,True
civil,92.4,True,True
art,The Annunciation of Forli,False,False
art,Melozzo da Forli,False,False
art,Cardinal Giuliano della Rovere,False,False
art,1483,False,False
monetary,Taylor Rule,False,False
monetary,Federal Reserve,True,True
monetary,Dr. Priya Mehta,False,False
monetary,2.3%,False,False
marine,Vampyroteuthis infernalis,True,True
marine,Dr. Kenji Watanabe,False,False
marine,600,False,False
marine,marine snow,False,False
