question,turn,item,b0,b1,committed_t6
Q1,112,847,True,True,True
Q1,112,s460ml,True,True,True
Q2,113,anara bekova,True,True,True
Q2,113,92.4,True,True,True
Q4,115,annunciation of forli,True,True,False
Q4,115,melozzo da forli,True,True,False
Q4,115,giuliano della rovere,False,False,False
Q4,115,1483,True,True,False
Q5,116,lead white,False,True,True
Q5,116,ultramarine glaze,False,True,True
Q6,117,giuliano della rovere,False,True,True
Q6,117,pope julius ii,False,True,False
Q7,118,vampyroteuthis infernalis,True,True,True
Q7,118,kenji watanabe,True,True,True
Q7,118,600,True,True,True
Q7,118,900,True,True,True
Q7,118,marine snow,True,True,True
Q8,119,photophores,False,False,True
Q8,119,mantle margin,False,False,True
Q10,118,vampyroteuthis infernalis,True,True,True
Q10,118,kenji watanabe,True,True,True
