0.00.082.894 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.129.268 W srv  llama_server: -----------------
0.00.129.273 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.129.273 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.129.274 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.129.274 W srv  llama_server: -----------------
0.00.132.546 I srv    load_model: loading model 'C:\Users\muzaf\.cache\huggingface\hub\models--unsloth--Qwen3.8-27B-GGUF\snapshots\f1bfb127c64f7072bdd2cad55f258b9c8b2910fe\Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.795.955 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.795.966 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.795.980 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.795.985 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.795.990 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.796.009 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.796.014 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.796.019 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.796.023 W model has unused tensor blk.64.ffn_gate.weight (size = 47349760 bytes) -- ignoring
0.00.796.028 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.796.032 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.796.039 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.796.044 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.796.049 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.796.064 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.261.405 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.06.265.591 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.265.607 I srv  llama_server: model loaded
0.06.265.609 I srv  llama_server: listening on http://127.0.0.1:8097
0.20.321.521 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.20.321.542 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.20.871.515 I slot print_timing: id  0 | task 0 | prompt eval time =     107.53 ms /    67 tokens (    1.60 ms per token,   623.06 tokens per second)
0.20.871.523 I slot print_timing: id  0 | task 0 |        eval time =     442.42 ms /    28 tokens (   15.80 ms per token,    63.29 tokens per second)
0.20.871.523 I slot print_timing: id  0 | task 0 |       total time =     549.95 ms /    95 tokens
0.20.871.524 I slot print_timing: id  0 | task 0 |    graphs reused =         27
0.20.871.557 I slot      release: id  0 | task 0 | stop processing: n_tokens = 94, truncated = 0
0.20.885.066 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.20.885.186 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.21.416.151 I slot print_timing: id  0 | task 30 | prompt eval time =      84.65 ms /    67 tokens (    1.26 ms per token,   791.53 tokens per second)
0.21.416.158 I slot print_timing: id  0 | task 30 |        eval time =     446.30 ms /    28 tokens (   15.94 ms per token,    62.74 tokens per second)
0.21.416.158 I slot print_timing: id  0 | task 30 |       total time =     530.95 ms /    95 tokens
0.21.416.159 I slot print_timing: id  0 | task 30 |    graphs reused =         53
0.21.416.181 I slot      release: id  0 | task 30 | stop processing: n_tokens = 94, truncated = 0
0.30.134.545 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.30.172.404 I slot launch_slot_: id  0 | task 60 | processing task, is_child = 0
0.33.334.437 I slot print_timing: id  0 | task 60 | prompt processing, n_tokens =  10240, progress = 0.85, t =   3.16 s / 3238.44 tokens per second
0.33.784.874 I slot print_timing: id  0 | task 60 | prompt processing, n_tokens =  11511, progress = 0.96, t =   3.61 s / 3186.48 tokens per second
0.33.941.864 I slot print_timing: id  0 | task 60 | prompt processing, n_tokens =  12023, progress = 1.00, t =   3.77 s / 3189.60 tokens per second
0.37.049.726 I slot print_timing: id  0 | task 60 | n_decoded =    180, tg =  59.90 t/s, tg_3s =  59.90 t/s
0.40.057.591 I slot print_timing: id  0 | task 60 | n_decoded =    360, tg =  59.87 t/s, tg_3s =  59.84 t/s
0.43.057.728 I slot print_timing: id  0 | task 60 | n_decoded =    540, tg =  59.91 t/s, tg_3s =  60.00 t/s
0.46.064.290 I slot print_timing: id  0 | task 60 | n_decoded =    721, tg =  59.99 t/s, tg_3s =  60.20 t/s
0.46.378.402 I slot print_timing: id  0 | task 60 | prompt eval time =    3872.45 ms / 12027 tokens (    0.32 ms per token,  3105.79 tokens per second)
0.46.378.406 I slot print_timing: id  0 | task 60 |        eval time =   12333.53 ms /   740 tokens (   16.67 ms per token,    60.00 tokens per second)
0.46.378.407 I slot print_timing: id  0 | task 60 |       total time =   16205.98 ms / 12767 tokens
0.46.378.407 I slot print_timing: id  0 | task 60 |    graphs reused =        788
0.46.378.553 I slot      release: id  0 | task 60 | stop processing: n_tokens = 12766, truncated = 0
0.46.396.216 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.46.504.866 I slot launch_slot_: id  0 | task 808 | processing task, is_child = 0
0.49.694.308 I slot print_timing: id  0 | task 808 | prompt processing, n_tokens =  10240, progress = 0.85, t =   3.19 s / 3210.62 tokens per second
0.50.150.046 I slot print_timing: id  0 | task 808 | prompt processing, n_tokens =  11513, progress = 0.96, t =   3.65 s / 3158.44 tokens per second
0.50.310.344 I slot print_timing: id  0 | task 808 | prompt processing, n_tokens =  12025, progress = 1.00, t =   3.81 s / 3159.94 tokens per second
0.53.422.252 I slot print_timing: id  0 | task 808 | n_decoded =    181, tg =  60.10 t/s, tg_3s =  60.10 t/s
0.56.435.343 I slot print_timing: id  0 | task 808 | n_decoded =    362, tg =  60.09 t/s, tg_3s =  60.07 t/s
0.56.685.567 I slot print_timing: id  0 | task 808 | prompt eval time =    3905.82 ms / 12029 tokens (    0.32 ms per token,  3079.76 tokens per second)
0.56.685.571 I slot print_timing: id  0 | task 808 |        eval time =    6274.86 ms /   377 tokens (   16.64 ms per token,    60.08 tokens per second)
0.56.685.572 I slot print_timing: id  0 | task 808 |       total time =   10180.68 ms / 12406 tokens
0.56.685.572 I slot print_timing: id  0 | task 808 |    graphs reused =       1161
