0.00.084.672 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.134.732 W srv  llama_server: -----------------
0.00.134.737 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.134.737 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.134.738 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.134.738 W srv  llama_server: -----------------
0.00.142.362 I srv    load_model: loading model 'C:\Users\muzaf\.cache\huggingface\hub\models--unsloth--Qwen3.8-27B-GGUF\snapshots\f1bfb127c64f7072bdd2cad55f258b9c8b2910fe\Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.848.505 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.848.517 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.848.531 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.848.536 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.848.541 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.848.558 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.848.563 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.848.567 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.848.572 W model has unused tensor blk.64.ffn_gate.weight (size = 47349760 bytes) -- ignoring
0.00.848.577 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.848.582 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.848.588 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.848.594 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.848.599 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.848.614 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.335.429 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.06.339.651 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.339.666 I srv  llama_server: model loaded
0.06.339.668 I srv  llama_server: listening on http://127.0.0.1:8097
0.20.914.694 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.20.914.717 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.21.074.425 I slot print_timing: id  0 | task 0 | prompt eval time =     111.94 ms /    27 tokens (    4.15 ms per token,   241.19 tokens per second)
0.21.074.431 I slot print_timing: id  0 | task 0 |        eval time =      47.74 ms /     3 tokens (   15.91 ms per token,    62.84 tokens per second)
0.21.074.432 I slot print_timing: id  0 | task 0 |       total time =     159.69 ms /    30 tokens
0.21.074.432 I slot print_timing: id  0 | task 0 |    graphs reused =          2
0.21.074.456 I slot      release: id  0 | task 0 | stop processing: n_tokens = 29, truncated = 0
0.21.095.005 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.21.095.162 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.21.217.457 I slot print_timing: id  0 | task 5 | prompt eval time =      77.66 ms /    27 tokens (    2.88 ms per token,   347.68 tokens per second)
0.21.217.462 I slot print_timing: id  0 | task 5 |        eval time =      44.62 ms /     3 tokens (   14.87 ms per token,    67.24 tokens per second)
0.21.217.464 I slot print_timing: id  0 | task 5 |       total time =     122.28 ms /    30 tokens
0.21.217.464 I slot print_timing: id  0 | task 5 |    graphs reused =          3
0.21.217.483 I slot      release: id  0 | task 5 | stop processing: n_tokens = 29, truncated = 0
1.28.160.252 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.28.197.618 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
1.31.340.105 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =  10240, progress = 0.56, t =   3.14 s / 3258.59 tokens per second
1.32.019.436 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.82 s / 3215.24 tokens per second
1.32.694.188 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =  14336, progress = 0.79, t =   4.50 s / 3188.22 tokens per second
1.33.398.180 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =  16384, progress = 0.90, t =   5.20 s / 3150.44 tokens per second
1.33.889.996 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =  17646, progress = 0.97, t =   5.69 s / 3099.95 tokens per second
1.34.048.729 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =  18158, progress = 1.00, t =   5.85 s / 3103.35 tokens per second
1.34.256.257 I slot print_timing: id  0 | task 10 | prompt eval time =    5958.38 ms / 18162 tokens (    0.33 ms per token,  3048.14 tokens per second)
1.34.256.262 I slot print_timing: id  0 | task 10 |        eval time =     100.24 ms /     6 tokens (   16.71 ms per token,    59.86 tokens per second)
1.34.256.263 I slot print_timing: id  0 | task 10 |       total time =    6058.62 ms / 18168 tokens
1.34.256.263 I slot print_timing: id  0 | task 10 |    graphs reused =          7
1.34.256.476 I slot      release: id  0 | task 10 | stop processing: n_tokens = 18167, truncated = 0
1.34.292.345 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.34.422.624 I slot launch_slot_: id  0 | task 27 | processing task, is_child = 0
1.37.567.047 I slot print_timing: id  0 | task 27 | prompt processing, n_tokens =  10240, progress = 0.57, t =   3.14 s / 3256.58 tokens per second
1.38.227.412 I slot print_timing: id  0 | task 27 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.80 s / 3229.64 tokens per second
1.38.925.844 I slot print_timing: id  0 | task 27 | prompt processing, n_tokens =  14336, progress = 0.80, t =   4.50 s / 3183.52 tokens per second
1.39.622.808 I slot print_timing: id  0 | task 27 | prompt processing, n_tokens =  16384, progress = 0.91, t =   5.20 s / 3150.67 tokens per second
1.40.081.219 I slot print_timing: id  0 | task 27 | prompt processing, n_tokens =  17477, progress = 0.97, t =   5.66 s / 3088.59 tokens per second
1.40.223.576 I slot print_timing: id  0 | task 27 | prompt processing, n_tokens =  17989, progress = 1.00, t =   5.80 s / 3101.05 tokens per second
1.40.374.582 I slot print_timing: id  0 | task 27 | prompt eval time =    5906.33 ms / 17993 tokens (    0.33 ms per token,  3046.39 tokens per second)
1.40.374.587 I slot print_timing: id  0 | task 27 |        eval time =      45.61 ms /     3 tokens (   15.20 ms per token,    65.78 tokens per second)
1.40.374.588 I slot print_timing: id  0 | task 27 |       total time =    5951.94 ms / 17996 tokens
1.40.374.588 I slot print_timing: id  0 | task 27 |    graphs reused =          8
1.40.374.758 I slot      release: id  0 | task 27 | stop processing: n_tokens = 17995, truncated = 0
1.40.407.674 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.40.536.074 I slot launch_slot_: id  0 | task 41 | processing task, is_child = 0
1.43.689.146 I slot print_timing: id  0 | task 41 | prompt processing, n_tokens =  10240, progress = 0.57, t =   3.15 s / 3247.65 tokens per second
1.44.363.986 I slot print_timing: id  0 | task 41 | prompt processing, n_tokens =  12288, progress = 0.69, t =   3.83 s / 3210.13 tokens per second
1.45.052.721 I slot print_timing: id  0 | task 41 | prompt processing, n_tokens =  14336, progress = 0.80, t =   4.52 s / 3174.05 tokens per second
1.45.751.586 I slot print_timing: id  0 | task 41 | prompt processing, n_tokens =  16384, progress = 0.92, t =   5.22 s / 3141.41 tokens per second
1.46.101.350 I slot print_timing: id  0 | task 41 | prompt processing, n_tokens =  17358, progress = 0.97, t =   5.57 s / 3119.00 tokens per second
1.46.293.335 I slot print_timing: id  0 | task 41 | prompt processing, n_tokens =  17870, progress = 1.00, t =   5.76 s / 3103.92 tokens per second
1.46.430.639 I slot print_timing: id  0 | task 41 | prompt eval time =    5868.44 ms / 17874 tokens (    0.33 ms per token,  3045.78 tokens per second)
1.46.430.645 I slot print_timing: id  0 | task 41 |        eval time =      26.10 ms /     2 tokens (   13.05 ms per token,    76.63 tokens per second)
1.46.430.645 I slot print_timing: id  0 | task 41 |       total time =    5894.54 ms / 17876 tokens
1.46.430.646 I slot print_timing: id  0 | task 41 |    graphs reused =          8
1.46.430.835 I slot      release: id  0 | task 41 | stop processing: n_tokens = 17875, truncated = 0
1.46.477.544 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.46.613.224 I slot launch_slot_: id  0 | task 54 | processing task, is_child = 0
1.49.801.239 I slot print_timing: id  0 | task 54 | prompt processing, n_tokens =  10240, progress = 0.57, t =   3.19 s / 3212.06 tokens per second
1.50.471.893 I slot print_timing: id  0 | task 54 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.86 s / 3184.54 tokens per second
1.51.167.977 I slot print_timing: id  0 | task 54 | prompt processing, n_tokens =  14336, progress = 0.80, t =   4.55 s / 3147.50 tokens per second
1.51.873.644 I slot print_timing: id  0 | task 54 | prompt processing, n_tokens =  16384, progress = 0.91, t =   5.26 s / 3114.59 tokens per second
1.52.341.622 I slot print_timing: id  0 | task 54 | prompt processing, n_tokens =  17494, progress = 0.97, t =   5.73 s / 3053.92 tokens per second
1.52.470.607 I slot print_timing: id  0 | task 54 | prompt processing, n_tokens =  18006, progress = 1.00, t =   5.86 s / 3074.08 tokens per second
1.52.600.292 I slot print_timing: id  0 | task 54 | prompt eval time =    5961.50 ms / 18010 tokens (    0.33 ms per token,  3021.05 tokens per second)
1.52.600.299 I slot print_timing: id  0 | task 54 |        eval time =      25.54 ms /     2 tokens (   12.77 ms per token,    78.31 tokens per second)
1.52.600.300 I slot print_timing: id  0 | task 54 |       total time =    5987.04 ms / 18012 tokens
1.52.600.300 I slot print_timing: id  0 | task 54 |    graphs reused =          8
1.52.600.478 I slot      release: id  0 | task 54 | stop processing: n_tokens = 18011, truncated = 0
1.52.636.154 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.52.765.897 I slot launch_slot_: id  0 | task 67 | processing task, is_child = 0
1.56.282.733 I slot print_timing: id  0 | task 67 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.52 s / 3494.07 tokens per second
1.56.878.075 I slot print_timing: id  0 | task 67 | prompt processing, n_tokens =  14336, progress = 0.79, t =   4.11 s / 3486.25 tokens per second
1.57.463.263 I slot print_timing: id  0 | task 67 | prompt processing, n_tokens =  16384, progress = 0.90, t =   4.70 s / 3487.93 tokens per second
1.57.877.159 I slot print_timing: id  0 | task 67 | prompt processing, n_tokens =  17648, progress = 0.97, t =   5.11 s / 3452.78 tokens per second
1.58.019.804 I slot print_timing: id  0 | task 67 | prompt processing, n_tokens =  18160, progress = 1.00, t =   5.25 s / 3456.49 tokens per second
1.58.186.327 I slot print_timing: id  0 | task 67 | prompt eval time =    5339.99 ms / 18164 tokens (    0.29 ms per token,  3401.50 tokens per second)
1.58.186.332 I slot print_timing: id  0 | task 67 |        eval time =      80.41 ms /     6 tokens (   13.40 ms per token,    74.61 tokens per second)
1.58.186.332 I slot print_timing: id  0 | task 67 |       total time =    5420.41 ms / 18170 tokens
1.58.186.333 I slot print_timing: id  0 | task 67 |    graphs reused =         12
1.58.186.510 I slot      release: id  0 | task 67 | stop processing: n_tokens = 18169, truncated = 0
1.58.218.732 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
1.58.347.732 I slot launch_slot_: id  0 | task 84 | processing task, is_child = 0
2.01.628.379 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  12288, progress = 0.68, t =   3.28 s / 3745.63 tokens per second
2.02.219.676 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  14336, progress = 0.79, t =   3.87 s / 3702.55 tokens per second
2.02.815.144 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  16384, progress = 0.90, t =   4.47 s / 3667.47 tokens per second
2.03.235.708 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  17642, progress = 0.97, t =   4.89 s / 3609.28 tokens per second
2.03.361.509 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  18154, progress = 1.00, t =   5.01 s / 3620.84 tokens per second
2.03.540.848 I slot print_timing: id  0 | task 84 | prompt eval time =    5111.49 ms / 18158 tokens (    0.28 ms per token,  3552.39 tokens per second)
2.03.540.853 I slot print_timing: id  0 | task 84 |        eval time =      81.60 ms /     6 tokens (   13.60 ms per token,    73.53 tokens per second)
