turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,1,1,True,topic_1,False,---
2,1,1,False,---,False,---
3,2,2,True,topic_2,False,---
4,2,2,False,---,False,---
5,2,2,False,---,False,---
6,2,2,False,---,False,---
7,2,2,False,---,False,---
8,2,2,False,---,False,---
9,2,2,False,---,False,---
10,2,2,False,---,False,---
11,2,2,False,---,False,---
12,2,2,False,---,False,---
13,2,2,False,---,False,---
14,2,2,False,---,False,---
15,2,2,False,---,False,---
16,2,2,False,---,False,---
17,2,2,False,---,False,---
18,2,2,False,---,False,---
19,2,2,False,---,False,---
20,1,1,False,---,False,---
21,1,1,False,---,False,---
22,1,1,False,---,False,---
23,1,1,False,---,False,---
24,1,1,False,---,False,---
25,1,1,False,---,False,---
26,1,1,False,---,False,---
27,1,1,False,---,False,---
28,1,1,False,---,False,---
29,1,1,False,---,False,---
30,1,1,False,---,False,---
31,2,2,True,topic_2,False,---
32,2,2,False,---,False,---
33,2,2,False,---,False,---
34,2,2,False,---,False,---
35,2,2,False,---,False,---
36,2,2,False,---,False,---
37,2,2,False,---,False,---
38,2,2,False,---,False,---
39,2,2,False,---,False,---
40,2,2,False,---,False,---
41,2,2,False,---,False,---
42,2,2,False,---,False,---
43,2,2,False,---,False,---
44,2,2,False,---,False,---
45,2,2,False,---,False,---
46,2,2,False,---,False,---
47,2,2,False,---,False,---
48,2,2,False,---,False,---
49,2,2,False,---,False,---
50,2,2,False,---,False,---
51,2,2,False,---,False,---
52,2,2,False,---,False,---
53,2,2,False,---,False,---
54,2,2,False,---,False,---
55,2,2,False,---,False,---
56,2,2,False,---,False,---
57,2,2,False,---,False,---
58,2,2,False,---,False,---
59,2,2,False,---,False,---
60,2,2,False,---,False,---
61,3,3,True,topic_3,False,---
62,3,3,False,---,False,---
63,3,3,False,---,False,---
64,3,3,False,---,False,---
65,3,3,False,---,False,---
66,3,3,False,---,False,---
67,3,3,False,---,False,---
68,3,3,False,---,False,---
69,3,3,False,---,False,---
70,3,3,False,---,False,---
71,3,3,False,---,False,---
72,3,3,False,---,False,---
73,3,3,False,---,False,---
74,3,3,False,---,False,---
75,3,3,False,---,False,---
76,3,3,False,---,False,---
77,3,3,False,---,False,---
78,3,3,False,---,False,---
79,3,3,False,---,False,---
80,3,3,False,---,False,---
81,3,3,False,---,False,---
82,3,3,False,---,False,---
83,3,3,False,---,False,---
84,3,3,False,---,False,---
85,3,3,False,---,False,---
86,3,3,False,---,False,---
87,3,3,False,---,False,---
88,3,3,False,---,False,---
89,3,3,False,---,False,---
90,3,3,False,---,False,---
91,4,4,True,topic_4,False,---
92,4,4,False,---,False,---
93,4,4,False,---,False,---
94,4,4,False,---,False,---
95,4,4,False,---,False,---
96,4,4,False,---,False,---
97,4,4,False,---,False,---
98,4,4,False,---,False,---
99,4,4,False,---,False,---
100,4,4,False,---,False,---
101,4,4,False,---,False,---
102,4,4,False,---,False,---
103,4,4,False,---,False,---
104,4,4,False,---,False,---
105,4,4,False,---,False,---
106,4,4,False,---,False,---
107,4,4,False,---,False,---
108,4,4,False,---,False,---
109,4,4,False,---,False,---
110,4,4,False,---,False,---
111,4,4,False,---,False,---
112,4,4,False,---,False,---
113,4,4,False,---,False,---
114,5,5,True,topic_5,False,---
115,5,5,False,---,False,---
116,5,5,False,---,False,---
117,5,5,False,---,False,---
118,5,5,False,---,False,---
119,5,5,False,---,False,---
120,1,1,False,---,False,---
