turn,episode_id,topic,trigger_type,triggered_filter
31,400586bb-c860-45fb-8c2e-714f95735817,topic_2,weighted_threshold,
31,dfeb49bd-d041-4f70-acde-805fba19f8be,topic_2,weighted_threshold,
31,3da52f9d-6815-45da-9a2c-b3faa6c1cc4f,topic_2,weighted_threshold,
31,4eb4c372-6ff2-40f2-a17f-438be251ef0f,topic_2,weighted_threshold,
31,0ca9adae-a31e-4f46-b987-c2f6352d6262,topic_2,weighted_threshold,
31,cff452a6-ef93-4321-bc21-de54d5ce938c,topic_2,weighted_threshold,
31,9f6c37b8-d57e-4f0c-b34f-e0db5068d1db,topic_2,weighted_threshold,
31,55f16724-99d7-48bc-acc3-7bba4963ebda,topic_2,weighted_threshold,
31,8ce307a0-0d0b-445c-ab4e-7332aad2093f,topic_2,weighted_threshold,
31,1002a273-f7d6-46f6-acd4-8d8b05c3a4e6,topic_2,weighted_threshold,
31,055ee5fd-5eeb-43bc-92af-55fb6ff40109,topic_2,weighted_threshold,
31,2b8258cc-8577-44d8-b95e-a63887702c01,topic_2,weighted_threshold,
61,0f2b2ee7-057a-4b8e-a0f0-c10f460357e1,topic_2,all_or_nothing,novelty
61,473d7e78-9e57-4f86-83a4-5ceeac4fb5fc,topic_2,all_or_nothing,novelty
61,c67983d4-1f00-41c7-886e-cbeb3dbc0491,topic_2,all_or_nothing,novelty
61,2b6f5370-b2aa-4166-a592-5d963b377586,topic_2,all_or_nothing,novelty
61,9e216a16-d602-458d-afc4-e492bc5079db,topic_2,all_or_nothing,novelty
61,dad19ad3-d764-4100-b294-a86be1108051,topic_2,all_or_nothing,repetition
61,f9007c19-b4a0-4b8d-9263-1c964da1bd84,topic_2,all_or_nothing,novelty
91,0f5a3d65-acd3-4182-a5be-c0d69f9a1c30,topic_3,all_or_nothing,repetition
91,8f01cf7a-1537-4f09-9543-15ab605a36d6,topic_3,all_or_nothing,novelty
