turn,episode_id,episode_turn,topic,novelty,repetition,association,emotional,weighted_score,promoted,trigger_type,triggered_filter
31,7b384036-820d-4238-ace0-3859f58b3ff1,1,topic_2,1.0,1.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,39cc017b-63a0-4c97-bafc-d76ea4fe57c5,2,topic_2,1.0,1.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,f407648d-5114-4600-9b49-5b4a719cbd1e,3,topic_2,1.0,1.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,6bd548b2-14a3-453c-beb7-3674d023365c,4,topic_2,1.0,1.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,a391a6fc-85f2-47c6-a844-43c63e396117,5,topic_2,1.0,1.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,b2d2c92c-860e-47fa-95f0-c4782b8642d8,6,topic_2,1.0,1.0,0.0,0.05,0.6574999999999999,True,weighted_threshold,
31,701e9066-e1b4-4046-a83c-4c3993582a3b,7,topic_2,1.0,1.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,1ff17537-d225-4560-b05e-52e31d65f2a1,8,topic_2,1.0,1.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,5027165e-4ffd-4943-9add-5f1bcc5c1208,9,topic_2,1.0,1.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,6d276835-605f-4a45-887a-fc9ef9fbadfa,10,topic_2,1.0,0.2,0.0,0.0,0.41,False,,
31,eb61adfc-ff06-4a36-a443-662c30c436d5,11,topic_2,1.0,0.2,0.0,0.1,0.425,False,,
31,8f1a6387-f90d-4574-8c00-b95320e4abb5,12,topic_2,1.0,0.2,0.0,0.0,0.41,False,,
31,e798baea-ed19-4faa-8745-085d430c52bc,13,topic_2,1.0,1.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,b017da9b-bf60-4757-81d8-2e1ab182a1e3,14,topic_2,1.0,1.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,0006f51a-6a26-4396-b6fc-6b7a65ef4ab7,15,topic_2,1.0,0.2,0.0,0.0,0.41,False,,
31,1dafd2e0-e9c3-44c9-9206-1cd31f5311c7,16,topic_2,1.0,0.2,0.0,0.1,0.425,False,,
31,faec0cf3-3035-4f51-b886-6b92e51581a5,17,topic_2,1.0,0.2,0.0,0.0,0.41,False,,
31,ebbeace4-fb48-4ae5-a5c3-eec7d67527dd,18,topic_2,1.0,1.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,c2b11769-3b42-4b90-b6af-2823d336c9f6,19,topic_2,1.0,0.2,0.0,0.1,0.425,False,,
31,832b6b06-14d1-494a-9863-7e6d4796b44a,20,topic_2,1.0,0.6,0.0,0.1,0.545,False,,
31,b51d0d4d-3368-4136-8d24-3e58b4976850,21,topic_2,1.0,0.2,0.0,0.0,0.41,False,,
31,9eb544af-eca7-437a-b0b2-f7f51fec9d74,22,topic_2,1.0,0.2,0.0,0.05,0.4175,False,,
31,ea8455ae-e452-4761-8688-069fdc5836ad,23,topic_2,1.0,0.6,0.0,0.1,0.545,False,,
31,e18aba5a-19b9-4ae7-9787-9696e091d968,24,topic_2,1.0,0.2,0.0,0.1,0.425,False,,
31,6a88c7c8-79ee-463f-95c2-6f579b0c9bb5,25,topic_2,1.0,0.4,0.0,0.1,0.485,False,,
31,344037d0-cec0-45fe-936f-94ceba6d5d64,26,topic_2,1.0,0.2,0.0,0.1,0.425,False,,
31,121d6acc-0248-4bd9-a53e-bbdb2299df4c,27,topic_2,1.0,0.2,0.0,0.1,0.425,False,,
31,2d0accdf-d69d-4fe4-9b58-a81125532241,28,topic_2,1.0,0.2,0.0,0.1,0.425,False,,
31,a9bc9184-b10d-4bda-b856-0988e354b414,29,topic_2,1.0,0.2,0.0,0.2,0.43999999999999995,False,,
31,1b65a204-c9f9-4f5a-bb3d-795b5e8e93e6,30,topic_2,1.0,0.2,0.0,0.0,0.41,False,,
61,0a3f4086-f27f-41eb-b00b-bfefe9cbca3e,31,topic_2,0.9314373135566711,0.2,0.06856268644332886,0.0,0.3997155970335007,True,all_or_nothing,novelty
