turn,episode_id,topic,trigger_type,triggered_filter
31,7b384036-820d-4238-ace0-3859f58b3ff1,topic_2,weighted_threshold,
31,39cc017b-63a0-4c97-bafc-d76ea4fe57c5,topic_2,weighted_threshold,
31,f407648d-5114-4600-9b49-5b4a719cbd1e,topic_2,weighted_threshold,
31,6bd548b2-14a3-453c-beb7-3674d023365c,topic_2,weighted_threshold,
31,a391a6fc-85f2-47c6-a844-43c63e396117,topic_2,weighted_threshold,
31,b2d2c92c-860e-47fa-95f0-c4782b8642d8,topic_2,weighted_threshold,
31,701e9066-e1b4-4046-a83c-4c3993582a3b,topic_2,weighted_threshold,
31,1ff17537-d225-4560-b05e-52e31d65f2a1,topic_2,weighted_threshold,
31,5027165e-4ffd-4943-9add-5f1bcc5c1208,topic_2,weighted_threshold,
31,e798baea-ed19-4faa-8745-085d430c52bc,topic_2,weighted_threshold,
31,b017da9b-bf60-4757-81d8-2e1ab182a1e3,topic_2,weighted_threshold,
31,ebbeace4-fb48-4ae5-a5c3-eec7d67527dd,topic_2,weighted_threshold,
61,0a3f4086-f27f-41eb-b00b-bfefe9cbca3e,topic_2,all_or_nothing,novelty
61,51da45fc-88b4-4ac9-a784-e1f032c7e147,topic_2,all_or_nothing,novelty
61,450c5e11-6127-4290-9c91-84a9896db10b,topic_2,all_or_nothing,novelty
61,009f3a14-4d75-4b60-8a01-577e876c60bb,topic_2,all_or_nothing,repetition
61,6d13805a-06bf-498c-b886-0b4b6e673de5,topic_2,all_or_nothing,novelty
91,51b9509c-a60f-438c-835d-3b85e30b7ec6,topic_3,all_or_nothing,novelty
