turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,40.348271485067244,0.024784209166682558,120,7
2,36.85460232404055,0.02713365324654967,77,458
3,37.11904734458706,0.026940346575080584,73,576
4,42.505979498901624,0.023526101781182113,393,700
5,42.19463797729373,0.02369969379849003,387,1243
6,42.8348404734713,0.023345482064286553,591,1780
7,42.2511415123851,0.023667999590185496,488,2596
8,42.92554334231317,0.023296152410359032,809,3271
9,42.039229180865576,0.02378730579710906,621,4383
10,42.04282255583178,0.023785272710271196,535,5248
11,42.504092055567455,0.023527146484923295,697,5934
12,41.95951065697257,0.023832499100745023,556,6172
13,42.678763371647044,0.02343085696490293,883,6062
14,41.34417099489677,0.024187206465536168,464,6463
15,42.7027807365338,0.023417678726117785,785,5917
16,42.01790430196537,0.02379937830343493,613,6313
17,42.72154459799646,0.023407393375165973,1434,6746
18,38.276116519692565,0.02612595244571149,368,8146
19,42.590210987732824,0.023479573752006724,621,5778
20,41.208256319861604,0.024266981651393457,654,7283
21,41.4191746469175,0.024143407214765013,596,6621
22,41.080958011640064,0.024342178186707707,1114,9251
23,41.04441575467999,0.024363850273248864,732,8004
24,42.23257470266195,0.023678404810516307,686,6250
25,39.691735159141984,0.02519416185738797,603,8861
26,41.840903026951686,0.023900057782114625,514,6101
27,41.98201214894088,0.023819725373149553,536,6020
28,41.83582767359417,0.023902957240431927,732,6915
29,40.31821516617742,0.024802685234908188,745,8723
30,41.963759970544814,0.023830085785971507,598,6256
31,42.494333630410274,0.02353254927344875,757,6080
32,39.37969860006493,0.025393795167298495,807,6280
33,37.22276114902279,0.02686528266929099,502,6239
34,36.91656565978806,0.0270881102325633,430,5935
35,38.12150803865759,0.02623191084114347,535,5862
36,38.817343360243406,0.02576168056426542,638,5964
37,39.54035888565309,0.025290615163405663,765,6139
38,39.128556010895785,0.025556782614761932,719,6173
39,38.93946686680644,0.025680885755845824,688,6167
40,39.05655328525391,0.025603897832366006,692,6159
41,41.003048042217635,0.024388430805689813,1266,6087
42,38.15850304189921,0.026206478773603076,636,6892
43,38.903455572136096,0.02570465747305574,649,6097
44,39.77271835168948,0.02514286278241079,841,6103
45,38.38977552226975,0.0260486024311318,617,6344
46,38.50666883933393,0.025969527620590134,601,6100
47,38.96447224094695,0.0256644050974498,667,6104
48,38.0831879585468,0.026258305924611428,557,6138
49,39.304378305727525,0.0254424581460503,712,6005
50,38.98415253968193,0.02565144898256031,688,6160
51,38.76038872808729,0.025799534855422152,657,6152
52,38.232074047392146,0.02615604894362803,568,6130
53,38.67921137766397,0.025853681199339774,617,6000
54,37.933471117739806,0.02636194291042204,536,6107
55,32.44870567302276,0.030817870212659398,235,6032
56,38.8839498224632,0.025717551960791323,612,5586
57,41.8288413941141,0.023906949527430946,529,6431
58,42.10817120657578,0.023748359792073705,577,6314
59,41.32686826260112,0.024197333164607423,395,6325
60,42.57825154154511,0.023486168731570965,678,6083
61,42.89430625061835,0.023313117460329234,945,6106
62,38.45991042840173,0.02600110059698745,670,6422
63,39.02274123980092,0.025626082848840416,688,6185
64,40.22790393035569,0.02485836701139696,967,6202
65,39.335965510470345,0.025422027577633063,805,6524
66,37.639077361897684,0.026568132645363604,533,6329
67,39.87889809013713,0.025075918540671028,836,6010
68,40.24710279671748,0.024846508953721737,994,6369
