turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,40.37222214335869,0.02476950603434896,116,187
2,37.44648126864987,0.026704778823563282,85,506
3,36.97710314283126,0.02704376262622048,99,676
4,43.048692170476265,0.02322950941319936,818,890
5,42.30559931729194,0.023637533001246505,803,1811
6,41.90580050763846,0.023863044921853316,1024,2846
7,41.01949173449084,0.02437865409139528,941,4224
8,40.48498545522075,0.024700515234371778,1024,5421
9,39.77649633323694,0.025140474707029625,1024,6765
10,38.991070858226195,0.0256468975585733,1024,8110
11,38.23583273156427,0.02615347773436838,1024,9400
12,36.88194329304328,0.027113538786569885,923,10720
13,38.223909900777244,0.026161635546856132,1024,9369
