turn,event_type,topic_label,centroid_drift
1,new_node,topic_1,0.0
2,centroid_update,topic_1,35.35945129394531
3,new_node,topic_2,0.0
4,centroid_update,topic_2,40.16730499267578
5,centroid_update,topic_2,19.057024002075195
6,centroid_update,topic_2,20.468883514404297
7,centroid_update,topic_2,13.919727325439453
8,centroid_update,topic_2,10.837515830993652
9,centroid_update,topic_2,10.41592025756836
10,centroid_update,topic_2,10.738450050354004
11,centroid_update,topic_2,6.350769996643066
12,centroid_update,topic_2,7.085564613342285
13,centroid_update,topic_2,5.932746410369873
