turn,episode_id,episode_turn,topic,novelty,repetition,association,global_association,emotional,weighted_score,promoted,trigger_type,triggered_filter
31,fec25c5d-4040-4223-b616-68d514c7dead,1,topic_2,1.0,1.0,0.0,0.0,0.05,0.6574999999999999,True,weighted_threshold,
31,7a0eef5e-3935-446e-97d6-a03272332a26,2,topic_2,1.0,1.0,0.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,09b7227e-2f2b-4051-b384-d280f8346642,3,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,3cdf64a9-7781-4e6d-b090-5225c36c7460,4,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,dd856e5e-2766-452f-a930-6fe04e2301d6,5,topic_2,1.0,1.0,0.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,b390f491-c377-4608-8e93-f25081699184,6,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,6303c4c4-78ae-4045-b196-1d4b988eea8c,7,topic_2,1.0,1.0,0.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,af43c28b-7b78-4974-9692-2df7f9841c39,8,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,0ece088e-ba78-4c86-97f2-8390983611a7,9,topic_2,1.0,1.0,0.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,a00d1415-0de5-4b55-b603-2bff423b3056,10,topic_2,1.0,0.2,0.0,0.0,0.05,0.4175,False,,
31,d171e17e-5661-46a2-bc9d-9cee30e201eb,11,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,f09b60fc-c9cc-438e-b307-3fbf818d698c,12,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,9913c0d5-9ce3-457f-8424-002e3f658ce7,13,topic_2,1.0,0.2,0.0,0.0,0.05,0.4175,False,,
31,5250d5f5-6eb5-46c0-93bd-d22561497cb9,14,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,d158ae3d-6b7c-4eae-ad96-4a11a541a064,15,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,028a9ac4-3129-4e01-beb2-18dcddc0c0ea,16,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,d610f165-1096-4ec2-904d-e5eb1ded7440,17,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,971a3562-7eb2-4487-8d3c-341d9e34f9cd,18,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,734817be-67a2-4bcf-b981-8e9a567c32ec,19,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,454fd2f2-5f1d-4e59-85ce-46f236f49f40,20,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,8164063c-0255-48e4-a66a-5cae3c51face,21,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,2ff41aed-bfdd-49ee-8bb4-fe19bad87482,22,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,ceb08c79-cc50-49d6-94bb-b2bd158f6214,23,topic_2,1.0,0.2,0.0,0.0,0.05,0.4175,False,,
31,247dcda4-0acd-49be-a697-f2ac0f90d9d4,24,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
