turn,episode_id,topic,trigger_type,triggered_filter
31,fec25c5d-4040-4223-b616-68d514c7dead,topic_2,weighted_threshold,
31,7a0eef5e-3935-446e-97d6-a03272332a26,topic_2,weighted_threshold,
31,09b7227e-2f2b-4051-b384-d280f8346642,topic_2,weighted_threshold,
31,3cdf64a9-7781-4e6d-b090-5225c36c7460,topic_2,weighted_threshold,
31,dd856e5e-2766-452f-a930-6fe04e2301d6,topic_2,weighted_threshold,
31,b390f491-c377-4608-8e93-f25081699184,topic_2,weighted_threshold,
31,6303c4c4-78ae-4045-b196-1d4b988eea8c,topic_2,weighted_threshold,
31,af43c28b-7b78-4974-9692-2df7f9841c39,topic_2,weighted_threshold,
31,0ece088e-ba78-4c86-97f2-8390983611a7,topic_2,weighted_threshold,
61,b1d09da0-61de-47f5-b4fd-e0978bc3a72e,topic_3,all_or_nothing,repetition
91,bf147734-c346-4b47-8d9e-89879fa5d5dd,topic_4,all_or_nothing,repetition
111,aa6cdbd0-3fe0-44f4-a182-3c88e556567a,topic_5,all_or_nothing,novelty
