turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,0,0,0,0,0,[]
16,0,0,0,0,0,[]
17,1,0,0,1,0,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""stm""}]"
18,0,0,0,0,0,[]
19,0,0,0,0,0,[]
20,1,0,0,1,0,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""stm""}]"
21,0,0,0,0,0,[]
22,1,0,0,1,0,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""stm""}]"
23,0,0,0,0,0,[]
24,0,0,0,0,0,[]
25,1,0,0,1,0,"[{""episode_id"":""dd4438ee-10dc-4c2f-893c-be7d8bb4d08a"",""provenance"":""stm""}]"
26,0,0,0,0,0,[]
27,0,0,0,0,0,[]
28,0,0,0,0,0,[]
29,1,0,0,1,0,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""stm""}]"
30,0,0,0,0,0,[]
31,0,0,0,0,0,[]
32,0,5,0,5,5,"[{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""}]"
33,0,5,0,5,5,"[{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""}]"
34,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""}]"
35,0,5,0,5,5,"[{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""}]"
36,0,5,0,5,5,"[{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""}]"
37,0,5,0,5,5,"[{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""}]"
38,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""}]"
39,0,5,0,5,5,"[{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""}]"
40,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""}]"
41,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""}]"
42,0,5,0,5,5,"[{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""}]"
43,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""}]"
44,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""}]"
45,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""}]"
46,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""}]"
47,0,5,0,5,5,"[{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""275c039d-3e29-420a-a26e-a5c589ee2cc5"",""provenance"":""ltm""}]"
48,0,5,0,5,5,"[{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""}]"
49,0,5,0,5,5,"[{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""275c039d-3e29-420a-a26e-a5c589ee2cc5"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""}]"
50,0,5,0,5,5,"[{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""}]"
51,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""d66fd3d1-9fce-4e23-ade2-0da92bbdbde1"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""}]"
52,0,5,0,5,5,"[{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""}]"
53,1,5,0,6,5,"[{""episode_id"":""dabec690-7a93-4ff2-b8f9-313e1d058c36"",""provenance"":""stm""},{""episode_id"":""dd62d298-c08f-4b2e-9972-d8ce02c89905"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""}]"
54,0,5,0,5,5,"[{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""275c039d-3e29-420a-a26e-a5c589ee2cc5"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""}]"
55,0,5,0,5,5,"[{""episode_id"":""fc3980d5-ea50-488f-aad1-df173c0ab57e"",""provenance"":""ltm""},{""episode_id"":""ba92086c-db9a-49fd-936e-e659226d4689"",""provenance"":""ltm""},{""episode_id"":""a1db6ac8-f72a-4aa8-926b-439b7198da17"",""provenance"":""ltm""},{""episode_id"":""dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c"",""provenance"":""ltm""},{""episode_id"":""517353ea-e1d8-4979-9dfa-1da589ed8d66"",""provenance"":""ltm""}]"
