turn,episode_id,episode_turn,topic,novelty,repetition,association,global_association,emotional,weighted_score,promoted,trigger_type,triggered_filter
31,517353ea-e1d8-4979-9dfa-1da589ed8d66,1,topic_2,1.0,1.0,0.0,0.0,0.05,0.6574999999999999,True,weighted_threshold,
31,dd62d298-c08f-4b2e-9972-d8ce02c89905,2,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,fc3980d5-ea50-488f-aad1-df173c0ab57e,3,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,dfde0dad-c6b3-4d7c-8beb-2876ab07bd2c,4,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,275c039d-3e29-420a-a26e-a5c589ee2cc5,5,topic_2,1.0,1.0,0.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,ff76fcb6-01c8-4c66-8969-7650f758f5a6,6,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,fa6d4036-0b06-45cd-8e52-575fc33a556d,7,topic_2,1.0,1.0,0.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,a1db6ac8-f72a-4aa8-926b-439b7198da17,8,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,d66fd3d1-9fce-4e23-ade2-0da92bbdbde1,9,topic_2,1.0,1.0,0.0,0.0,0.1,0.6649999999999999,True,weighted_threshold,
31,bfdbb008-1e59-4293-ad0b-cea84dec31ad,10,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,d7c84335-64fa-4abe-8838-29ffcfcf936a,11,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,4a1d8ada-ddcc-41ab-bf29-dfa05a716a50,12,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,b7e4bac5-82c2-4566-b36d-1dd245ec3912,13,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,ba92086c-db9a-49fd-936e-e659226d4689,14,topic_2,1.0,1.0,0.0,0.0,0.0,0.6499999999999999,True,weighted_threshold,
31,d2333dbd-c988-4ede-840d-b89eb65db0fc,15,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,7998d994-ed4a-4f1d-be44-6540612cba43,16,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,5540ca3c-18f8-48aa-8106-977a9fd470e9,17,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,ef030777-afe5-410a-b3d7-ba348bde5956,18,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,fb826a65-0889-41b1-a463-25524f43d7d8,19,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,500f770e-ecd0-41bd-9c91-1ebf311a70d3,20,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,dd4438ee-10dc-4c2f-893c-be7d8bb4d08a,21,topic_2,1.0,0.4,0.0,0.0,0.0,0.47,False,,
31,dac408a7-4d72-4a3b-b1dc-26b9d4c726f0,22,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,12fb5b3e-80e9-4c6a-a06f-bdb4512a671e,23,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,3efb00de-efe7-47bf-98c3-c5c0da8b23aa,24,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,6892f57b-280e-4610-bb96-0ad712e57092,25,topic_2,1.0,0.2,0.0,0.0,0.0,0.41,False,,
31,7c1eca0d-ff8c-4c34-87e0-f2425a4b3562,26,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,3a524020-8eae-4b18-840d-e86530c637fa,27,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,8b9db235-e6af-472a-9afa-218bd5812007,28,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,74461eaf-62a9-4be4-89c1-8c818a24362c,29,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
31,ec394163-a7ee-4429-bcea-530be7a20559,30,topic_2,1.0,0.2,0.0,0.0,0.1,0.425,False,,
61,f93a991b-2263-476d-8031-161527d6e566,31,topic_3,0.7772918343544006,0.2,0.22270816564559937,0.22270816564559937,0.1,0.3915937751531601,False,,
61,e712d08e-942a-4de4-b1ba-4fa58bc168ac,32,topic_3,0.695838987827301,0.2,0.304161012172699,0.304161012172699,0.1,0.37937584817409514,False,,
61,47b78256-b223-43e1-b22c-14213caf6f57,33,topic_3,0.7857078611850739,0.2,0.21429213881492615,0.21429213881492615,0.1,0.39285617917776106,False,,
61,54f6150a-328f-4e40-9fa7-1acc52c97b8d,34,topic_3,0.6892544329166412,0.2,0.31074556708335876,0.31074556708335876,0.1,0.37838816493749616,False,,
61,8bae951b-4914-40e6-8bda-a194d2fc340a,35,topic_3,0.751592680811882,0.2,0.24840731918811798,0.24840731918811798,0.1,0.3877389021217823,False,,
61,da00dd6a-5a80-4f9c-9899-03820af48045,36,topic_3,0.6514022946357727,0.2,0.3485977053642273,0.3485977053642273,0.1,0.3727103441953659,False,,
61,ad553ea6-4d81-40e7-b8e7-807dbc35caf4,37,topic_3,0.6716143786907196,0.2,0.3283856213092804,0.3283856213092804,0.1,0.37574215680360795,False,,
61,94fdf515-9a7f-4dc4-b6cc-d0d77431feab,38,topic_3,0.8000546395778656,0.2,0.1999453604221344,0.1999453604221344,0.1,0.3950081959366798,False,,
61,491d171a-1d49-4daa-bda2-c3a76f6b6bb0,39,topic_3,0.7089360654354095,0.2,0.29106393456459045,0.29106393456459045,0.0,0.3663404098153114,False,,
61,f1087cbc-8814-4a3b-8801-84d2d6946435,40,topic_3,0.8773524910211563,0.2,0.12264750897884369,0.12264750897884369,0.0,0.3916028736531734,False,,
61,fef0f4e3-2e6c-43d8-bf99-a06bb2c1fd47,41,topic_3,0.7242156267166138,0.2,0.27578437328338623,0.27578437328338623,0.1,0.3836323440074921,False,,
61,1e8f26a3-5ef9-4ded-980d-fc8d07df6f0b,42,topic_3,0.5882560610771179,0.2,0.4117439389228821,0.4117439389228821,0.1,0.3632384091615677,False,,
61,7974ddf2-55c9-46a8-ae99-fd515d0ba25c,43,topic_3,0.7224561870098114,0.2,0.2775438129901886,0.2775438129901886,0.1,0.3833684280514717,False,,
61,3f799a2d-647d-47c6-8338-d5084c20d9c3,44,topic_3,0.7452753782272339,0.2,0.2547246217727661,0.2547246217727661,0.0,0.37179130673408506,False,,
