turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,187,0,0,0,0
2,504,147,0,211,1
3,626,147,0,289,2
4,796,147,0,418,3
5,1503,147,0,1125,4
6,2102,147,0,1692,5
7,2986,147,0,2552,6
8,3886,147,0,3423,7
9,4833,147,0,4343,8
10,5982,147,0,5459,9
11,6770,147,0,6220,10
12,6952,147,0,6406,10
13,6824,147,0,6274,10
14,6957,147,0,6401,10
15,7038,147,0,6485,10
16,7060,147,0,6509,10
17,8322,147,1026,6710,11
18,6955,147,0,6398,10
19,7131,147,0,6584,10
20,8230,147,1026,6612,11
21,7147,147,0,6598,10
22,8274,147,1026,6658,11
23,7124,147,0,6577,10
24,6922,147,0,6378,10
25,8086,147,1199,6300,11
26,7139,147,0,6588,10
27,6866,147,0,6315,10
28,6763,147,0,6217,10
29,8228,147,1026,6617,11
30,6900,147,0,6349,10
31,6868,147,0,6293,10
32,8338,147,0,4704,11
33,8625,147,0,4994,11
34,8123,147,0,3593,11
35,7940,147,0,4115,11
36,8084,147,0,3996,11
37,7192,147,0,4492,10
38,8085,147,0,4463,11
39,7944,147,0,4892,11
40,8112,147,0,5068,11
41,8149,147,0,3488,11
42,8329,147,0,5496,11
43,8076,147,0,4043,11
44,8249,147,0,4211,11
45,8292,147,0,4667,11
46,8091,147,0,4412,11
47,8044,147,0,5349,11
48,8113,147,0,4092,11
49,8275,147,0,4789,11
50,7136,147,0,3446,10
51,8006,147,0,3963,11
52,8122,147,0,5073,11
53,9286,147,952,5251,12
54,8078,147,0,3955,11
55,8026,147,0,4330,11
56,7554,147,0,4495,11
57,8381,147,374,4919,12
58,8289,147,374,3795,12
59,8219,147,374,4411,12
60,8297,147,374,4841,12
61,8118,147,0,5278,11
62,8826,147,0,5005,12
63,8140,147,0,4514,11
64,8430,147,0,5602,11
65,8488,147,0,5369,12
66,8175,147,0,5334,11
67,8334,147,0,4461,11
68,8480,147,0,4849,11
69,8707,147,0,6178,12
70,8261,147,0,5570,11
71,8415,147,0,5579,11
72,8719,147,0,5887,11
73,8792,147,0,5164,11
74,8086,147,0,5255,11
75,8200,147,0,5511,11
76,8101,147,0,4278,11
77,8628,147,0,5526,12
78,8145,147,0,5452,11
79,9351,147,1037,4446,12
80,8281,147,0,5446,11
81,7886,147,0,3226,11
82,9308,147,1112,4538,12
83,8575,147,0,5466,12
84,9771,147,1096,5943,12
85,8343,147,0,5515,11
86,8667,147,0,5558,12
87,8605,147,0,4982,11
88,8053,147,0,5356,11
89,8213,147,0,4585,11
90,8583,147,0,5469,12
91,7785,147,0,4724,11
92,8132,147,0,5079,11
93,7877,147,0,4098,11
94,7860,147,0,4232,11
95,7964,147,0,2656,11
96,8035,147,0,4788,11
97,8169,147,0,4627,11
98,8234,147,0,4600,11
99,8040,147,0,4547,11
100,8728,147,0,6182,12
101,6889,147,0,4486,11
102,8441,147,365,4242,12
103,8241,147,365,4849,12
104,8305,147,365,4128,12
105,8636,147,365,5179,12
106,9337,147,1103,4534,13
107,8420,147,365,5027,12
108,8451,147,365,4998,12
109,8380,147,365,4928,12
110,9304,147,1103,5081,13
111,9361,147,1325,4914,13
112,8248,147,0,4533,11
113,7207,147,0,3501,11
114,7215,147,0,4184,11
115,7756,147,0,3837,12
116,7421,147,798,4215,12
117,10006,147,1038,4599,15
118,8271,147,0,4741,13
119,7089,147,0,5249,12
120,7644,147,134,4639,12
121,7676,147,0,4587,11
