turn,topic,episode_id,episode_turn,salience,named_entities,numeric_tokens,selected
31,topic_2,342d58c8-ae2e-4a2d-a791-f321467b6246,1,0,0,0,False
31,topic_2,890efdd9-8504-4a3c-bf9a-d231155bf7fa,2,2,0,1,False
31,topic_2,669e4c83-58d4-4428-ad12-47bdfa4d8305,3,13,9,2,False
31,topic_2,117074b1-91e9-4b7a-8265-ce6804b4d5ea,4,67,15,26,True
31,topic_2,5d8e7ce3-9a8a-43a7-b671-f04624e1bbe0,5,22,8,7,False
31,topic_2,882a7b71-29aa-4fbe-acfd-7e55e8dffc06,6,27,7,10,False
31,topic_2,41ccbd24-a30f-479f-a837-0ef8cf9aa739,7,31,11,10,False
31,topic_2,643156b8-7478-42a6-a323-107ed4ad7999,8,53,17,18,False
31,topic_2,1712e239-a358-4bef-9de6-66e9d317fd12,9,44,18,13,False
31,topic_2,5fabf2a3-ff82-4fff-a83c-0cf142cffbcc,10,51,9,21,False
31,topic_2,f70e3b67-7421-4ffc-91b7-d1010154d75d,11,21,15,3,False
31,topic_2,51b65997-c466-4f66-b94f-db778121cd54,12,28,16,6,False
31,topic_2,bd99d97d-da8d-4ac3-8adf-119fba06a959,13,39,9,15,False
31,topic_2,f4e1d2d4-dd47-42a0-805c-bf672c8b743a,14,32,10,11,False
31,topic_2,32fd403f-b418-4d31-97a0-c985f24e92a8,15,29,13,8,False
31,topic_2,9a40c1fa-0e97-412f-9142-a2d1663b1a6f,16,32,8,12,False
31,topic_2,846a9c8f-b011-4e30-a6c8-1a0d6822dec1,17,86,18,34,True
31,topic_2,40bd2941-b41a-4cb5-b66d-ab5f08f0599b,18,34,10,12,False
31,topic_2,a4d3a92f-61b5-4105-8ed3-469b646f72ac,19,32,20,6,False
31,topic_2,a0cb417b-d06a-48f0-b990-047ade4c6b56,20,93,35,29,True
31,topic_2,613e22c7-d187-4ff9-9fcc-af16e18af2bc,21,57,15,21,False
31,topic_2,30eeaa3a-aee4-4fcf-b94c-59b03cced245,22,32,10,11,False
31,topic_2,f4688145-e240-4728-ab17-643417f3b233,23,37,11,13,False
31,topic_2,73de350b-48eb-436d-a05d-058bbf461cce,24,46,26,10,False
31,topic_2,6da4b02c-c15e-4e16-9413-26f919d5d63b,25,23,13,5,False
31,topic_2,5f577fc7-5b0d-4cb8-8e2e-646dcc43a950,26,17,13,2,False
31,topic_2,e5e53a71-c644-44fd-88b5-a22e3a0316af,27,14,8,3,False
31,topic_2,7c56c487-fed5-44a5-aef8-dcaffc115cd2,28,40,16,12,False
31,topic_2,65d702aa-7979-4e7b-9c42-904bea0142ee,29,49,13,18,False
31,topic_2,77d58d33-032c-49da-824d-92a16852983f,30,31,17,7,False
61,topic_3,5f8f7556-7815-4af3-aa05-46aa32d98e54,31,57,29,14,True
61,topic_3,cb9a742f-9109-4d05-a4b2-3d1c61fbd8ce,32,47,17,15,False
61,topic_3,27f123d3-4762-4130-b4e2-035cb8bb45f0,33,15,11,2,False
61,topic_3,abe80170-d2cc-48ea-97a3-43487f99ec80,34,14,12,1,False
61,topic_3,d86c65c4-2e6d-4ba3-b600-2287270c29ee,35,16,14,1,False
61,topic_3,69d2ae07-b674-4a9f-ace4-2c2b59b8ca35,36,26,18,4,False
61,topic_3,6bc6590c-f5e4-43d2-bf38-b3905830fa53,37,18,10,4,False
61,topic_3,80ce4a0e-142d-4dd3-a2e3-26ce7084f608,38,50,44,3,False
61,topic_3,8f15b608-7389-4507-a02d-2c489840268e,39,26,16,5,False
61,topic_3,2a912d15-c413-4332-8266-e5e523f0afda,40,55,23,16,True
61,topic_3,f2ccd12b-b2d5-4cdb-86aa-6c4ff9523a30,41,69,45,12,True
61,topic_3,14206bba-5e62-466a-8bef-1060203dfe56,42,19,11,4,False
61,topic_3,df9b73ad-9172-46aa-8668-3aa5c2f6d8ac,43,34,18,8,False
61,topic_3,ee20134f-646b-4f17-b725-f909e0d2f1fa,44,32,30,1,False
61,topic_3,8a7a7ed6-665f-4d5f-8228-a35677e8913c,45,16,10,3,False
61,topic_3,bd3be554-1cc6-4738-bbb6-67d012f745c5,46,25,21,2,False
61,topic_3,ab0f5f90-253f-4eb3-8319-51fed4693696,47,14,10,2,False
61,topic_3,90851b31-f838-4134-8688-2a5251bf9470,48,27,21,3,False
61,topic_3,27804604-6dd3-49e9-8e59-7425612af414,49,20,8,6,False
61,topic_3,cf03f836-3dab-4ef7-a9eb-9b73f23529b6,50,47,17,15,False
61,topic_3,d701030c-3960-44b1-8527-92d4c44d8fe2,51,28,14,7,False
61,topic_3,ad423265-e848-4bc1-bc77-d6e9406b8575,52,26,12,7,False
61,topic_3,af74d251-e07b-48a7-9e6f-f575150c44bf,53,27,17,5,False
61,topic_3,21b75d8a-639f-48df-a8b3-7013525f90d0,54,19,11,4,False
61,topic_3,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,55,22,16,3,False
61,topic_3,779b9fe3-f428-471a-90cb-15f877692a79,56,14,10,2,False
61,topic_3,76469105-40dd-460f-a34b-54568832956a,57,17,15,1,False
61,topic_3,b9e19e92-bd03-4380-889a-dda6e13e11b8,58,24,16,4,False
61,topic_3,cc7d5f2f-256a-4190-8c6e-e36752866d03,59,35,15,10,False
61,topic_3,1cf4e4cc-c4c2-494c-bf08-3ec9ed3a9a07,60,21,17,2,False
91,topic_4,855b3772-1e26-4be3-9e21-febd4e174214,61,87,33,27,True
91,topic_4,10b9fc1f-c78c-4ea7-8c70-086048a1da48,62,59,19,20,False
91,topic_4,fd412016-92fb-47c3-b6a8-224ecdbf5cbf,63,14,10,2,False
91,topic_4,72a38665-32f0-4244-8501-4074228ef444,64,66,34,16,False
91,topic_4,467b94c4-2534-4dfa-9a74-c18b8f36e651,65,55,25,15,False
91,topic_4,357b2bf2-0799-4eaa-8412-39e8183edf94,66,30,12,9,False
91,topic_4,89845ad5-e9e3-409d-a514-1638b61c7567,67,19,11,4,False
91,topic_4,f3b690f6-8ac4-4337-933c-f546ec5106c8,68,46,20,13,False
91,topic_4,4261c6d3-a8e7-4a04-a3d2-abaa0fb99e16,69,67,21,23,True
91,topic_4,9abce524-213e-40c4-9441-cbb1e8d37e67,70,10,8,1,False
91,topic_4,9ba6cadc-80eb-432d-8e52-41b79fe1e2d9,71,21,17,2,False
91,topic_4,1f62532a-ef7a-4c2f-9d98-db3e86db735b,72,30,14,8,False
91,topic_4,71504322-908c-46e7-8d5a-ab7aa9e5356c,73,21,15,3,False
91,topic_4,8fdc38df-1d06-4327-8592-854d44144f95,74,10,8,1,False
91,topic_4,2fb49ac4-c2df-4be1-bc0f-0e6e99e0e039,75,32,18,7,False
91,topic_4,0cc195e4-b423-44b7-9db7-a563b0f2217a,76,14,10,2,False
91,topic_4,55117cce-69f2-4f0c-a277-261d82117a2f,77,50,22,14,False
91,topic_4,fd29f73c-b7f1-4dde-ac9b-da957c012713,78,39,13,13,False
91,topic_4,e06d5871-5b05-452f-a401-6d0e270fd0b8,79,18,16,1,False
91,topic_4,08c4902a-e087-4873-ad93-0fc12dba18a0,80,31,19,6,False
91,topic_4,ed0fd718-e05f-4a2a-932a-73b284c84c28,81,28,16,6,False
91,topic_4,a8a8ccf3-7d09-4048-8819-3a5583f3cad1,82,14,12,1,False
91,topic_4,34aa5ce4-f657-437f-a86a-37862b08897e,83,16,14,1,False
91,topic_4,c693dc9c-e103-41e8-8272-3001ed8fb018,84,69,27,21,True
91,topic_4,1cb5b307-3272-45f6-97fb-b0da1eff3106,85,15,13,1,False
91,topic_4,bf933615-736e-4381-a658-eeb0ac572dbe,86,41,23,9,False
91,topic_4,d3bdd4b6-a56f-4a0a-9fda-6d02f297b629,87,16,8,4,False
91,topic_4,4a1ecfdf-5c3d-4874-859c-0615da50d451,88,27,13,7,False
91,topic_4,cf8dcd53-a74c-403e-ad97-f733f5b7eaf0,89,11,9,1,False
91,topic_4,9da83840-5ff4-4322-bacd-3b62c31fec25,90,30,16,7,False
111,topic_5,6d714453-f87a-4b61-9002-0a2045e54ca8,91,26,10,8,False
111,topic_5,7e553517-378b-403f-890e-b8352b118fdc,92,45,9,18,True
111,topic_5,90f07d8a-b1fb-45ad-9a85-072339c01859,93,12,10,1,False
111,topic_5,603734dd-4dae-4174-9445-e8c3f7a2fcb3,94,16,4,6,False
111,topic_5,fac0fbff-cf44-498a-abf2-6afa9ff9310c,95,31,13,9,False
111,topic_5,c69198f0-5d7e-4dfc-9f15-b21ea26fc902,96,23,13,5,False
111,topic_5,17f57302-dc2b-4c95-9bb5-981afb99cc11,97,24,16,4,False
111,topic_5,c865f777-2769-4414-824b-a75787b11151,98,33,27,3,False
111,topic_5,0067f106-0c49-484d-be91-009f516dd858,99,17,15,1,False
111,topic_5,9a5cdfb5-543a-4d4d-b70f-cc598abed963,100,26,12,7,False
111,topic_5,db66ff54-fb87-4127-a53c-63a17ac09543,101,18,8,5,False
111,topic_5,de9f7f92-a36f-4484-8c9a-17ea6a4415ee,102,17,7,5,False
111,topic_5,d01a7129-63e1-4a96-a7f7-81f25f02e79f,103,13,7,3,False
111,topic_5,fd03c18a-ff3c-4cae-b22b-0ccfa7b57854,104,31,11,10,False
111,topic_5,f96a1d89-90ba-441d-907a-43c07427f6bc,105,34,12,11,True
111,topic_5,a7702d76-5014-4b67-a568-aeb6860f679e,106,27,9,9,False
111,topic_5,13707a11-20ea-4beb-9411-f663e5ebc0bd,107,18,4,7,False
111,topic_5,94ffb595-e498-4456-a278-38c469925f62,108,39,15,12,True
111,topic_5,ffdefb1f-57ab-4e45-80c8-89183039d9f0,109,32,16,8,False
