turn,topic,episode_id,episode_turn,salience,named_entities,numeric_tokens,selected
31,topic_2,ca0687b6-e2ca-4dab-b3d0-48f5459d02b5,1,0,0,0,False
31,topic_2,1e73859b-1ae7-4f20-9c11-628fa7492167,2,2,0,1,False
31,topic_2,31656a37-d95d-495c-a25a-f13b67e474d1,3,13,9,2,False
31,topic_2,1c771301-8706-4491-9cff-60eff0202351,4,67,15,26,True
31,topic_2,4be426e3-0178-4760-aa56-589dc33641c9,5,22,8,7,False
31,topic_2,ac1bf08c-62df-4a5d-a2d1-176f6aa6ee9e,6,27,7,10,False
31,topic_2,b8ba61dd-aa29-4112-8a29-98ff6e5ad56a,7,31,11,10,False
31,topic_2,69a6c686-045d-4d1b-9f6b-6460c8b50a06,8,53,17,18,False
31,topic_2,0909f217-7893-47b9-8ca6-83de060c3bb3,9,44,18,13,False
31,topic_2,a9555e2a-7ec6-45e0-939e-e824641c1fcc,10,51,9,21,False
31,topic_2,83c533e4-df6c-463a-9e84-5ca3f0d262f9,11,21,15,3,False
31,topic_2,f5d082a0-13e2-426c-b655-c25646af0530,12,28,16,6,False
31,topic_2,8ae42c57-d14c-49a1-b94c-8406208983e5,13,39,9,15,False
31,topic_2,a2b20fa1-7bf7-4259-8324-73131887457a,14,32,10,11,False
31,topic_2,2628a9bf-f750-46e9-8439-dba8139293ea,15,29,13,8,False
31,topic_2,0dfb9194-c24c-41c8-9158-8a9ed4314340,16,32,8,12,False
31,topic_2,708123c2-8c10-464c-a429-638735720ecd,17,86,18,34,True
31,topic_2,48ae217a-124f-44c9-8685-4ff9537fe19c,18,34,10,12,False
31,topic_2,dcb6d94e-8b6f-45d5-a1bf-2ec18fd39d7b,19,32,20,6,False
31,topic_2,16d55686-51fd-4d9a-b6e1-017ea7ea92a6,20,93,35,29,True
31,topic_2,1a57cf20-4e53-4709-97c6-da74bcf3aac9,21,57,15,21,False
31,topic_2,6c5edb8a-e198-4fbd-9b12-8a6a6bbfd8c7,22,32,10,11,False
31,topic_2,db640aad-f093-4011-b671-e1b1292ed7bb,23,37,11,13,False
31,topic_2,92905bbe-2358-4c76-9f9b-c52f40cb65e6,24,46,26,10,False
31,topic_2,bd86d39a-c626-4275-8f7c-c92f28bff3c7,25,23,13,5,False
31,topic_2,e078e950-becc-4288-b9ba-17a4b9caabf7,26,17,13,2,False
31,topic_2,63cc182d-b2fe-4d31-9d7c-a3abf74e0ef6,27,14,8,3,False
31,topic_2,2393d16c-ffc9-4da5-8805-04b3c69686f1,28,40,16,12,False
31,topic_2,9ca5547a-999f-4962-8879-1578727d1c75,29,49,13,18,False
31,topic_2,f62efca0-2764-42b7-86de-fec8f2adb534,30,31,17,7,False
61,topic_3,670866ab-034f-484a-98b4-734a070489cb,31,57,29,14,True
61,topic_3,4adafa6b-dfa7-4940-a222-6ac15ceb3328,32,47,17,15,False
61,topic_3,ff31ef84-6a34-48a6-84e0-a6f479aee368,33,15,11,2,False
61,topic_3,dd2a0d7f-20bb-4f19-b636-668ae59db141,34,14,12,1,False
61,topic_3,cc615652-dc72-4bce-b787-b62dfeb83c71,35,16,14,1,False
61,topic_3,708310e9-d83f-4291-845d-36f8de08b4d3,36,26,18,4,False
61,topic_3,4cbe48dd-0b5b-438a-9650-4657248bb041,37,18,10,4,False
61,topic_3,973f2fc0-d969-4021-9900-23427f9254f9,38,50,44,3,False
61,topic_3,49ce3f2d-fade-4190-aef0-b4dc1b6298d7,39,26,16,5,False
61,topic_3,4e60fc1f-913c-49b3-b6a4-74fefb0830c7,40,55,23,16,True
61,topic_3,8a3a8ae4-676e-4f5d-8d05-032c733b6a51,41,69,45,12,True
