turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,0,0,0,0,0,[]
16,0,0,0,0,0,[]
17,1,0,0,1,0,"[{""episode_id"":""a2b20fa1-7bf7-4259-8324-73131887457a"",""provenance"":""stm""}]"
18,0,0,0,0,0,[]
19,0,0,0,0,0,[]
20,1,0,0,1,0,"[{""episode_id"":""a2b20fa1-7bf7-4259-8324-73131887457a"",""provenance"":""stm""}]"
21,0,0,0,0,0,[]
22,1,0,0,1,0,"[{""episode_id"":""a2b20fa1-7bf7-4259-8324-73131887457a"",""provenance"":""stm""}]"
23,0,0,0,0,0,[]
24,0,0,0,0,0,[]
25,1,0,0,1,0,"[{""episode_id"":""1a57cf20-4e53-4709-97c6-da74bcf3aac9"",""provenance"":""stm""}]"
26,0,0,0,0,0,[]
27,0,0,0,0,0,[]
28,0,0,0,0,0,[]
29,1,0,0,1,0,"[{""episode_id"":""a2b20fa1-7bf7-4259-8324-73131887457a"",""provenance"":""stm""}]"
30,0,0,0,0,0,[]
31,0,0,0,0,0,[]
32,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
33,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
34,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
35,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
36,0,3,0,3,3,"[{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
37,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
38,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
39,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
40,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
41,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
42,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
43,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
44,0,3,0,3,3,"[{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
45,1,3,0,4,3,"[{""episode_id"":""4adafa6b-dfa7-4940-a222-6ac15ceb3328"",""provenance"":""stm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
46,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
47,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
48,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
49,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
50,0,3,0,3,3,"[{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
51,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
52,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
53,0,3,0,3,3,"[{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
54,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
55,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
56,0,3,0,3,3,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
57,1,3,0,4,3,"[{""episode_id"":""7c8fdb71-c0f4-4bb0-88fe-3f0c0b959670"",""provenance"":""stm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
58,1,3,0,4,3,"[{""episode_id"":""7c8fdb71-c0f4-4bb0-88fe-3f0c0b959670"",""provenance"":""stm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
59,1,3,0,4,3,"[{""episode_id"":""7c8fdb71-c0f4-4bb0-88fe-3f0c0b959670"",""provenance"":""stm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
60,1,3,0,4,3,"[{""episode_id"":""7c8fdb71-c0f4-4bb0-88fe-3f0c0b959670"",""provenance"":""stm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
61,0,3,0,3,3,"[{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""}]"
62,0,5,0,5,5,"[{""episode_id"":""8a3a8ae4-676e-4f5d-8d05-032c733b6a51"",""provenance"":""ltm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""16d55686-51fd-4d9a-b6e1-017ea7ea92a6"",""provenance"":""ltm""},{""episode_id"":""670866ab-034f-484a-98b4-734a070489cb"",""provenance"":""ltm""}]"
63,0,5,0,5,5,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""8a3a8ae4-676e-4f5d-8d05-032c733b6a51"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""670866ab-034f-484a-98b4-734a070489cb"",""provenance"":""ltm""},{""episode_id"":""4e60fc1f-913c-49b3-b6a4-74fefb0830c7"",""provenance"":""ltm""}]"
64,0,5,0,5,5,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""4e60fc1f-913c-49b3-b6a4-74fefb0830c7"",""provenance"":""ltm""},{""episode_id"":""8a3a8ae4-676e-4f5d-8d05-032c733b6a51"",""provenance"":""ltm""},{""episode_id"":""670866ab-034f-484a-98b4-734a070489cb"",""provenance"":""ltm""}]"
65,1,5,0,6,5,"[{""episode_id"":""d29a2ec5-df1c-4ce8-a8e8-ccb3719aef80"",""provenance"":""stm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""8a3a8ae4-676e-4f5d-8d05-032c733b6a51"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""670866ab-034f-484a-98b4-734a070489cb"",""provenance"":""ltm""},{""episode_id"":""4e60fc1f-913c-49b3-b6a4-74fefb0830c7"",""provenance"":""ltm""}]"
66,0,5,0,5,5,"[{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""8a3a8ae4-676e-4f5d-8d05-032c733b6a51"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""},{""episode_id"":""4e60fc1f-913c-49b3-b6a4-74fefb0830c7"",""provenance"":""ltm""},{""episode_id"":""670866ab-034f-484a-98b4-734a070489cb"",""provenance"":""ltm""}]"
67,1,5,0,6,5,"[{""episode_id"":""d29a2ec5-df1c-4ce8-a8e8-ccb3719aef80"",""provenance"":""stm""},{""episode_id"":""1c771301-8706-4491-9cff-60eff0202351"",""provenance"":""ltm""},{""episode_id"":""8a3a8ae4-676e-4f5d-8d05-032c733b6a51"",""provenance"":""ltm""},{""episode_id"":""4e60fc1f-913c-49b3-b6a4-74fefb0830c7"",""provenance"":""ltm""},{""episode_id"":""670866ab-034f-484a-98b4-734a070489cb"",""provenance"":""ltm""},{""episode_id"":""708123c2-8c10-464c-a429-638735720ecd"",""provenance"":""ltm""}]"
