turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter,distilled_id,dream_event,event_type,source_episode_ids,source_turns,salience
32,1c771301-8706-4491-9cff-60eff0202351,4,topic_2,0.15888917446136475,ltm,,,,6f46fccc-2e5a-5140-9f93-5c9d061c4f0d,31,transition,"[""1c771301-8706-4491-9cff-60eff0202351""]",[4],67
32,708123c2-8c10-464c-a429-638735720ecd,17,topic_2,0.12248893082141876,ltm,,,,dd270365-0438-5f56-9af9-e63a5f6902c9,31,transition,"[""708123c2-8c10-464c-a429-638735720ecd""]",[17],86
32,16d55686-51fd-4d9a-b6e1-017ea7ea92a6,20,topic_2,-0.0347888320684433,ltm,,,,da300d1e-a6fa-5c5d-b1f0-c3b9a949ce32,31,transition,"[""16d55686-51fd-4d9a-b6e1-017ea7ea92a6""]",[20],93
33,1c771301-8706-4491-9cff-60eff0202351,4,topic_2,0.10117587447166443,ltm,,,,6f46fccc-2e5a-5140-9f93-5c9d061c4f0d,31,transition,"[""1c771301-8706-4491-9cff-60eff0202351""]",[4],67
33,708123c2-8c10-464c-a429-638735720ecd,17,topic_2,0.0937759280204773,ltm,,,,dd270365-0438-5f56-9af9-e63a5f6902c9,31,transition,"[""708123c2-8c10-464c-a429-638735720ecd""]",[17],86
33,16d55686-51fd-4d9a-b6e1-017ea7ea92a6,20,topic_2,-0.008816196583211422,ltm,,,,da300d1e-a6fa-5c5d-b1f0-c3b9a949ce32,31,transition,"[""16d55686-51fd-4d9a-b6e1-017ea7ea92a6""]",[20],93
34,1c771301-8706-4491-9cff-60eff0202351,4,topic_2,0.14306864142417908,ltm,,,,6f46fccc-2e5a-5140-9f93-5c9d061c4f0d,31,transition,"[""1c771301-8706-4491-9cff-60eff0202351""]",[4],67
34,708123c2-8c10-464c-a429-638735720ecd,17,topic_2,0.046927690505981445,ltm,,,,dd270365-0438-5f56-9af9-e63a5f6902c9,31,transition,"[""708123c2-8c10-464c-a429-638735720ecd""]",[17],86
34,16d55686-51fd-4d9a-b6e1-017ea7ea92a6,20,topic_2,0.003351994091644883,ltm,,,,da300d1e-a6fa-5c5d-b1f0-c3b9a949ce32,31,transition,"[""16d55686-51fd-4d9a-b6e1-017ea7ea92a6""]",[20],93
35,1c771301-8706-4491-9cff-60eff0202351,4,topic_2,0.1697324812412262,ltm,,,,6f46fccc-2e5a-5140-9f93-5c9d061c4f0d,31,transition,"[""1c771301-8706-4491-9cff-60eff0202351""]",[4],67
35,708123c2-8c10-464c-a429-638735720ecd,17,topic_2,0.0630933940410614,ltm,,,,dd270365-0438-5f56-9af9-e63a5f6902c9,31,transition,"[""708123c2-8c10-464c-a429-638735720ecd""]",[17],86
35,16d55686-51fd-4d9a-b6e1-017ea7ea92a6,20,topic_2,-0.04354404658079147,ltm,,,,da300d1e-a6fa-5c5d-b1f0-c3b9a949ce32,31,transition,"[""16d55686-51fd-4d9a-b6e1-017ea7ea92a6""]",[20],93
36,708123c2-8c10-464c-a429-638735720ecd,17,topic_2,0.1497385948896408,ltm,,,,dd270365-0438-5f56-9af9-e63a5f6902c9,31,transition,"[""708123c2-8c10-464c-a429-638735720ecd""]",[17],86
36,1c771301-8706-4491-9cff-60eff0202351,4,topic_2,0.11626935750246048,ltm,,,,6f46fccc-2e5a-5140-9f93-5c9d061c4f0d,31,transition,"[""1c771301-8706-4491-9cff-60eff0202351""]",[4],67
36,16d55686-51fd-4d9a-b6e1-017ea7ea92a6,20,topic_2,-0.06875424087047577,ltm,,,,da300d1e-a6fa-5c5d-b1f0-c3b9a949ce32,31,transition,"[""16d55686-51fd-4d9a-b6e1-017ea7ea92a6""]",[20],93
37,1c771301-8706-4491-9cff-60eff0202351,4,topic_2,0.14325125515460968,ltm,,,,6f46fccc-2e5a-5140-9f93-5c9d061c4f0d,31,transition,"[""1c771301-8706-4491-9cff-60eff0202351""]",[4],67
