turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,44.17655467536408,0.022636441600043328,125,187
2,36.20057081390951,0.027623873809629697,42,504
3,40.70932509614846,0.024564396428537465,84,626
4,47.69389386666117,0.02096704460314608,630,796
5,45.84310278027586,0.021813532229547367,453,1503
6,46.34718553365906,0.02157628318711527,684,2102
7,45.46194786984931,0.021996417814363102,668,2986
8,44.827807762912755,0.02230758205462206,769,3886
9,44.71031999302618,0.022366200916387486,873,4833
10,42.16196672460153,0.023718058660117,612,5982
11,42.1980332571329,0.02369778690647783,695,6770
12,41.2188265534849,0.02426075858084935,606,6952
13,42.22799103502346,0.023680974999985442,740,6824
14,42.51205150905388,0.02352274154040832,792,6957
15,42.79715862426923,0.0233660371890419,804,7038
16,43.61909983558852,0.0229257367476462,947,7060
17,41.94349458132381,0.023841599513390814,822,8322
18,43.072118333405896,0.02321687529411386,850,6955
19,43.32376443157872,0.023082020067284353,892,7131
20,42.947539414109066,0.023284221020389385,980,8230
21,43.519854135799,0.022978018190952756,995,7147
22,41.93580493097043,0.023845971280295614,867,8274
23,41.61129718335427,0.024031935260120398,692,7124
24,41.51202206717904,0.024089407121187612,660,6922
25,43.029583162888215,0.023239825406035336,862,8086
26,43.31443615824335,0.023086991051820164,637,7139
27,40.88698055845194,0.02445766320578264,549,6866
28,43.33695213460668,0.023074996065573585,915,6763
29,42.58451109152919,0.023482716470564758,680,8228
30,41.747972110482074,0.023953259270979542,631,6900
31,43.48226477141482,0.022997882130955574,901,6868
32,40.43904288577779,0.024728577350966313,755,9423
33,39.272626396221064,0.025463028367672988,631,9175
34,40.26224552025965,0.024837164124311147,708,9091
35,38.90016315982748,0.02570683305083687,590,9192
36,40.523529857330296,0.02467702106703595,731,9038
37,42.23183685665613,0.023678818503543038,989,9180
38,43.16918876652135,0.02316466972331715,1265,9431
39,37.89974581128822,0.026385401236705807,566,9698
40,42.59939258254387,0.02347451311805263,991,9006
41,42.07529837738975,0.023766914046113478,954,9454
42,40.882444006030596,0.024460377169537355,749,9412
43,42.18326362518475,0.02370608421589666,982,9228
44,42.821779359364484,0.023352602693314163,1151,9475
45,37.92882668665217,0.026365170962483732,613,10586
46,39.800649010271734,0.025125218429024123,662,9111
47,40.631185502855466,0.024611637283625955,751,9200
48,40.69148351432813,0.024575166930148516,759,9236
49,41.33147484477477,0.024194636261000074,797,9213
50,41.143169610248776,0.02430537096371155,799,9274
51,39.57880381777888,0.02526604908536417,656,9262
52,41.234993388828464,0.02425124676437862,819,9064
53,40.96506844845292,0.024411041843084385,803,9237
54,39.43529709443971,0.025357993312569663,643,9327
55,34.12818854773551,0.029301291470576817,340,9149
