turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,0,0,0,0,0,[]
16,0,0,0,0,0,[]
17,1,0,0,1,0,"[{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""stm""}]"
18,0,0,0,0,0,[]
19,0,0,0,0,0,[]
20,1,0,0,1,0,"[{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""stm""}]"
21,0,0,0,0,0,[]
22,1,0,0,1,0,"[{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""stm""}]"
23,0,0,0,0,0,[]
24,0,0,0,0,0,[]
25,1,0,0,1,0,"[{""episode_id"":""cc77c998-01f3-4a7b-98ba-f2cac70e0c9d"",""provenance"":""stm""}]"
26,0,0,0,0,0,[]
27,0,0,0,0,0,[]
28,0,0,0,0,0,[]
29,1,0,0,1,0,"[{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""stm""}]"
30,0,0,0,0,0,[]
31,0,0,0,0,0,[]
32,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""9aa85cbf-8bee-4563-a2a3-1f1623b6cfa1"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
33,0,5,2,3,3,"[{""episode_id"":""1d5ce599-cb2b-4fc9-99df-23b15269b399"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
34,0,5,1,4,4,"[{""episode_id"":""9eb68599-4336-4534-a101-1c03a3aefcd7"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""}]"
35,0,5,3,2,2,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
36,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""}]"
37,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""9aa85cbf-8bee-4563-a2a3-1f1623b6cfa1"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
38,0,5,1,4,4,"[{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
39,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""96c396c3-ba07-45e9-b71a-5ff3db44706d"",""provenance"":""ltm""},{""episode_id"":""1d5ce599-cb2b-4fc9-99df-23b15269b399"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""}]"
40,0,5,1,4,4,"[{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
41,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""}]"
42,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""b9f26bab-87a0-46fd-b2da-37718b191be9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""ltm""}]"
43,0,5,2,3,3,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""}]"
44,1,5,1,5,4,"[{""episode_id"":""6645db69-528d-4833-b9d3-4e894c4bf4ca"",""provenance"":""stm""},{""episode_id"":""1d5ce599-cb2b-4fc9-99df-23b15269b399"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""e40e8a45-3bb1-4730-bcb0-f54ad88a061b"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
45,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""9eb68599-4336-4534-a101-1c03a3aefcd7"",""provenance"":""ltm""},{""episode_id"":""774c7738-c3d7-4a39-96ad-7e35bebe36f5"",""provenance"":""ltm""}]"
46,0,5,3,2,2,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
47,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
48,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""}]"
49,0,5,1,4,4,"[{""episode_id"":""9eb68599-4336-4534-a101-1c03a3aefcd7"",""provenance"":""ltm""},{""episode_id"":""9aa85cbf-8bee-4563-a2a3-1f1623b6cfa1"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""}]"
50,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""9aa85cbf-8bee-4563-a2a3-1f1623b6cfa1"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
51,0,5,1,4,4,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
52,0,5,2,3,3,"[{""episode_id"":""b9f26bab-87a0-46fd-b2da-37718b191be9"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""}]"
53,0,5,2,3,3,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""ltm""}]"
54,0,5,0,5,5,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""9eb68599-4336-4534-a101-1c03a3aefcd7"",""provenance"":""ltm""},{""episode_id"":""96c396c3-ba07-45e9-b71a-5ff3db44706d"",""provenance"":""ltm""}]"
55,0,5,2,3,3,"[{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""}]"
56,0,5,2,3,3,"[{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""},{""episode_id"":""9aa85cbf-8bee-4563-a2a3-1f1623b6cfa1"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""}]"
57,1,5,1,5,4,"[{""episode_id"":""55a292db-3ae0-4cf7-906d-2748591c2e19"",""provenance"":""stm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""1d5ce599-cb2b-4fc9-99df-23b15269b399"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
58,1,5,1,5,4,"[{""episode_id"":""55a292db-3ae0-4cf7-906d-2748591c2e19"",""provenance"":""stm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""1d5ce599-cb2b-4fc9-99df-23b15269b399"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""}]"
59,1,5,2,4,3,"[{""episode_id"":""55a292db-3ae0-4cf7-906d-2748591c2e19"",""provenance"":""stm""},{""episode_id"":""28e337c5-614e-40ca-9738-b3b229715577"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""}]"
60,1,5,0,6,5,"[{""episode_id"":""55a292db-3ae0-4cf7-906d-2748591c2e19"",""provenance"":""stm""},{""episode_id"":""1098dc9f-c9a8-49bc-a53e-0c388e35a798"",""provenance"":""ltm""},{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""96c396c3-ba07-45e9-b71a-5ff3db44706d"",""provenance"":""ltm""},{""episode_id"":""3f42455a-8719-41fe-80ec-9d9151d12422"",""provenance"":""ltm""},{""episode_id"":""62280c45-2825-490d-84f5-8249740d1a62"",""provenance"":""ltm""}]"
61,0,5,2,3,3,"[{""episode_id"":""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9"",""provenance"":""ltm""},{""episode_id"":""774c7738-c3d7-4a39-96ad-7e35bebe36f5"",""provenance"":""ltm""},{""episode_id"":""77507908-2b0b-4e0e-99c7-60f6e20df45f"",""provenance"":""ltm""}]"
