turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,0,0,0,0,0,[]
16,0,0,0,0,0,[]
17,1,0,0,1,0,"[{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""stm""}]"
18,0,0,0,0,0,[]
19,0,0,0,0,0,[]
20,1,0,0,1,0,"[{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""stm""}]"
21,0,0,0,0,0,[]
22,1,0,0,1,0,"[{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""stm""}]"
23,0,0,0,0,0,[]
24,0,0,0,0,0,[]
25,1,0,0,1,0,"[{""episode_id"":""efe71b68-3491-4260-8c26-aee11a6b6464"",""provenance"":""stm""}]"
26,0,0,0,0,0,[]
27,0,0,0,0,0,[]
28,0,0,0,0,0,[]
29,1,0,0,1,0,"[{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""stm""}]"
30,0,0,0,0,0,[]
31,0,0,0,0,0,[]
32,0,50,0,7,7,"[{""episode_id"":""f62487d4-2a32-48fd-b7e5-96a930a564e1"",""provenance"":""ltm""},{""episode_id"":""0047125e-95c7-403b-9432-4fff76a504e7"",""provenance"":""ltm""},{""episode_id"":""cf650025-d9be-4309-9cdc-1c4fa92ebeef"",""provenance"":""ltm""},{""episode_id"":""d99e89cd-952f-475a-8217-17f140810bdd"",""provenance"":""ltm""},{""episode_id"":""79c79f84-4946-4449-af5c-a6d87d5614f8"",""provenance"":""ltm""},{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""ltm""},{""episode_id"":""ac6aed73-d15b-418c-b028-5c57e4bc746b"",""provenance"":""ltm""}]"
33,0,50,0,8,8,"[{""episode_id"":""f62487d4-2a32-48fd-b7e5-96a930a564e1"",""provenance"":""ltm""},{""episode_id"":""0047125e-95c7-403b-9432-4fff76a504e7"",""provenance"":""ltm""},{""episode_id"":""d8a08467-0e6c-4271-98ab-06b11e5e2a6f"",""provenance"":""ltm""},{""episode_id"":""ac6aed73-d15b-418c-b028-5c57e4bc746b"",""provenance"":""ltm""},{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""ltm""},{""episode_id"":""d4e53f8d-2c03-431b-9188-0ec8c67ac98d"",""provenance"":""ltm""},{""episode_id"":""d99e89cd-952f-475a-8217-17f140810bdd"",""provenance"":""ltm""},{""episode_id"":""cf650025-d9be-4309-9cdc-1c4fa92ebeef"",""provenance"":""ltm""}]"
34,0,50,0,7,7,"[{""episode_id"":""cf650025-d9be-4309-9cdc-1c4fa92ebeef"",""provenance"":""ltm""},{""episode_id"":""f62487d4-2a32-48fd-b7e5-96a930a564e1"",""provenance"":""ltm""},{""episode_id"":""d99e89cd-952f-475a-8217-17f140810bdd"",""provenance"":""ltm""},{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""ltm""},{""episode_id"":""0047125e-95c7-403b-9432-4fff76a504e7"",""provenance"":""ltm""},{""episode_id"":""d8a08467-0e6c-4271-98ab-06b11e5e2a6f"",""provenance"":""ltm""},{""episode_id"":""79c79f84-4946-4449-af5c-a6d87d5614f8"",""provenance"":""ltm""}]"
35,0,50,0,8,8,"[{""episode_id"":""f62487d4-2a32-48fd-b7e5-96a930a564e1"",""provenance"":""ltm""},{""episode_id"":""ac6aed73-d15b-418c-b028-5c57e4bc746b"",""provenance"":""ltm""},{""episode_id"":""d99e89cd-952f-475a-8217-17f140810bdd"",""provenance"":""ltm""},{""episode_id"":""0047125e-95c7-403b-9432-4fff76a504e7"",""provenance"":""ltm""},{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""provenance"":""ltm""},{""episode_id"":""d4e53f8d-2c03-431b-9188-0ec8c67ac98d"",""provenance"":""ltm""},{""episode_id"":""cf650025-d9be-4309-9cdc-1c4fa92ebeef"",""provenance"":""ltm""},{""episode_id"":""d8a08467-0e6c-4271-98ab-06b11e5e2a6f"",""provenance"":""ltm""}]"
