turn,b_ltm,k_min,topics_present,topic_count,floor_selected_per_topic,floor_selected,fill_selected,containment_drops,refills,collapsed_to_episode,ltm_chars_used,ltm_records_used,budget_utilization,chars_per_topic,selection
1,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
2,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
3,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
4,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
5,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
6,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
7,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
8,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
9,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
10,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
11,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
12,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
13,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
14,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
15,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
16,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
17,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
18,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
19,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
20,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
21,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
22,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
23,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
24,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
25,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
26,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
27,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
28,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
29,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
30,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
31,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
32,32000,1,"[""b0c57e9f-418e-46e2-b424-9ce080f84647""]",1,"{""b0c57e9f-418e-46e2-b424-9ce080f84647"":1}",1,6,5,0,24,28750,7,0.8984,"{""b0c57e9f-418e-46e2-b424-9ce080f84647"":28750}","[{""episode_id"":""f62487d4-2a32-48fd-b7e5-96a930a564e1"",""distilled_id"":""b7b080a9-9e95-5d27-bccb-3aa55fb9f2a9"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.232251,""chars"":4538,""phase"":""floor""},{""episode_id"":""0047125e-95c7-403b-9432-4fff76a504e7"",""distilled_id"":""7a2d30dd-2438-50b7-b85c-3f6d5c04149f"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.229789,""chars"":3028,""phase"":""fill""},{""episode_id"":""cf650025-d9be-4309-9cdc-1c4fa92ebeef"",""distilled_id"":""7188a7bd-b8dc-5e14-87e4-8106c4d50bbe"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.210116,""chars"":4482,""phase"":""fill""},{""episode_id"":""d99e89cd-952f-475a-8217-17f140810bdd"",""distilled_id"":""39d11edb-b481-51f0-b8b7-b99a16479c8d"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.209005,""chars"":4615,""phase"":""fill""},{""episode_id"":""79c79f84-4946-4449-af5c-a6d87d5614f8"",""distilled_id"":""fbeaeb75-f073-5902-9779-1721fff9ccfd"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.203836,""chars"":4455,""phase"":""fill""},{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""distilled_id"":""3e8f73a0-ff72-53ee-96ce-6e0aafd755b9"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.16703,""chars"":4087,""phase"":""fill""},{""episode_id"":""ac6aed73-d15b-418c-b028-5c57e4bc746b"",""distilled_id"":""9404e66b-7dea-58b4-9049-4f55b2e9b2af"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.16372,""chars"":3545,""phase"":""fill""}]"
33,32000,1,"[""b0c57e9f-418e-46e2-b424-9ce080f84647""]",1,"{""b0c57e9f-418e-46e2-b424-9ce080f84647"":1}",1,7,5,0,24,31382,8,0.9807,"{""b0c57e9f-418e-46e2-b424-9ce080f84647"":31382}","[{""episode_id"":""f62487d4-2a32-48fd-b7e5-96a930a564e1"",""distilled_id"":""9a448704-637c-543d-b083-444cdbfba374"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.23317,""chars"":4538,""phase"":""floor""},{""episode_id"":""0047125e-95c7-403b-9432-4fff76a504e7"",""distilled_id"":""7a2d30dd-2438-50b7-b85c-3f6d5c04149f"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.168143,""chars"":3028,""phase"":""fill""},{""episode_id"":""d8a08467-0e6c-4271-98ab-06b11e5e2a6f"",""distilled_id"":""0c36ce08-05f2-52c7-b5f2-aa9da621b064"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.159644,""chars"":3739,""phase"":""fill""},{""episode_id"":""ac6aed73-d15b-418c-b028-5c57e4bc746b"",""distilled_id"":""9404e66b-7dea-58b4-9049-4f55b2e9b2af"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.149261,""chars"":3545,""phase"":""fill""},{""episode_id"":""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1"",""distilled_id"":""3e8f73a0-ff72-53ee-96ce-6e0aafd755b9"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.143275,""chars"":4087,""phase"":""fill""},{""episode_id"":""d4e53f8d-2c03-431b-9188-0ec8c67ac98d"",""distilled_id"":""5bbdc389-7e1d-589a-bced-a04a83c6b003"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.141869,""chars"":3348,""phase"":""fill""},{""episode_id"":""d99e89cd-952f-475a-8217-17f140810bdd"",""distilled_id"":""39d11edb-b481-51f0-b8b7-b99a16479c8d"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.140339,""chars"":4615,""phase"":""fill""},{""episode_id"":""cf650025-d9be-4309-9cdc-1c4fa92ebeef"",""distilled_id"":""af4550cd-4e27-5916-8147-e885f39ec147"",""topic"":""b0c57e9f-418e-46e2-b424-9ce080f84647"",""similarity"":0.137194,""chars"":4482,""phase"":""fill""}]"
