turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,187,0,0,0,0
2,504,147,0,211,1
3,626,147,0,289,2
4,796,147,0,418,3
5,1503,147,0,1125,4
6,2102,147,0,1692,5
7,2986,147,0,2552,6
8,3886,147,0,3423,7
9,4833,147,0,4343,8
10,5982,147,0,5459,9
11,6770,147,0,6220,10
12,6952,147,0,6406,10
13,6824,147,0,6274,10
14,6957,147,0,6401,10
15,7038,147,0,6485,10
16,7060,147,0,6509,10
17,8322,147,1026,6710,11
18,6955,147,0,6398,10
19,7131,147,0,6584,10
20,8230,147,1026,6612,11
21,7147,147,0,6598,10
22,8274,147,1026,6658,11
23,7124,147,0,6577,10
24,6922,147,0,6378,10
25,8086,147,1199,6300,11
26,7139,147,0,6588,10
27,6866,147,0,6315,10
28,6763,147,0,6217,10
29,8228,147,1026,6617,11
30,6900,147,0,6349,10
31,6868,147,0,6293,10
32,14835,147,0,6620,17
33,15573,147,0,6637,18
34,14629,147,0,6376,17
35,15284,147,0,6350,18
